,reviewID,sentenceID,review,target,category,polarity
18,1055910,1055910:3,Service- friendly and attentive.,Service,SERVICE,positive
19,1055910,1055910:4,Ambiance- relaxed and stylish.,Ambiance,AMBIENCE,positive
20,1058221,1058221:3,"however, it's the service that leaves a bad taste in my mouth.",service,SERVICE,negative
21,1058221,1058221:4,"i happen to have a policy that goes along with a little bit of self-respect, which includes not letting a waiter intimidate me, i.e. make me feel bad asking for trivialities like water, or the check.",waiter,SERVICE,negative
22,1062641,1062641:2,Food is great.,Food,FOOD,positive
23,1062641,1062641:3,Service is top notch.,Service,SERVICE,positive
24,1064477,1064477:0,"I tend to judge a sushi restaurant by its sea urchin, which was heavenly at sushi rose.",sea urchin,FOOD,positive
25,1064477,1064477:2,The sushi seemed pretty fresh and was adequately proportioned.,"sushi,sushi","FOOD,FOOD","positive,positive"
26,1064477,1064477:3,The rice to fish ration was also good--they didn't try to overpack the rice.,rice to fish ration,FOOD,positive
27,1064477,1064477:4,We took advanatage of the half price sushi deal on saturday so it was well worth it.,"half price sushi deal,half price sushi deal","FOOD,PRICES","positive,positive"
28,1074868,1074868:4,The food was well prepared and the service impecable.,"food,service","FOOD,SERVICE","positive,positive"
29,1084394,1084394:3,The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).,"Prix Fixe menu,Prix Fixe menu,Prix Fixe menu","FOOD,FOOD,PRICES","positive,positive,positive"
30,1086415,1086415:2,"$6 and there is much tasty food, all of it fresh and continually refilled.","food,food,food","FOOD,FOOD,PRICES","positive,positive,positive"
31,1086415,1086415:3,"I am not a vegetarian but, almost all the dishes were great.",dishes,FOOD,positive
32,1086478,1086478:0,"The food here is rather good, but only if you like to wait for it.","food,NULL","FOOD,SERVICE","positive,negative"
33,1086478,1086478:1,"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.","somosas,chai,chole,dhosas,dhal","FOOD,FOOD,FOOD,FOOD,FOOD","positive,positive,positive,negative,negative"
34,1086478,1086478:2,"The service varys from day to day- sometimes they're very nice, and sometimes not.",service,SERVICE,negative
35,1086478,1086478:3,"The kitchen however, is almost always slow.",kitchen,SERVICE,negative
36,1086478,1086478:4,"Also, specify if you like your food spicy- its rather bland if you don't.",food,FOOD,negative
37,1086478,1086478:5,"The ambience is pretty and nice for conversation, so a casual lunch here would probably be best.","ambience,NULL",AMBIENCE,"positive,positive"
38,1090587,1090587:1,If you've ever been along the river in Weehawken you have an idea of the top of view the chart house has to offer.,view,AMBIENCE,positive
39,1090587,1090587:2,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,"service,food,food","SERVICE,FOOD,PRICES","positive,positive,positive"
40,1090587,1090587:3,The lava cake dessert was incredible and I recommend it.,lava cake dessert,FOOD,positive
41,1102681,1102681:0,"Once you step into Cosette, you're miraculously in a small, off-the-beaten path Parisian bistro.",Cosette,AMBIENCE,positive
42,1102681,1102681:1,"This tiny restaurant is as cozy as it gets, with that certain Parisian flair.",restaurant,AMBIENCE,positive
43,1102681,1102681:2,"The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way.","food,French Onion soup,French Onion soup,desserts","FOOD,FOOD,FOOD,FOOD","positive,negative,positive,negative"
44,1102681,1102681:3,"However, go for the ambience, and consider the food just a companion for a trip across the world!","ambience,food","AMBIENCE,FOOD","positive,neutral"
45,1118167,1118167:2,The pizza was delivered cold and the cheese wasn't even fully melted!,"pizza,cheese","FOOD,FOOD","negative,negative"
46,1119578,1119578:1,The pizza is overpriced and soggy.,"pizza,pizza","FOOD,PRICES","negative,negative"
47,1119578,1119578:2,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.","ingredients,pizza,crust","FOOD,FOOD,FOOD","positive,negative,negative"
48,1123262,1123262:0,I think I've had some the best meals of my life at minnow.,meals,FOOD,positive
49,1123262,1123262:1,"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.","seafood,wine list,menu","FOOD,FOOD,FOOD","positive,positive,positive"
50,1123262,1123262:2,The combination of super-fresh ingredients in the dishes are unusual but really delicious.,ingredients,FOOD,positive
51,1125006,1125006:1,Best Pastrami I ever had and great portion without being ridiculous.,"Pastrami,portion","FOOD,FOOD","positive,positive"
52,1125006,1125006:3,My wife had the fried shrimp which are huge and loved it.,"fried shrimp,fried shrimp","FOOD,FOOD","positive,positive"
53,1125284,1125284:2,"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.","signs,specials menus,food,waitstaff","FOOD,FOOD,SERVICE","positive,positive,positive,positive"
54,1126814,1126814:0,"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.","Leon,Leon,specials,atmosphere,French bistro fare","AMBIENCE,FOOD,AMBIENCE,FOOD","positive,positive,positive,positive,positive"
55,1126814,1126814:1,"My wife and I always enjoy the young, not always well trained but nevertheless friendly, staff, all of whom have a story.",staff,SERVICE,positive
56,1126814,1126814:3,Decent wine at reasonable prices.,"wine,wine","FOOD,PRICES","neutral,positive"
57,1126886,1126886:2,"The service is excellent, the decor is great, and the food is delicious and comes in large portions.","service,decor,food,portions","SERVICE,AMBIENCE,FOOD,FOOD","positive,positive,positive,positive"
58,1131595,1131595:2,The hostess is rude to the point of being offensive.,hostess,SERVICE,negative
59,1131595,1131595:3,The food was bland oily.,food,FOOD,negative
60,1138996,1138996:1,"We have been to this place many times, and always have great food, wine, and service.","food,wine,service","FOOD,FOOD,SERVICE","positive,positive,positive"
61,1138996,1138996:2,"We were worried we would have trouble getting in, but somehow managed to have a short wait.",wait,SERVICE,positive
62,1138996,1138996:3,As always we had a great glass of wine while we waited.,glass of wine,FOOD,positive
63,1138996,1138996:4,"When we sat, we got great and fast service.",service,SERVICE,positive
64,1138996,1138996:5,The people that work there are always so friendly you forget you are in New York sometimes.,people,SERVICE,positive
65,1145510,1145510:1,The pizza is yummy and I like the atmoshpere.,"pizza,atmoshpere","FOOD,AMBIENCE","positive,positive"
66,1145510,1145510:2,But the pizza is way to expensive.,pizza,PRICES,negative
67,1145510,1145510:3,"A large is $20, and toppings are about $3 each.","NULL,toppings","PRICES,PRICES","negative,negative"
68,1147082,1147082:0,I went there for lunch and it was not as good as I expected from the reviews I read.,lunch,FOOD,negative
69,1147082,1147082:1,Sauce was watery and the food didn't have much flavor.,"Sauce,food","FOOD,FOOD","negative,negative"
70,1147211,1147211:2,The waitress was very patient with us and the food is phenomenal!,"waitress,food","SERVICE,FOOD","positive,positive"
71,1147211,1147211:3,"Service was prompt, friendly and great.",Service,SERVICE,positive
72,1153034,1153034:0,Great pizza and fantastic service.,"pizza,service","FOOD,SERVICE","positive,positive"
73,1153034,1153034:1,"There was a small wait, but shorter than I expected.",wait,SERVICE,positive
74,1153034,1153034:2,Located at the end of a magnificent block.,block,AMBIENCE,positive
75,1154550,1154550:0,This is the best sushi in new york city - hands down.,sushi,FOOD,positive
76,1154550,1154550:1,The place is small and cramped but the food is fantastic.,"place,food","AMBIENCE,FOOD","negative,positive"
77,1154550,1154550:2,Get the tuna of gari.,tuna of gari,FOOD,positive
78,1162037,1162037:0,"Planet Thailand has always been a hit with me , I go there usually for the sushi, which is great , the thai food is excellent too .","sushi,thai food,Planet Thailand","FOOD,FOOD","positive,positive,positive"
79,1162037,1162037:1,"With the great variety on the menu , I eat here often and never get bored .",menu,FOOD,positive
80,1162037,1162037:2,"The atmosphere isn't the greatest , but I suppose that's how they keep the prices down .","atmosphere,NULL","AMBIENCE,PRICES","neutral,positive"
81,1162037,1162037:3,It's all about the food !!,food,FOOD,positive
82,1167434,1167434:3,"but when we looked at the menu, there weren't a lot of choices, most of them were dumplings in the appetizer section.",menu,FOOD,negative
83,1167434,1167434:5,"those rolls were big, but not good and sashimi wasn't fresh.","rolls,rolls,sashimi","FOOD,FOOD,FOOD","neutral,negative,negative"
84,1175958,1175958:1,"Try the crunchy tuna, it is to die for.",crunchy tuna,FOOD,positive
85,1189674,1189674:0,First went here to enjoy their garden terrace.,garden terrace,AMBIENCE,positive
86,1189674,1189674:1,"The food was amazing, and the service was prompt and helpful, but not over-bearing or rushed.","food,service","FOOD,SERVICE","positive,positive"
87,1189674,1189674:2,"The Steak Tartare is a great bet, they fix it for you at the table.",Steak Tartare,FOOD,positive
88,1189674,1189674:3,"Admittedly some nights inside the restaurant were rather warm, but the open kitchen is part of the charm.","open kitchen,restaurant","AMBIENCE,AMBIENCE","positive,negative"
89,1189674,1189674:4,"Great wine selection, Gigondas is worth the price, and the house champagne is a great value.","wine selection,Gigondas,house champagne","FOOD,FOOD,PRICES","positive,positive,positive"
90,1189674,1189674:5,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.","NULL,vibe,French food","AMBIENCE,AMBIENCE,FOOD","neutral,positive,positive"
91,1199292,1199292:0,"Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best, freshly baked bread!","crust,pizza","FOOD,FOOD","positive,positive"
92,1199480,1199480:0,"Not sure where the previous reviewer, lonk, dined, but Saul is in a great neighborhood and has great food!","neighborhood,food","AMBIENCE,FOOD","positive,positive"
93,1199480,1199480:2,I'd highly recommend it for a special occasion -- it provides and intimate setting and nice service.,"setting,service,NULL","AMBIENCE,SERVICE","positive,positive,positive"
94,1205520,1205520:2,Make sure you have the Spicy Scallop roll.. .,Spicy Scallop roll,FOOD,positive
95,1212346,1212346:0,"Moules were excellent, lobster ravioli was VERY salty!","Moules,lobster ravioli","FOOD,FOOD","positive,negative"
96,1212346,1212346:1,"Took my mom for Mother's Day, and the maitre d' was pretty rude.",maitre d',SERVICE,negative
97,1212346,1212346:4,Tiny dessert was $8.00...just plain overpriced for what it is.,"dessert,dessert","FOOD,PRICES","negative,negative"
98,1221938,1221938:0,The drinks are always welll made and wine selection is fairly priced.,"drinks,wine selection","FOOD,PRICES","positive,positive"
99,1221938,1221938:1,Try their chef's specials-- they are to die for.,chef's specials,FOOD,positive
100,1221938,1221938:3,Downstairs lounge is always a good attraction,Downstairs lounge,AMBIENCE,positive
101,1225162,1225162:0,"Raga's is a romantic, cozy restaurant.",Raga's,AMBIENCE,positive
102,1225162,1225162:1,The exotic food is beautifully presented and is a delight in delicious combinations.,"exotic food,exotic food","FOOD,FOOD","positive,positive"
103,1225162,1225162:3,The staff is incredibly helpful and attentive.,staff,SERVICE,positive
104,1225162,1225162:4,The bar is very well stocked with interesting beers and well priced wines.,"bar,beers,wines","FOOD,FOOD,PRICES","positive,positive,positive"
105,1227999,1227999:1,"The waitress moved our table practically into the bathroom and when we asked to cancel our dinner orders because we did not want to eat sitting on the toilet, we were told no...",waitress,SERVICE,negative
106,1227999,1227999:4,"Rude service, medicore food...there are tons of restaurants in NY...stay away from this one","service,food,NULL","SERVICE,FOOD","negative,neutral,negative"
107,1230993,1230993:1,I loved everythig about it-especially the shows and actors.,"NULL,shows,actors","AMBIENCE,AMBIENCE","positive,positive,positive"
108,1230993,1230993:2,Our server was very helpful and friendly.,server,SERVICE,positive
109,1230993,1230993:4,The food was good too.,food,FOOD,positive
110,1232468,1232468:0,The tuna and wasabe potatoes are excellent.,"tuna,wasabe potatoes","FOOD,FOOD","positive,positive"
111,1232468,1232468:1,The outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful.,outdoor atmosphere,AMBIENCE,positive
112,1232468,1232468:3,Service was prompt and courteous.,Service,SERVICE,positive
113,1241906,1241906:0,"Great service, great food.","service,food","SERVICE,FOOD","positive,positive"
114,1253117,1253117:1,"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.","pizza,fresh mozzarella","FOOD,FOOD","positive,positive"
115,1253117,1253117:2,"Two complaints- their appetizer selection stinks, it would be nice to get some mozzarella sticks on the menu.",appetizer selection,FOOD,negative
116,1253117,1253117:5,Wait staff is blantently unappreciative of your business but its the best pie on the UWS!,"Wait staff,pie","SERVICE,FOOD","negative,positive"
117,1256373,1256373:0,By far the best salad I have had in a fast food restaurant.,salad,FOOD,positive
118,1256373,1256373:1,fine dining restaurant quality.,dining,FOOD,positive
119,1264954,1264954:2,"The chicken pot pie is excpetiona, the cheeseburger huge and delictable, and the service professional wan warm.","chicken pot pie,cheeseburger,cheeseburger,service","FOOD,FOOD,FOOD,SERVICE","positive,positive,positive,positive"
120,1269216,1269216:1,The staff is no nonsense.,staff,SERVICE,positive
121,1269216,1269216:2,The food options rule.,food,FOOD,positive
122,1269216,1269216:3,When I lived upstate for a while I would buy freeze the bagels and they would still be better than any else.,bagels,FOOD,positive
123,1275154,1275154:4,"He served me an Uni Hand roll, which I never had before, and let me tell you...IT WAS HEAVEN!",Uni Hand roll,FOOD,positive
124,1275154,1275154:6,The sake menu should not be overlooked!,sake menu,FOOD,positive
125,1275154,1275154:8,Try the lobster teriyaki and the rose special roll.,"lobster teriyaki,rose special roll","FOOD,FOOD","positive,positive"
126,1280166,1280166:1,"Service was very good - prompt, attentive and non-intrusive.",Service,SERVICE,positive
127,1280166,1280166:2,"Food was very good as well, considering that we tried the budget selection (though I wish the pork belly that I ordered was roasted a bit longer, so that fat was more of a melt-in-your-mouth experience).","Food,pork belly","FOOD,FOOD","positive,negative"
128,1280166,1280166:3,Wine list selection is good and wine-by-the-glass was generously filled to the top.,"Wine list selection,wine-by-the-glass","FOOD,FOOD","positive,positive"
129,1280166,1280166:4,Traditional French decour was pleasant though the hall was rather noisy - the restaurant was full and we had to raise our voices to be able to maintain a conversation.,"Traditional French decour,hall","AMBIENCE,AMBIENCE","positive,negative"
130,1280179,1280179:2,"Seating is always prompt, though the restaurant does fill up in the evening.",Seating,SERVICE,positive
131,1280179,1280179:3,"Food is usually very good, though ocasionally I wondered about freshmess of raw vegatables in side orders.","Food,raw vegatables in side orders","FOOD,FOOD","positive,negative"
132,1280179,1280179:5,"The decor is vibrant and eye-pleasing with several semi-private boths on the right side of the dining hall, which are great for a date.","decor,semi-private boths","AMBIENCE,AMBIENCE","positive,positive"
133,1286916,1286916:1,"The first time I went, and was completely taken by the live jazz band and atmosphere, I ordered the Lobster Cobb Salad.","live jazz band,atmosphere","AMBIENCE,AMBIENCE","positive,positive"
134,1286916,1286916:3,It's simply the best meal in NYC.,meal,FOOD,positive
135,1287538,1287538:3,The food is a diamond in rough -- the food is delicious and homemade with the perfect balance of herbs and tomatoes.,"food,balance of herbs and tomatoes","FOOD,FOOD","positive,positive"
136,1289424,1289424:3,The server was really cool and served us our food and drinks with a smile.,server,SERVICE,positive
137,1289424,1289424:4,The place's decor and hidden bathrooms made for a good laugh.,"decor,hidden bathrooms","AMBIENCE,AMBIENCE","positive,positive"
138,1293334,1293334:2,"The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if I must recommend a dish it must be the pumkin tortelini.","beers,food,pumkin tortelini","FOOD,FOOD,FOOD","positive,positive,positive"
139,1297844,1297844:2,The bagel was huge.,bagel,FOOD,positive
140,1297844,1297844:4,The workers there also absolutely load the bagel with cream cheese (gets a little messy).,bagel,FOOD,negative
141,1300636,1300636:0,This was my frist time at Cafe St. Bart's and I must say how delicous the food and the service was.,"food,service","FOOD,SERVICE","positive,positive"
142,1300636,1300636:2,I have to highly recommend the lobster roll - not to much mayo; you can tell it was a fresh lobster.,"lobster roll,lobster","FOOD,FOOD","positive,positive"
143,1300636,1300636:3,"Other guests enjoyed pizza, santa fe chopped salad and fish and chips.","pizza,santa fe chopped salad,fish and chips","FOOD,FOOD,FOOD","positive,positive,positive"
144,1300636,1300636:4,"I highly recommend Cafe St. Bart's for their food, the ambience and wonderful service.","food,ambience,service","FOOD,AMBIENCE,SERVICE","positive,positive,positive"
145,1303888,1303888:0,All the staff is absolutely professional!! ,staff,SERVICE,positive
146,1303984,1303984:1,My chow fun and chow see was really bland and oily.,chow fun and chow see,FOOD,negative
147,1303984,1303984:3,The scallion pancakes and fried dumplings were nothing out of the ordinary.,"scallion pancakes,fried dumplings","FOOD,FOOD","neutral,neutral"
148,1308557,1308557:0,The service was the only thing good about this restaurant.,"service,restaurant",SERVICE,"positive,negative"
149,1308557,1308557:1,"It's boring on the inside, and our sushi was pretty below average... the tuna was soggy and the other rolls had no flavor.","NULL,sushi,tuna,rolls","AMBIENCE,FOOD,FOOD,FOOD","negative,negative,negative,negative"
150,1310217,1310217:1,Their pad penang is delicious and everything else is fantastic.,"pad penang,NULL","FOOD,FOOD","positive,positive"
151,1310217,1310217:2,The price is reasonable although the service is poor.,"NULL,service","PRICES,SERVICE","positive,negative"
152,1318537,1318537:0,fresh restaurant was amazing........ food was delicious and of course fresh.,"fresh restaurant,food",FOOD,"positive,positive"
153,1318537,1318537:4,Hats off to the chef.,chef,FOOD,positive
154,1328078,1328078:3,"the salads are delicious, both refreshing and very spicy.",salads,FOOD,positive
155,1328078,1328078:4,We had Pam's special fried fish and it was amazing.,Pam's special fried fish,FOOD,positive
156,1335154,1335154:1,"Great vibe, lots of people.",vibe,AMBIENCE,positive
157,1335154,1335154:4,"I didn't complain, I liked the atmosphere so much.",atmosphere,AMBIENCE,positive
158,1335656,1335656:2,"Ambience is so cute and quaint, good for business although we were there on vacation.","Ambience,NULL",AMBIENCE,"positive,positive"
159,1335656,1335656:3,Salads were fantastic.,Salads,FOOD,positive
160,1335656,1335656:4,Although we were looking for regular lettuce and some walnuts the salads we got were great.,salads,FOOD,positive
161,1335656,1335656:5,Ingredients are organic which is a real plus for me.,Ingredients,FOOD,positive
162,1338124,1338124:0,"This is some really good, inexpensive sushi.","sushi,sushi","FOOD,PRICES","positive,positive"
163,1338124,1338124:2,The spicy Tuna roll is huge and probably the best that I've had at this price range.,"spicy Tuna roll,spicy Tuna roll,spicy Tuna roll","FOOD,FOOD,PRICES","positive,positive,positive"
164,1338124,1338124:3,The Yellowtail was particularly good as well.,Yellowtail,FOOD,positive
165,1338124,1338124:4,"I have reservations about the all you can eat deal, however -- the choices are fairly limited and you can probably order more food than you can eat for less than $18 by just going off the menu.","all you can eat deal,all you can eat deal","FOOD,PRICES","negative,negative"
166,1340075,1340075:1,"They have it all -- great price, food, and service.","NULL,NULL,food,service","PRICES,FOOD,SERVICE","positive,positive,positive,positive"
167,1340075,1340075:2,The atmosphere is noisy and the waiters are literally walking around doing things as fast as they can.,"atmosphere,waiters","AMBIENCE,SERVICE","negative,positive"
168,1340075,1340075:4,"And it all comes at a very reasonable price (congee, noodles, and rice dishes are no more than $3-6 each).","NULL,congee,noodles,rice dishes","PRICES,PRICES,PRICES,PRICES","positive,positive,positive,positive"
169,1340075,1340075:5,The takeout is great too since they give high quality tupperware as well.,takeout,SERVICE,positive
170,1341354,1341354:1,Enjoyed a very nice Caesar Salad while my wife had arugula and goat cheese....both very tasty.,"Caesar Salad,arugula and goat cheese","FOOD,FOOD","positive,positive"
171,1341354,1341354:2,We both opted for a pasta dish and they were served timely and fresh.,"NULL,pasta dish","SERVICE,FOOD","positive,positive"
172,1341354,1341354:3,"We concluded with tiramisu chocolate cake, both were delicious.","tiramisu,chocolate cake","FOOD,FOOD","positive,positive"
173,1347423,1347423:1,"The staff was accomodating, the food was absolutely delicious and the place is lovely.","staff,food,place","SERVICE,FOOD,AMBIENCE","positive,positive,positive"
174,1347423,1347423:2,We even had a visit from the Manager who wanted to make sure we were enjoying ourselves.,Manager,SERVICE,positive
175,1349391,1349391:0,sometimes i get good food and ok service.,"food,service","FOOD,SERVICE","positive,neutral"
176,1349391,1349391:1,"sometimes i get bad food and bad service, sometimes i get good good and bad service.","food,service,service,good","FOOD,SERVICE,SERVICE,FOOD","negative,negative,negative,positive"
177,1352948,1352948:0,The place is a BISTRO which means: simple dishes and wine served efficiently in a bustling atmosphere.,"dishes,wine,NULL,atmosphere","FOOD,FOOD,SERVICE,AMBIENCE","positive,positive,positive,positive"
178,1353599,1353599:0,Right off the L in Brooklyn this is a nice cozy place with good pizza.,"pizza,place","FOOD,AMBIENCE","positive,positive"
179,1353599,1353599:1,Mine was a little burnt but still delicious with goat cheese and panchetta (raddichio was kind of bitter though).,"raddichio,NULL","FOOD,FOOD","negative,positive"
180,1353599,1353599:2,My friend got the mushroom pizza which tasted better.,mushroom pizza,FOOD,positive
181,1353599,1353599:3,The sangria was pretty tasty and good on a hot muggy day.,sangria,FOOD,positive
182,1357554,1357554:0,I started out with a Bombay beer which was big enough for two.,Bombay beer,FOOD,positive
183,1357554,1357554:3,"Service was slow, but the people were friendly.","Service,people","SERVICE,SERVICE","negative,positive"
184,1357554,1357554:4,It's a nice place to relax and have conversation.,place,AMBIENCE,positive
185,1367358,1367358:1,The food is authentic Italian - delicious!,food,FOOD,positive
186,1367358,1367358:2,"Pizza is terrific, as is homemade pasta.","Pizza,homemade pasta","FOOD,FOOD","positive,positive"
187,1367358,1367358:3,"Ambience is delightful, service impeccable.","Ambience,service","AMBIENCE,SERVICE","positive,positive"
188,1380450,1380450:0,I'm still mad that i had to pay for lousy food.,food,FOOD,negative
189,1380450,1380450:1,The hanger steak was like rubber and the tuna was flavorless not to mention it tasted like it had just been thawed.,"hanger steak,tuna","FOOD,FOOD","negative,negative"
190,1380450,1380450:2,Service was also horrible and the ambience is not that great.,"Service,ambience","SERVICE,AMBIENCE","negative,negative"
191,1387314,1387314:1,This is my first time writing a review for a restaurant because the food and service was excellent.,"food,service","FOOD,SERVICE","positive,positive"
192,1387314,1387314:2,The filet mignon dish was superb!,filet mignon dish,FOOD,positive
193,1387314,1387314:4,It's a small cute restaurant.,restaurant,AMBIENCE,positive
194,1390357,1390357:2,"I like the ambience, it's very dark and original.",ambience,AMBIENCE,positive
195,1390357,1390357:4,The sushi is amazing!!! ,sushi,FOOD,positive
196,1394712,1394712:0,Very affordable and excellent ambient!,"ambient,NULL","AMBIENCE,PRICES","positive,positive"
197,1394712,1394712:1,We ordered some beef and noodle soup dishes from the Thai section of the menu but nothing we got was Thai.,beef and noodle soup dishes,FOOD,negative
198,1394712,1394712:3,We won't go to this place again for a good meal.,meal,FOOD,negative
199,1394712,1394712:4,"However, I think this place is a good hang out spot.",place,AMBIENCE,positive
200,1395421,1395421:1,THe Pizza and wine were excellent-the service too--but what really MADE this place was the backyard dining area.,"Pizza,wine,service,backyard dining area","FOOD,FOOD,SERVICE,AMBIENCE","positive,positive,positive,positive"
201,1398844,1398844:0,"First of all, this place is *not* romantic, as claimed by Citysearch's editorial review.",place,AMBIENCE,negative
202,1398844,1398844:2,"The tables are crammed way too close, the menu is typical of any Italian restaurant, and the wine list is simply overpriced.","tables,menu,wine list","AMBIENCE,FOOD,PRICES","negative,neutral,negative"
203,1398844,1398844:3,Slightly above average wines start at $70+ with only one selection listed at $30+.,"wines,wines","FOOD,PRICES","negative,negative"
204,1398844,1398844:4,Service is not what one would expect from a joint in this price category.,Service,SERVICE,negative
205,1398844,1398844:6,Somehow working the italian charm with constant mille grazie does not constitute proper service.,service,SERVICE,negative
206,1398844,1398844:7,"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.","food,Teodora",FOOD,"positive,negative"
207,1404042,1404042:1,Not one of our meals was edible - bland and/or made with weird rosemary or orange flavoring.,"meals,rosemary or orange flavoring","FOOD,FOOD","negative,negative"
208,1404042,1404042:2,Fish was overdone.,Fish,FOOD,negative
209,1404042,1404042:3,"Cute place, nice wait staff but would never go there again.","wait staff,place,place","SERVICE,AMBIENCE","positive,positive,negative"
210,1404042,1404042:4,Someone else recommended the dessert - we also left that.,dessert,FOOD,negative
211,1404042,1404042:5,One of us actually liked the expresso - that's it.,expresso,FOOD,positive
212,1410878,1410878:1,I've never had bad service and the fish is fresh and delicious.,"service,fish","SERVICE,FOOD","positive,positive"
213,1410878,1410878:2,Their tuna tartar appetizer is to die for.,tuna tartar appetizer,FOOD,positive
214,1413697,1413697:0,"I come from a family of pizzeria owners, and I'm almost ashamed to say that the pizza in Fornino's blows my families receipies away.",pizza,FOOD,positive
215,1413697,1413697:2,The place is so cool and the service is prompt and curtious.,"service,place","SERVICE,AMBIENCE","positive,positive"
216,1417496,1417496:0,A restaurant that doesn't try to do anything except serve great food with great service in a pleasant atmosphere.,"food,service,atmosphere","FOOD,SERVICE,AMBIENCE","positive,positive,positive"
217,1417496,1417496:1,No gimmicks here -- the food speaks for itself in its freshness and preparation.,food,FOOD,positive
218,1417496,1417496:2,The dining room is quietly elegant with no music to shout over -- how refreshing!,dining room,AMBIENCE,positive
219,1417496,1417496:3,"The service was impeccable and unobtrusive -- the staff knows what they are there to do -- to know their menu, present your meal, and attend to your needs.","service,staff","SERVICE,SERVICE","positive,positive"
220,1417496,1417496:4,"Looking around, I saw a room full of New Yorkers enjoying a real meal in a real restaurant, not a clubhouse of the fabulous trying to be seen.","meal,restaurant","FOOD,AMBIENCE","positive,positive"
221,1430994,1430994:0,The view is breathtaking the service is top notch... the ambiance is wonderfull.,"view,service,ambiance","AMBIENCE,SERVICE,AMBIENCE","positive,positive,positive"
222,1430994,1430994:1,The staff offers impeccable service.,staff,SERVICE,positive
223,1430994,1430994:2,I had Lobster Bisque it has 2 oz. of Maine Lobster in it.,Lobster Bisque,FOOD,positive
