,id,review,target,label,predict,terms
44,1086478:2,"The service varys from day to day- sometimes they're very nice, and sometimes not.",service,SERVICE,SERVICE|PRICES|SERVICE|SERVICE,service|varys|day|day
45,1086478:3,"The kitchen however, is almost always slow.",kitchen,SERVICE,FOOD,kitchen
46,1086478:4,"Also, specify if you like your food spicy- its rather bland if you don't.",food,FOOD,FOOD,food
47,1086478:5,"The ambience is pretty and nice for conversation, so a casual lunch here would probably be best.","ambience,NULL",AMBIENCE,AMBIENCE|FOOD|FOOD,ambience|conversation|lunch
48,1090587:1,If you've ever been along the river in Weehawken you have an idea of the top of view the chart house has to offer.,view,AMBIENCE,AMBIENCE|AMBIENCE|AMBIENCE|AMBIENCE|AMBIENCE|AMBIENCE,river|idea|top|view|chart|house
49,1090587:2,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,"service,food,food","SERVICE,FOOD,PRICES",SERVICE|FOOD|PRICES|AMBIENCE|AMBIENCE,service|food|price|beginning|evening
50,1090587:3,The lava cake dessert was incredible and I recommend it.,lava cake dessert,FOOD,FOOD|FOOD|FOOD,lava|cake|dessert
51,1102681:0,"Once you step into Cosette, you're miraculously in a small, off-the-beaten path Parisian bistro.",Cosette,AMBIENCE,AMBIENCE|AMBIENCE,path|bistro
52,1102681:1,"This tiny restaurant is as cozy as it gets, with that certain Parisian flair.",restaurant,AMBIENCE,AMBIENCE|AMBIENCE,restaurant|flair
53,1102681:2,"The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way.","food,French Onion soup,French Onion soup,desserts","FOOD,FOOD,FOOD,FOOD",FOOD|FOOD|FOOD|AMBIENCE,food|soup|desserts|way
54,1102681:3,"However, go for the ambience, and consider the food just a companion for a trip across the world!","ambience,food","AMBIENCE,FOOD",FOOD|FOOD|FOOD|FOOD|AMBIENCE,ambience|food|companion|trip|world
55,1118167:2,The pizza was delivered cold and the cheese wasn't even fully melted!,"pizza,cheese","FOOD,FOOD",FOOD|FOOD,pizza|cheese
56,1118167:3,It looked like shredded cheese partly done - still in strips.,,FOOD,FOOD|FOOD,cheese|strips
57,1119578:1,The pizza is overpriced and soggy.,"pizza,pizza","FOOD,PRICES",FOOD,pizza
58,1119578:2,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.","ingredients,pizza,crust","FOOD,FOOD,FOOD",FOOD|FOOD|FOOD|SERVICE|FOOD|AMBIENCE,ingredients|ingredients|pizza|someone|crust|right
59,1123262:0,I think I've had some the best meals of my life at minnow.,meals,FOOD,FOOD|FOOD|FOOD,meals|life|minnow
60,1123262:1,"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.","seafood,wine list,menu","FOOD,FOOD,FOOD",FOOD|FOOD|FOOD|FOOD|AMBIENCE,seafood|wine|list|menu|surprises
61,1123262:2,The combination of super-fresh ingredients in the dishes are unusual but really delicious.,ingredients,FOOD,FOOD|FOOD|FOOD,combination|ingredients|dishes
62,1125006:1,Best Pastrami I ever had and great portion without being ridiculous.,"Pastrami,portion","FOOD,FOOD",FOOD|FOOD,pastrami|portion
63,1125006:3,My wife had the fried shrimp which are huge and loved it.,"fried shrimp,fried shrimp","FOOD,FOOD",FOOD|FOOD,wife|shrimp
64,1125284:2,"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.","signs,specials menus,food,waitstaff","FOOD,FOOD,SERVICE",AMBIENCE|FOOD|FOOD|FOOD|SERVICE|FOOD,signs|specials|menus|food|waitstaff|all
65,1126814:0,"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.","Leon,Leon,specials,atmosphere,French bistro fare","AMBIENCE,FOOD,AMBIENCE,FOOD",AMBIENCE|AMBIENCE|FOOD|FOOD|FOOD|AMBIENCE,gem|hip|bistro|fare|specials|atmosphere
66,1126814:1,"My wife and I always enjoy the young, not always well trained but nevertheless friendly, staff, all of whom have a story.",staff,SERVICE,SERVICE|SERVICE|AMBIENCE,wife|staff|story
67,1126814:3,Decent wine at reasonable prices.,"wine,wine","FOOD,PRICES",FOOD|PRICES,wine|prices
68,1126886:2,"The service is excellent, the decor is great, and the food is delicious and comes in large portions.","service,decor,food,portions","SERVICE,AMBIENCE,FOOD,FOOD",SERVICE|AMBIENCE|FOOD|FOOD,service|decor|food|portions
69,1131595:1,They refuse to seat parties of 3 or more on weekends.,,SERVICE,SERVICE|FOOD|FOOD,seat|parties|weekends
70,1131595:2,The hostess is rude to the point of being offensive.,hostess,SERVICE,SERVICE|AMBIENCE,hostess|point
71,1131595:3,The food was bland oily.,food,FOOD,FOOD|FOOD,food|oily
72,1138996:1,"We have been to this place many times, and always have great food, wine, and service.","food,wine,service","FOOD,FOOD,SERVICE",AMBIENCE|FOOD|FOOD|FOOD|SERVICE,place|times|food|wine|service
73,1138996:2,"We were worried we would have trouble getting in, but somehow managed to have a short wait.",wait,SERVICE,FOOD|SERVICE,trouble|wait
74,1138996:3,As always we had a great glass of wine while we waited.,glass of wine,FOOD,FOOD|FOOD,glass|wine
75,1138996:4,"When we sat, we got great and fast service.",service,SERVICE,SERVICE,service
76,1138996:5,The people that work there are always so friendly you forget you are in New York sometimes.,people,SERVICE,SERVICE,people
77,1145510:1,The pizza is yummy and I like the atmoshpere.,"pizza,atmoshpere","FOOD,AMBIENCE",FOOD|FOOD,pizza|atmoshpere
78,1145510:2,But the pizza is way to expensive.,pizza,PRICES,FOOD|FOOD,pizza|way
79,1145510:3,"A large is $20, and toppings are about $3 each.","NULL,toppings","PRICES,PRICES",FOOD,toppings
80,1147082:0,I went there for lunch and it was not as good as I expected from the reviews I read.,lunch,FOOD,FOOD|SERVICE,lunch|reviews
81,1147082:1,Sauce was watery and the food didn't have much flavor.,"Sauce,food","FOOD,FOOD",FOOD|FOOD|FOOD,sauce|food|flavor
82,1147211:1,I had a huge group for my birthday and we were well taken care of.,,SERVICE,AMBIENCE|FOOD|FOOD,group|birthday|care
83,1147211:2,The waitress was very patient with us and the food is phenomenal!,"waitress,food","SERVICE,FOOD",SERVICE|FOOD,waitress|food
84,1147211:3,"Service was prompt, friendly and great.",Service,SERVICE,,
85,1147211:4,Slightly on the pricey side but worth it!,"NULL,NULL",PRICES,AMBIENCE,side
86,1153034:0,Great pizza and fantastic service.,"pizza,service","FOOD,SERVICE",FOOD|SERVICE,pizza|service
87,1153034:1,"There was a small wait, but shorter than I expected.",wait,SERVICE,SERVICE,wait
88,1153034:2,Located at the end of a magnificent block.,block,AMBIENCE,AMBIENCE|AMBIENCE,end|block
89,1153034:3,Very cozy and warm inside.....,,AMBIENCE,,
90,1154550:0,This is the best sushi in new york city - hands down.,sushi,FOOD,FOOD|AMBIENCE|FOOD,sushi|city|hands
91,1154550:1,The place is small and cramped but the food is fantastic.,"place,food","AMBIENCE,FOOD",AMBIENCE|FOOD,place|food
92,1154550:2,Get the tuna of gari.,tuna of gari,FOOD,FOOD|FOOD,tuna|gari
93,1162037:0,"Planet Thailand has always been a hit with me , I go there usually for the sushi, which is great , the thai food is excellent too .","sushi,thai food,Planet Thailand","FOOD,FOOD",AMBIENCE|FOOD|FOOD,planet|sushi|food
94,1162037:1,"With the great variety on the menu , I eat here often and never get bored .",menu,FOOD,FOOD|FOOD,variety|menu
95,1162037:2,"The atmosphere isn't the greatest , but I suppose that's how they keep the prices down .","atmosphere,NULL","AMBIENCE,PRICES",AMBIENCE|PRICES,atmosphere|prices
96,1162037:3,It's all about the food !!,food,FOOD,FOOD,food
97,1167434:3,"but when we looked at the menu, there weren't a lot of choices, most of them were dumplings in the appetizer section.",menu,FOOD,FOOD|FOOD|FOOD|FOOD|FOOD|AMBIENCE,menu|lot|choices|dumplings|appetizer|section
98,1167434:5,"those rolls were big, but not good and sashimi wasn't fresh.","rolls,rolls,sashimi","FOOD,FOOD,FOOD",FOOD|FOOD,rolls|sashimi
99,1167434:6,"they were dry and disgusting, i didn't even finish my first piece.",,FOOD,AMBIENCE,piece
100,1175958:0,Hurley's is like Cheers where everyone knows your name and they are ACTUALLY glad you came.,,SERVICE,SERVICE|AMBIENCE,everyone|name
101,1175958:1,"Try the crunchy tuna, it is to die for.",crunchy tuna,FOOD,FOOD,tuna
102,1175958:2,"Try everything for that matter, it is all good.",,FOOD,FOOD|FOOD,everything|matter
103,1189674:0,First went here to enjoy their garden terrace.,garden terrace,AMBIENCE,FOOD|AMBIENCE,garden|terrace
104,1189674:1,"The food was amazing, and the service was prompt and helpful, but not over-bearing or rushed.","food,service","FOOD,SERVICE",FOOD|SERVICE,food|service
105,1189674:2,"The Steak Tartare is a great bet, they fix it for you at the table.",Steak Tartare,FOOD,FOOD|FOOD,bet|table
106,1189674:3,"Admittedly some nights inside the restaurant were rather warm, but the open kitchen is part of the charm.","open kitchen,restaurant","AMBIENCE,AMBIENCE",FOOD|FOOD|FOOD|AMBIENCE|AMBIENCE,nights|restaurant|kitchen|part|charm
107,1189674:4,"Great wine selection, Gigondas is worth the price, and the house champagne is a great value.","wine selection,Gigondas,house champagne","FOOD,FOOD,PRICES",FOOD|FOOD|PRICES|FOOD|FOOD|PRICES,wine|selection|price|house|champagne|value
108,1189674:5,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.","NULL,vibe,French food","AMBIENCE,AMBIENCE,FOOD",AMBIENCE|FOOD|FOOD|FOOD|AMBIENCE,bit|weekends|vibe|food|area
109,1199292:0,"Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best, freshly baked bread!","crust,pizza","FOOD,FOOD",FOOD|FOOD|FOOD|FOOD|FOOD,pizza|toppings|crust|tastes|bread
110,1199480:0,"Not sure where the previous reviewer, lonk, dined, but Saul is in a great neighborhood and has great food!","neighborhood,food","AMBIENCE,FOOD",SERVICE|AMBIENCE|AMBIENCE|FOOD,reviewer|lonk|neighborhood|food
111,1199480:2,I'd highly recommend it for a special occasion -- it provides and intimate setting and nice service.,"setting,service,NULL","AMBIENCE,SERVICE",AMBIENCE|AMBIENCE|SERVICE,occasion|setting|service
112,1205520:1,Even after they overcharged me the last time I was there.,,SERVICE,AMBIENCE,time
113,1205520:2,Make sure you have the Spicy Scallop roll.. .,Spicy Scallop roll,FOOD,AMBIENCE,roll
114,1205520:3,it's delicious!,,FOOD,,
115,1212346:0,"Moules were excellent, lobster ravioli was VERY salty!","Moules,lobster ravioli","FOOD,FOOD",FOOD|FOOD|FOOD,moules|lobster|ravioli
116,1212346:1,"Took my mom for Mother's Day, and the maitre d' was pretty rude.",maitre d',SERVICE,SERVICE|FOOD|FOOD,mom|mother|day
117,1212346:2,"Told us to sit anywhere, and when we sat he said the table was reserved.",,SERVICE,SERVICE,table
118,1212346:3,Stepped on my foot on the SECOND time he reached over me to adjust lighting.,,SERVICE,FOOD|AMBIENCE|AMBIENCE,foot|time|lighting
119,1212346:4,Tiny dessert was $8.00...just plain overpriced for what it is.,"dessert,dessert","FOOD,PRICES",FOOD,dessert
120,1221938:0,The drinks are always welll made and wine selection is fairly priced.,"drinks,wine selection","FOOD,PRICES",FOOD|FOOD|PRICES,drinks|wine|selection
121,1221938:1,Try their chef's specials-- they are to die for.,chef's specials,FOOD,FOOD|FOOD,chef|specials
122,1221938:2,"Service is not exactly five star, but thats not really a big deal.",Service,SERVICE,AMBIENCE|PRICES,star|deal
123,1221938:3,Downstairs lounge is always a good attraction,Downstairs lounge,AMBIENCE,AMBIENCE|AMBIENCE,lounge|attraction
124,1225162:0,"Raga's is a romantic, cozy restaurant.",Raga's,AMBIENCE,AMBIENCE|AMBIENCE,raga|restaurant
125,1225162:1,The exotic food is beautifully presented and is a delight in delicious combinations.,"exotic food,exotic food","FOOD,FOOD",FOOD|FOOD|FOOD,food|delight|combinations
126,1225162:2,It is also extremely well priced.,,PRICES,,
127,1225162:3,The staff is incredibly helpful and attentive.,staff,SERVICE,SERVICE,staff
128,1225162:4,The bar is very well stocked with interesting beers and well priced wines.,"bar,beers,wines","FOOD,FOOD,PRICES",AMBIENCE|FOOD|FOOD,bar|beers|wines
129,1227999:1,"The waitress moved our table practically into the bathroom and when we asked to cancel our dinner orders because we did not want to eat sitting on the toilet, we were told no...",waitress,SERVICE,SERVICE|SERVICE|AMBIENCE|FOOD|FOOD|FOOD,waitress|table|bathroom|dinner|orders|toilet
130,1227999:2,"Then, to top things off, she dropped used silverware on my boyfriend's jacket and did not stop to apologize or clean the mess that was left on clothes. ",,SERVICE,FOOD|FOOD|FOOD|FOOD|FOOD|FOOD,things|silverware|boyfriend|jacket|mess|clothes
131,1227999:3,Such a disappointment...,,SERVICE,FOOD,disappointment
132,1227999:4,"Rude service, medicore food...there are tons of restaurants in NY...stay away from this one","service,food,NULL","SERVICE,FOOD",SERVICE|FOOD|FOOD|FOOD|FOOD,service|medicore|food|tons|restaurants
133,1230993:1,I loved everythig about it-especially the shows and actors.,"NULL,shows,actors","AMBIENCE,AMBIENCE",FOOD|AMBIENCE|AMBIENCE,everythig|shows|actors
134,1230993:2,Our server was very helpful and friendly.,server,SERVICE,SERVICE,server
135,1230993:4,The food was good too.,food,FOOD,FOOD,food
136,1232468:0,The tuna and wasabe potatoes are excellent.,"tuna,wasabe potatoes","FOOD,FOOD",FOOD|FOOD|FOOD,tuna|wasabe|potatoes
137,1232468:1,The outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful.,outdoor atmosphere,AMBIENCE,AMBIENCE|AMBIENCE|AMBIENCE|AMBIENCE|AMBIENCE|AMBIENCE,atmosphere|sidewalk|world|feet|avenue|evening
138,1232468:2,"Inside is a little cramped, but to be expected.",,AMBIENCE,,
139,1232468:3,Service was prompt and courteous.,Service,SERVICE,,
140,1241906:0,"Great service, great food.","service,food","SERVICE,FOOD",SERVICE|FOOD,service|food
141,1241906:1,Prices are in line.,,PRICES,PRICES|PRICES,prices|line
142,1241906:3,But too far east!,,AMBIENCE,,
143,1253117:1,"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.","pizza,fresh mozzarella","FOOD,FOOD",FOOD|FOOD|FOOD|FOOD,pizza|mozzarella|cheese|pizzaria
144,1253117:2,"Two complaints- their appetizer selection stinks, it would be nice to get some mozzarella sticks on the menu.",appetizer selection,FOOD,FOOD|FOOD|FOOD|FOOD|FOOD,complaints|appetizer|selection|mozzarella|menu
145,1253117:3,"Also, because it is so thin, it gets cold very quickly and its not that filling.","NULL,NULL","FOOD,FOOD",,
146,1253117:5,Wait staff is blantently unappreciative of your business but its the best pie on the UWS!,"Wait staff,pie","SERVICE,FOOD",SERVICE|PRICES|FOOD|PRICES,staff|business|pie|uws
147,1256373:0,By far the best salad I have had in a fast food restaurant.,salad,FOOD,FOOD|FOOD|FOOD,salad|food|restaurant
148,1256373:1,fine dining restaurant quality.,dining,FOOD,FOOD|FOOD|PRICES,dining|restaurant|quality
149,1256373:2,Over 100 different choices to create your own.,,FOOD,FOOD,choices
150,1264954:1,"This was the perfect quiet, relaxing, and delicious accompaniment to our afternoon of theater.","NULL,NULL","FOOD,AMBIENCE",AMBIENCE|AMBIENCE|AMBIENCE|FOOD|AMBIENCE,quiet|relaxing|accompaniment|afternoon|theater
151,1264954:2,"The chicken pot pie is excpetiona, the cheeseburger huge and delictable, and the service professional wan warm.","chicken pot pie,cheeseburger,cheeseburger,service","FOOD,FOOD,FOOD,SERVICE",FOOD|FOOD|FOOD|FOOD|FOOD|SERVICE,chicken|pot|pie|excpetiona|cheeseburger|service
152,1269216:1,The staff is no nonsense.,staff,SERVICE,SERVICE|AMBIENCE,staff|nonsense
153,1269216:2,The food options rule.,food,FOOD,FOOD|PRICES|FOOD,food|options|rule
154,1269216:3,When I lived upstate for a while I would buy freeze the bagels and they would still be better than any else.,bagels,FOOD,FOOD|FOOD,while|bagels
155,1275154:4,"He served me an Uni Hand roll, which I never had before, and let me tell you...IT WAS HEAVEN!",Uni Hand roll,FOOD,FOOD|PRICES,roll|heaven
156,1275154:6,The sake menu should not be overlooked!,sake menu,FOOD,FOOD|FOOD,sake|menu
157,1275154:8,Try the lobster teriyaki and the rose special roll.,"lobster teriyaki,rose special roll","FOOD,FOOD",FOOD|FOOD|FOOD,lobster|teriyaki|roll
158,1280166:1,"Service was very good - prompt, attentive and non-intrusive.",Service,SERVICE,,
159,1280166:2,"Food was very good as well, considering that we tried the budget selection (though I wish the pork belly that I ordered was roasted a bit longer, so that fat was more of a melt-in-your-mouth experience).","Food,pork belly","FOOD,FOOD",PRICES|FOOD|FOOD|FOOD|FOOD|FOOD,budget|selection|pork|belly|fat|experience
160,1280166:3,Wine list selection is good and wine-by-the-glass was generously filled to the top.,"Wine list selection,wine-by-the-glass","FOOD,FOOD",FOOD|SERVICE|FOOD|AMBIENCE|FOOD,wine|list|selection|wine-by-the-glass|top
161,1280166:4,Traditional French decour was pleasant though the hall was rather noisy - the restaurant was full and we had to raise our voices to be able to maintain a conversation.,"Traditional French decour,hall","AMBIENCE,AMBIENCE",FOOD|AMBIENCE|AMBIENCE|AMBIENCE|FOOD,decour|hall|restaurant|voices|conversation
162,1280179:1,"To sum it up: Service varies from good to mediorce, depending on which waiter you get; generally it is just average Ok. ",Service,SERVICE,SERVICE|SERVICE,mediorce|waiter
163,1280179:2,"Seating is always prompt, though the restaurant does fill up in the evening.",Seating,SERVICE,SERVICE|FOOD|AMBIENCE,seating|restaurant|evening
164,1280179:3,"Food is usually very good, though ocasionally I wondered about freshmess of raw vegatables in side orders.","Food,raw vegatables in side orders","FOOD,FOOD",FOOD|FOOD|FOOD|FOOD,freshmess|vegatables|side|orders
165,1280179:4,"As many other reviewers noticed, your order is often slow to arrive - this is particularly true in the evening but is not a problem during lunch time.",,SERVICE,SERVICE|PRICES|FOOD|PRICES|FOOD|AMBIENCE,reviewers|order|evening|problem|lunch|time
166,1280179:5,"The decor is vibrant and eye-pleasing with several semi-private boths on the right side of the dining hall, which are great for a date.","decor,semi-private boths","AMBIENCE,AMBIENCE",AMBIENCE|AMBIENCE|AMBIENCE|FOOD|AMBIENCE|AMBIENCE,decor|boths|side|dining|hall|date
167,1286916:1,"The first time I went, and was completely taken by the live jazz band and atmosphere, I ordered the Lobster Cobb Salad.","live jazz band,atmosphere","AMBIENCE,AMBIENCE",AMBIENCE|FOOD|AMBIENCE|AMBIENCE,time|jazz|band|atmosphere
168,1286916:3,It's simply the best meal in NYC.,meal,FOOD,FOOD,meal
169,1287538:2,The restaurant is cute but not upscale.,restaurant,AMBIENCE,AMBIENCE|AMBIENCE,restaurant|upscale
170,1287538:3,The food is a diamond in rough -- the food is delicious and homemade with the perfect balance of herbs and tomatoes.,"food,balance of herbs and tomatoes","FOOD,FOOD",FOOD|FOOD|FOOD|FOOD|FOOD|FOOD|FOOD,food|diamond|food|homemade|balance|herbs|tomatoes
171,1289424:3,The server was really cool and served us our food and drinks with a smile.,server,SERVICE,SERVICE|FOOD|FOOD|AMBIENCE,server|food|drinks|smile
172,1289424:4,The place's decor and hidden bathrooms made for a good laugh.,"decor,hidden bathrooms","AMBIENCE,AMBIENCE",AMBIENCE|AMBIENCE|AMBIENCE|FOOD,place|decor|bathrooms|laugh
173,1293334:2,"The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if I must recommend a dish it must be the pumkin tortelini.","beers,food,pumkin tortelini","FOOD,FOOD,FOOD",FOOD|SERVICE|FOOD|FOOD|FOOD|FOOD|FOOD,beers|guest|husband|food|dish|pumkin|tortelini
174,1293334:3,The entertainment was great they have shows that go on through out the dinner.,,AMBIENCE,FOOD|AMBIENCE|FOOD,entertainment|shows|dinner
175,1297844:2,The bagel was huge.,bagel,FOOD,FOOD,bagel
176,1297844:3,They were served warm and had a soft fluffy interior.,,FOOD,AMBIENCE,interior
177,1297844:4,The workers there also absolutely load the bagel with cream cheese (gets a little messy).,bagel,FOOD,SERVICE|FOOD|FOOD|FOOD,workers|bagel|cream|cheese
178,1300636:0,This was my frist time at Cafe St. Bart's and I must say how delicous the food and the service was.,"food,service","FOOD,SERVICE",FOOD|FOOD|FOOD|SERVICE,frist|time|food|service
179,1300636:2,I have to highly recommend the lobster roll - not to much mayo; you can tell it was a fresh lobster.,"lobster roll,lobster","FOOD,FOOD",FOOD|FOOD|FOOD|FOOD,lobster|roll|mayo|lobster
180,1300636:3,"Other guests enjoyed pizza, santa fe chopped salad and fish and chips.","pizza,santa fe chopped salad,fish and chips","FOOD,FOOD,FOOD",SERVICE|FOOD|FOOD|FOOD|FOOD|FOOD|FOOD,guests|pizza|santa|fe|salad|fish|chips
181,1300636:4,"I highly recommend Cafe St. Bart's for their food, the ambience and wonderful service.","food,ambience,service","FOOD,AMBIENCE,SERVICE",FOOD|AMBIENCE|SERVICE,food|ambience|service
182,1303888:0,All the staff is absolutely professional!! ,staff,SERVICE,SERVICE,staff
