,id,review,opinion,label,preprocessed
27,1632445:6,the lobster sandwich is $24 and although it was good it was not nearly enough to warrant that price.,good,negative,"['lobster', 'sandwich', '', 'although', 'good', 'nearly', 'enough', 'warrant', 'price']"
28,1655504:1,cheese plate is a varied delight and great bargain at $10.,bargain,positive,"['cheese', 'plate', 'varied', 'delight', 'great', 'bargain', '']"
29,1655504:4,wine list is extensive without being over-priced.,overpriced,positive,"['wine', 'list', 'extensive', 'without', 'overpriced']"
30,1661757:2,"the ambience was so fun, and the prices were great, on top of the fact that the food was really tasty.",great,positive,"['ambience', 'fun', 'price', 'great', 'top', 'fact', 'food', 'really', 'tasty']"
31,1671113:1,the food is great and reasonably priced.,reasonably,positive,"['food', 'great', 'reasonably', 'priced']"
32,1748813:1,all of the pizzas are terrific and the price is even better!,terrific,positive,"['pizza', 'terrific', 'price', 'even', 'better']"
33,436868:2,"the sandwiches are dry, tasteless and way overpriced.",overpriced,negative,"['sandwich', 'dry', 'tasteless', 'way', 'overpriced']"
34,454704:2,this place is not worth the prices.,worth,negative,"['place', 'worth', 'price']"
35,490565:4,"you can get a completely delish martini in a glass (that's about 2 1/2 drinks) for $8.50 (i recommend the vanilla shanty, mmmm!) in a great homey setting with great music.",recommend,positive,"['get', 'completely', 'delish', 'martini', 'glass', 'thats', '', '', 'drink', '', 'recommend', 'vanilla', 'shanty', 'mmmm', 'great', 'homey', 'setting', 'great', 'music']"
36,493013:1,"its location is good and the fact that hutner college is near and their prices are very reasonable, makes students go back to suan again and again.",reasonable,positive,"['location', 'good', 'fact', 'hutner', 'college', 'near', 'price', 'reasonable', 'make', 'student', 'go', 'back', 'suan']"
37,498657:2,"the rest of the dim sum, though pricey by chinatown standards, is worth it.",pricey,negative,"['rest', 'dim', 'sum', 'though', 'pricey', 'chinatown', 'standard', 'worth']"
38,505535:0,this little place has a cute interior decor and affordable city prices.,affordable,positive,"['little', 'place', 'cute', 'interior', 'decor', 'affordable', 'city', 'price']"
39,507937:2,spreads and toppings are great - though a bit pricey.,great,negative,"['spread', 'topping', 'great', 'though', 'bit', 'pricey']"
40,512294:0,"great food, great prices, great service.",great,positive,"['great', 'food', 'great', 'price', 'great', 'service']"
41,527109:3,the wine list is extensive and can easily hike up an otherwise reasonably priced meal.,reasonably,positive,"['wine', 'list', 'extensive', 'easily', 'hike', 'otherwise', 'reasonably', 'priced', 'meal']"
42,584025:2,the food is great and they have a good selecion of wines at reasonable prices.,reasonable,positive,"['food', 'great', 'good', 'selecion', 'wine', 'reasonable', 'price']"
43,620892:3,ravioli was good...but i have to say that i found everything a bit overpriced.,overpriced,negative,"['ravioli', 'goodbut', 'say', 'found', 'everything', 'bit', 'overpriced']"
44,624715:0,this place is a great bargain.,great,positive,"['place', 'great', 'bargain']"
45,720418:4,great food and the prices are very reasonable.,reasonable,positive,"['great', 'food', 'price', 'reasonable']"
46,720620:5,simply some good tasting chinese food at incredible prices...,incredible,positive,"['simply', 'good', 'tasting', 'chinese', 'food', 'incredible', 'price']"
47,735448:2,"good music, great food, speedy service affordable prices.",great,positive,"['good', 'music', 'great', 'food', 'speedy', 'service', 'affordable', 'price']"
48,740923:2,price and quality of fish alone will keep us from making a return visit.,keep,negative,"['price', 'quality', 'fish', 'alone', 'keep', 'u', 'making', 'return', 'visit']"
49,751493:0,i am relatively new to the area and tried pick a bgel on 2nd and was disappointed with the service and i thought the food was overated and on the pricey side.,pricey,negative,"['relatively', 'new', 'area', 'tried', 'pick', 'bgel', 'nd', 'disappointed', 'service', 'thought', 'food', 'overated', 'pricey', 'side']"
50,757762:0,baluchi's has solid food and a nice decor at reasonable prices.,reasonable,positive,"['baluchi', 'solid', 'food', 'nice', 'decor', 'reasonable', 'price']"
51,758263:3,$20 for all you can eat sushi cannot be beaten.,eat,positive,"['', 'eat', 'sushi', 'beaten']"
52,BFC#4:2,it was totally overpriced- fish and chips was about $15....,overpriced,negative,"['totally', 'overpriced', 'fish', 'chip', '']"
53,Z#3:2,"i paid just about $60 for a good meal, though :)",good,positive,"['paid', '', 'good', 'meal', 'though']"
54,TM#7:0,excellent food for great prices,great,positive,"['excellent', 'food', 'great', 'price']"
55,TFS#8:2,i do not think dinner in manhattan should cost $400.00 where i am not swept off my feet.,cost,negative,"['think', 'dinner', 'manhattan', 'cost', '', 'swept', 'foot']"
56,P#10:3,and $11 for a plate of bland guacamole?,bland,negative,"['', 'plate', 'bland', 'guacamole']"
57,TR#8:4,we were offered water for the table but were not told the voss bottles of water were $8 a piece.,told,negative,"['offered', 'water', 'table', 'told', 'voss', 'bottle', 'water', '', 'piece']"
58,NP#3:6,prices are fair across the board for both food and bev.,fair,positive,"['price', 'fair', 'across', 'board', 'food', 'bev']"
59,BzG#2:0,"great place, great value.",great,positive,"['great', 'place', 'great', 'value']"
60,BzG#2:1,"the food is flavorful, plentiful and reasonably priced.",reasonably,positive,"['food', 'flavorful', 'plentiful', 'reasonably', 'priced']"
61,TM#5:3,helpful service and average price per dish $10.,helpful,positive,"['helpful', 'service', 'average', 'price', 'per', 'dish', '']"
62,TVU#6:3,the martinis are amazing and very fairly priced.,fairly,positive,"['martini', 'amazing', 'fairly', 'priced']"
63,TFS#5:2,but $500 for a dinner for two that didn't include wine?,didnt,negative,"['', 'dinner', 'two', 'include', 'wine']"
64,TFS#5:30,"service was just ok, it is not what you'd expect for $500.",ok,negative,"['service', 'ok', 'expect', '']"
65,CLF#3:4,i literally just got back home after visiting casa la femme and was so offended by my visit felt it necessary to try and warn other diners who value their money and time.,other,negative,"['literally', 'got', 'back', 'home', 'visiting', 'casa', 'la', 'femme', 'offended', 'visit', 'felt', 'necessary', 'try', 'warn', 'diner', 'value', 'money', 'time']"
66,CLF#3:13,"however, our $14 drinks were were horrible!",horrible,negative,"['however', '', 'drink', 'horrible']"
67,CLF#3:23,i would not expect this for a $55 dinner.,expect,negative,"['would', 'expect', '', 'dinner']"
68,CLF#3:29,if it seemed possible to do so while there i would have fought my bill since my dinner portion of my meal was inedible!,inedible,negative,"['seemed', 'possible', 'would', 'fought', 'bill', 'since', 'dinner', 'portion', 'meal', 'inedible']"
69,BG#5:4,"i have it a 4 instead of 5 because of the price (just chicken tikka masala - no bread of rice - is $25), which i would expect at a upscale indian restaurant but this place doesn't have an upscale feel.",upscale,negative,"['', 'instead', '', 'price', 'chicken', 'tikka', 'masala', 'bread', 'rice', '', 'would', 'expect', 'upscale', 'indian', 'restaurant', 'place', 'upscale', 'feel']"
70,BG#5:7,"but if you're prepared to spend some $ and remember to ask if something they offer is complimentary, then this is the place to go for indian food",complimentary,negative,"['prepared', 'spend', 'remember', 'ask', 'something', 'offer', 'complimentary', 'place', 'go', 'indian', 'food']"
71,DBG#7:5,too bad i had paid an extra $2 for the stone bowl.,bad,negative,"['bad', 'paid', 'extra', '', 'stone', 'bowl']"
72,Z#6:5,"my party had the bbe $29 fixe prix menu, which was such a wonderful deal since it also came with a flight of sake!",wonderful,positive,"['party', 'bbe', '', 'fixe', 'prix', 'menu', 'wonderful', 'deal', 'since', 'also', 'came', 'flight', 'sake']"
73,Z#6:13,"maybe it was the great company (i had friends visiting from philly – yes, it was not a date this time) or the super reasonable price point, but i just can’t say enough good things about this brasserie.",reasonable,positive,"['maybe', 'great', 'company', 'friend', 'visiting', 'philly', '', 'yes', 'date', 'time', 'super', 'reasonable', 'price', 'point', '', 'say', 'enough', 'good', 'thing', 'brasserie']"
74,CLF#6:5,"they are extremely rude, not even apologizing for the horrible service we got and handing us a bill well over $500 for some drinks adn their pita bread!",well,negative,"['extremely', 'rude', 'even', 'apologizing', 'horrible', 'service', 'got', 'handing', 'u', 'bill', 'well', '', 'drink', 'adn', 'pita', 'bread']"
75,TR#5:6,"price is high but the food is good, so i would come back again.",good,negative,"['price', 'high', 'food', 'good', 'would', 'come', 'back']"
76,FF#3:9,"i took one bite from the $24 salmon, and i have never, in the 17 years i have been going to restaurants tasted salmon as fishy, as dry, and as bland as the one in flatbush farms.",bland,negative,"['took', 'one', 'bite', '', 'salmon', 'never', '', 'year', 'going', 'restaurant', 'tasted', 'salmon', 'fishy', 'dry', 'bland', 'one', 'flatbush', 'farm']"
77,BHD#4:5,only complaint is the pricing--i believe it would be more reasonable to pay a dollar less on each item listed on the menu.,reasonable,negative,"['complaint', 'pricingi', 'believe', 'would', 'reasonable', 'pay', 'dollar', 'le', 'item', 'listed', 'menu']"
78,BFC#7:11,"considering you will spend at least $60 a head, i expect better service.",better,negative,"['considering', 'spend', 'least', '', 'head', 'expect', 'better', 'service']"
79,BHD#8:1,"at first glance this place seems a bit pricey for a hot dog joint, but at bark you don't just get your average hot dog.",pricey,negative,"['first', 'glance', 'place', 'seems', 'bit', 'pricey', 'hot', 'dog', 'joint', 'bark', 'get', 'average', 'hot', 'dog']"
