,id,review,target,label,predict,term,polarity
11,1189674:4,"great wine selection, gigondas is worth the price, and the house champagne is a great value.","wine selection,Gigondas,house champagne","FOOD,FOOD,PRICES",PRICES|PRICES|FOOD|AMBIENCE|AMBIENCE,price|selection|wine|great|great,"positive,positive,positive"
12,1212346:4,tiny dessert was $8.00...just plain overpriced for what it is.,"dessert,dessert","FOOD,PRICES",PRICES|PRICES,price|priced,"negative,negative"
13,1221938:0,the drinks are always welll made and wine selection is fairly priced.,"drinks,wine selection","FOOD,PRICES",PRICES|PRICES|PRICES|PRICES||FOOD|PRICES|SERVICE|FOOD|,price|fairly|selection|priced|welll|drink|made|always|wine|well,"positive,positive"
14,1225162:4,the bar is very well stocked with interesting beers and well priced wines.,"bar,beers,wines","FOOD,FOOD,PRICES",PRICES|PRICES|FOOD|AMBIENCE|AMBIENCE,price|priced|wine|well|well,"positive,positive,positive"
15,1310217:2,the price is reasonable although the service is poor.,"NULL,service","PRICES,SERVICE",PRICES|SERVICE|PRICES|PRICES,price|service|though|reasonable,"positive,negative"
16,1338124:0,"this is some really good, inexpensive sushi.","sushi,sushi","FOOD,PRICES",PRICES|FOOD|PRICES,good|sushi|really,"positive,positive"
17,1338124:2,the spicy tuna roll is huge and probably the best that i've had at this price range.,"spicy Tuna roll,spicy Tuna roll,spicy Tuna roll","FOOD,FOOD,PRICES",PRICES|FOOD|FOOD|FOOD|PRICES,price|roll|tuna|spicy|best,"positive,positive,positive"
18,1338124:4,"i have reservations about the all you can eat deal, however -- the choices are fairly limited and you can probably order more food than you can eat for less than $18 by just going off the menu.","all you can eat deal,all you can eat deal","FOOD,PRICES",FOOD|PRICES|FOOD|PRICES,food|fairly|menu|ever,"negative,negative"
19,1340075:1,"they have it all -- great price, food, and service.","NULL,NULL,food,service","PRICES,FOOD,SERVICE",PRICES|FOOD|AMBIENCE|SERVICE,price|food|great|service,"positive,positive,positive,positive"
20,1340075:4,"and it all comes at a very reasonable price (congee, noodles, and rice dishes are no more than $3-6 each).","NULL,congee,noodles,rice dishes","PRICES,PRICES,PRICES,PRICES",PRICES|PRICES,price|reasonable,"positive,positive,positive,positive"
21,1394712:0,very affordable and excellent ambient!,"ambient,NULL","AMBIENCE,PRICES",SERVICE,excellent,"positive,positive"
22,1398844:2,"the tables are crammed way too close, the menu is typical of any italian restaurant, and the wine list is simply overpriced.","tables,menu,wine list","AMBIENCE,FOOD,PRICES",PRICES|PRICES|FOOD|FOOD,price|priced|wine|menu,"negative,neutral,negative"
23,1398844:3,slightly above average wines start at $70+ with only one selection listed at $30+.,"wines,wines","FOOD,PRICES",PRICES|FOOD|PRICES,selection|wine|start,"negative,negative"
24,1439875:3,the food can get pricey but the prixe fixe tasting menu is the greatest food for a good price and they cater the food to any food allergies or food you don't like.,"food,prixe fixe tasting menu,prixe fixe tasting menu,NULL","PRICES,FOOD,PRICES,SERVICE",PRICES|PRICES|FOOD|FOOD|FOOD|FOOD|FOOD|PRICES|PRICES|FOOD|AMBIENCE,price|price|food|food|food|food|food|great|good|menu|like,"negative,positive,positive,positive"
25,1459569:2,drinks way over priced.,Drinks,PRICES,PRICES|PRICES|FOOD,price|priced|drink,negative
26,1471273:3,prices too high for this cramped and unappealing resturant.,"resturant,resturant","PRICES,AMBIENCE",PRICES|PRICES,price|high,"negative,negative"
27,1490757:2,the prices were cheap compared to the quality of service and food.,"NULL,service,food","PRICES,SERVICE,FOOD",PRICES|FOOD|PRICES|SERVICE,price|food|quality|service,"positive,positive,positive"
28,1506491:0,"i have known about this secret for the last 13 years, emilio(the godfather) has continued to serve food and wine for the gods at mortal prices.","food,wine,food,wine","FOOD,FOOD,PRICES,PRICES",PRICES|FOOD|FOOD,price|food|wine,"positive,positive,positive,positive"
29,1538149:0,"i found the food, service and value exceptional everytime i have been there.","food,service,NULL","FOOD,SERVICE,PRICES",FOOD|AMBIENCE|FOOD|SERVICE|FOOD,food|there|every|service|ever,"positive,positive,positive"
30,1561259:4,"this place is pricey, and yes, the food is worth it; but the service makes you feel like you should be paying a quater of the price.","place,food,service","PRICES,FOOD,SERVICE",PRICES|PRICES|FOOD|AMBIENCE|AMBIENCE|AMBIENCE|SERVICE|PRICES,price|price|food|place|feel|like|service|make,"negative,positive,negative"
31,1572027:3,i ate here a week ago and found most dishes average at best and too expensive.,"dishes,dishes","FOOD,PRICES",PRICES|PRICES,week|best,"negative,negative"
32,1609375:3,"try the pad thai, it's fabulous and their prices are so cheap!","Pad Thai,NULL","FOOD,PRICES",PRICES,price,"positive,positive"
33,1609375:4,"just because it's cheap does not mean the portions are small or the food is nasty, it is great!","portions,food,NULL","FOOD,FOOD,PRICES",FOOD|AMBIENCE|AMBIENCE,food|great|portion,"positive,positive,positive"
34,1611489:1,"also, the sandwiches (nearing $7) didn't come with anything like chips or a side.","sandwiches,sandwiches","FOOD,PRICES",AMBIENCE|PRICES|FOOD,like|also|sandwich,"negative,negative"
35,1615322:2,they have authentic indian at amazin prices.,"Indian,Indian","FOOD,PRICES",PRICES,price,"positive,positive"
36,1632445:4,the only fallback on this restaurant is the prices.,restaurant,PRICES,PRICES|PRICES,price|back,negative
37,1632445:5,"even though its good seafood, the prices are too high.","seafood,seafood","FOOD,PRICES",PRICES|FOOD|PRICES|FOOD|PRICES|PRICES|PRICES,price|food|good|seafood|even|high|though,"positive,negative"
38,1632445:6,the lobster sandwich is $24 and although it was good it was not nearly enough to warrant that price.,"lobster sandwich,lobster sandwich,lobster sandwich","FOOD,FOOD,PRICES",PRICES|PRICES|PRICES|FOOD,price|good|though|sandwich,"positive,negative,negative"
39,1649025:2,the food is so cheap and the waiters are nice.,"food,waiters","PRICES,SERVICE",FOOD|AMBIENCE|SERVICE,food|nice|wait,"positive,positive"
40,1655504:1,cheese plate is a varied delight and great bargain at $10.,"Cheese plate,Cheese plate,Cheese plate","FOOD,FOOD,PRICES",AMBIENCE|PRICES|FOOD|AMBIENCE|FOOD,great|bargain|plate|varied|delight,"positive,positive,positive"
41,1655504:4,wine list is extensive without being over-priced.,"Wine list,Wine list","FOOD,PRICES",PRICES|PRICES|FOOD|PRICES,price|priced|wine|without,"positive,positive"
42,1655521:2,"the food was very good, a great deal, and the place its self was great.","food,food,place","FOOD,PRICES,AMBIENCE",FOOD|AMBIENCE|AMBIENCE|PRICES|AMBIENCE,food|great|great|good|place,"positive,positive,positive"
43,1661757:2,"the ambience was so fun, and the prices were great, on top of the fact that the food was really tasty.","ambience,NULL,food","AMBIENCE,PRICES,FOOD",PRICES|FOOD|AMBIENCE|PRICES,price|food|great|really,"positive,positive,positive"
44,1671113:1,the food is great and reasonably priced.,"food,food","FOOD,PRICES",PRICES|FOOD|PRICES|AMBIENCE,price|food|priced|great,"positive,positive"
45,1727363:1,this is a wonderful place on all stand points especially value ofr money.,"place,place",PRICES,AMBIENCE|PRICES,place|special,"positive,positive"
46,1748813:1,all of the pizzas are terrific and the price is even better!,"pizzas,pizzas","FOOD,PRICES",PRICES|PRICES|PRICES|FOOD,price|better|even|terrific,"positive,positive"
47,404464:3,i expected quite a bit more from such an expensive menu.,"menu,menu","PRICES,FOOD",FOOD|AMBIENCE,menu|quite,"negative,negative"
48,426930:0,authentic taiwanese food that's cheap... what more could you ask for?,"Taiwanese food,Taiwanese food","FOOD,PRICES",FOOD,food,"positive,positive"
49,436868:2,"the sandwiches are dry, tasteless and way overpriced.","sandwiches,sandwiches","FOOD,PRICES",PRICES|PRICES|FOOD,price|priced|sandwich,"negative,negative"
50,454704:2,this place is not worth the prices.,"place,place",PRICES,PRICES|AMBIENCE,price|place,"negative,negative"
51,475298:2,food is great and inexpensive.,"Food,Food","FOOD,PRICES",FOOD|AMBIENCE,food|great,"positive,positive"
52,475512:3,if you like your music blasted and the system isnt that great and if you want to pay at least 100 dollar bottle minimun then you'll love it here.,"bottle minimun,music","PRICES,AMBIENCE",AMBIENCE|AMBIENCE|AMBIENCE,great|like|music,"negative,negative"
53,483111:1,the food is reliable and the price is moderate.,"food,NULL","FOOD,PRICES",PRICES|FOOD,price|food,"positive,neutral"
54,490565:4,"you can get a completely delish martini in a glass (that's about 2 1/2 drinks) for $8.50 (i recommend the vanilla shanty, mmmm!) in a great homey setting with great music.","martini,martini,martini,Vanilla Shanty,setting,music","FOOD,FOOD,PRICES,FOOD,AMBIENCE,AMBIENCE",FOOD|AMBIENCE|AMBIENCE|AMBIENCE|AMBIENCE|FOOD|AMBIENCE,drink|great|great|completely|setting|vanilla|music,"positive,positive,positive,positive,positive,positive"
55,493013:1,"its location is good and the fact that hutner college is near and their prices are very reasonable, makes students go back to suan again and again.","location,Suan","AMBIENCE,PRICES",PRICES|PRICES|SERVICE|PRICES|PRICES,price|good|back|reasonable|make,"positive,positive"
56,498657:2,"the rest of the dim sum, though pricey by chinatown standards, is worth it.","dim sum,dim sum","PRICES,FOOD",PRICES|PRICES|AMBIENCE,price|though|town,"negative,positive"
57,505535:0,this little place has a cute interior decor and affordable city prices.,"interior decor,place","AMBIENCE,PRICES",PRICES|AMBIENCE|AMBIENCE|AMBIENCE,price|place|decor|little,"positive,positive"
58,507937:2,spreads and toppings are great - though a bit pricey.,"Spreads,toppings,Spreads,toppings","FOOD,FOOD,PRICES,PRICES",PRICES|AMBIENCE|PRICES,price|great|though,"positive,positive,negative,negative"
59,512294:0,"great food, great prices, great service.","food,NULL,service","FOOD,PRICES,SERVICE",PRICES|FOOD|AMBIENCE|AMBIENCE|AMBIENCE|SERVICE,price|food|great|great|great|service,"positive,positive,positive"
60,512294:1,"if you are looking for a good quality, cheap eats - this is the place.","eats,eats","FOOD,PRICES",PRICES|PRICES|PRICES|AMBIENCE,quality|look|good|place,"positive,positive"
61,527109:3,the wine list is extensive and can easily hike up an otherwise reasonably priced meal.,"wine list,meal","FOOD,PRICES",PRICES|PRICES|FOOD,price|priced|wine,"positive,positive"
62,527109:4,"still, any quibbles about the bill were off-set by the pour-your-own measures of liquers which were courtesey of the house...","NULL,measures of liquers","PRICES,FOOD",,,"neutral,positive"
63,558423:4,"however, if you want great food at a great price and don't mind the decor, you can't beat this place.","food,decor,food","FOOD,AMBIENCE,PRICES",PRICES|FOOD|AMBIENCE|AMBIENCE|AMBIENCE|AMBIENCE|PRICES,price|food|great|great|place|decor|ever,"positive,neutral,positive"
64,565344:1,this little place definitely exceeded my expectations and you sure get a lot of food for your money.,"food,place,food","FOOD,PRICES",FOOD|AMBIENCE|AMBIENCE,food|place|little,"positive,positive,positive"
65,584025:2,the food is great and they have a good selecion of wines at reasonable prices.,"food,selecion of wines,selecion of wines","FOOD,FOOD,PRICES",PRICES|FOOD|FOOD|AMBIENCE|PRICES|PRICES,price|food|wine|great|good|reasonable,"positive,positive,positive"
66,620892:3,ravioli was good...but i have to say that i found everything a bit overpriced.,"Ravioli,NULL","FOOD,PRICES",PRICES|PRICES||FOOD|FOOD,price|priced|good|every|ever,"positive,negative"
67,620892:6,"food was just average...if they lowered the prices just a bit, it would be a bigger draw.","Food,Food","FOOD,PRICES",PRICES|FOOD|PRICES,price|food|would,"neutral,negative"
68,624715:0,this place is a great bargain.,place,PRICES,AMBIENCE|AMBIENCE|PRICES,great|place|bargain,positive
69,624715:4,"just straight up cheap, good food.","food,food","FOOD,PRICES",FOOD|PRICES,food|good,"positive,positive"
70,626269:3,bottles of wine are cheap and good.,"bottles of wine,bottles of wine","PRICES,FOOD",FOOD|PRICES,wine|good,"positive,positive"
71,657129:3,the drinks are amazing and half off till 8pm.,"drinks,drinks","FOOD,PRICES",FOOD|AMBIENCE,drink|amazing,"positive,positive"
72,720418:4,great food and the prices are very reasonable.,"food,NULL","FOOD,PRICES",PRICES|FOOD|AMBIENCE|PRICES,price|food|great|reasonable,"positive,positive"
73,720620:5,simply some good tasting chinese food at incredible prices...,"Chinese food,Chinese food","FOOD,PRICES",PRICES|FOOD|PRICES,price|food|good,"positive,positive"
74,735448:2,"good music, great food, speedy service affordable prices.","music,food,service,NULL","AMBIENCE,FOOD,SERVICE,PRICES",PRICES|FOOD|AMBIENCE|PRICES|SERVICE|AMBIENCE,price|food|great|good|service|music,"positive,positive,positive,positive"
75,740923:2,price and quality of fish alone will keep us from making a return visit.,"fish,fish,NULL","PRICES,FOOD",PRICES|AMBIENCE|SERVICE|PRICES|PRICES|FOOD|PRICES,price|visit|return|making|alone|fish|quality,"negative,negative,negative"
76,744478:1,"fabulous decor - makes you feel like you're in a trendy manhattan restaurant, very very good food, cheaply-priced, generally friendly staff, and if you're a manhattanite, or spend most of your time in manhattan, rice avenue will make you feel at home.....very soho/village/upper west side minus the expensive prices and pretentious clientele.....all on roosevelt avenue!","decor,food,food,staff,Rice Avenue,Rice Avenue,Rice Avenue","AMBIENCE,FOOD,PRICES,SERVICE,AMBIENCE,AMBIENCE,PRICES",||FOOD||PRICES|AMBIENCE|AMBIENCE|AMBIENCE|AMBIENCE|AMBIENCE|AMBIENCE|AMBIENCE|PRICES|PRICES,price|price|food|priced|good|feel|feel|like|avenue|avenue|decor|friend|make|make,"positive,positive,positive,positive,positive,positive,positive"
77,746254:4,"with so many good restaurants on the uws, i don't need overpriced food, absurdly arrogant wait-staff who don't recognize they work at a glorified diner, clumsy service, and management that doesn't care.","food,wait-staff,service,management","PRICES,SERVICE,SERVICE,SERVICE",PRICES|FOOD|AMBIENCE|PRICES|PRICES|SERVICE|PRICES|SERVICE,price|food|many|priced|good|service|need|wait,"negative,negative,negative,negative"
78,751493:0,i am relatively new to the area and tried pick a bgel on 2nd and was disappointed with the service and i thought the food was overated and on the pricey side.,"service,food,food","SERVICE,PRICES,FOOD",PRICES|FOOD|SERVICE|AMBIENCE|AMBIENCE||SERVICE|AMBIENCE,price|food|service|though|area|bgel|pick|thought,"negative,negative,negative"
79,754495:2,the food is okay and the prices here are mediocre.,"food,NULL","FOOD,PRICES",PRICES|FOOD,price|food,"neutral,neutral"
80,757762:0,baluchi's has solid food and a nice decor at reasonable prices.,"food,decor,Baluchi's","FOOD,AMBIENCE,PRICES",PRICES|FOOD|AMBIENCE|AMBIENCE|PRICES|PRICES|PRICES,price|food|decor|nice|baluchi|solid|reasonable,"positive,positive,positive"
81,758263:3,$20 for all you can eat sushi cannot be beaten.,all you can eat sushi,PRICES,FOOD|FOOD,eaten|sushi,positive
82,BFC#4:2,it was totally overpriced- fish and chips was about $15....,"NULL,fish and chips","PRICES,PRICES",PRICES|FOOD|PRICES,price|fish|priced,"negative,negative"
83,Z#3:2,"i paid just about $60 for a good meal, though :)","meal,meal","FOOD,PRICES",PRICES|PRICES,good|though,"positive,positive"
84,TM#7:0,excellent food for great prices,"food,food","FOOD,PRICES",PRICES|FOOD|AMBIENCE|SERVICE,price|food|great|excellent,"positive,positive"
85,RL#3:1,"im not necessarily fanatical about this place, but it was a fun time for low pirces.","place,place",PRICES,AMBIENCE,place,"positive,positive"
86,Y#5:0,overpriced japanese food with mediocre service,"japanese food,service","PRICES,SERVICE",PRICES|FOOD|PRICES|SERVICE,price|food|priced|service,"negative,neutral"
87,TFS#8:0,"not because you are ""the four seasons""... – you are allowed to charge an arm and a leg for a romatic dinner.",The Four Seasons,PRICES,FOOD,dinner,negative
88,TFS#8:2,i do not think dinner in manhattan should cost $400.00 where i am not swept off my feet.,dinner,PRICES,FOOD,dinner,negative
89,P#10:3,and $11 for a plate of bland guacamole?,"guacamole,guacamole","FOOD,PRICES",FOOD|FOOD,bland|plate,"negative,negative"
90,TM#3:3,"the food was good, the place was clean and affordable.","food,place,place","FOOD,AMBIENCE,PRICES",FOOD|PRICES|AMBIENCE|FOOD,food|good|place|clean,"positive,positive,positive"
91,TR#8:4,we were offered water for the table but were not told the voss bottles of water were $8 a piece.,Voss bottles of water,PRICES,PRICES|SERVICE,offer|told,negative
92,P#9:9,"overall, decent food at a good price, with friendly people.","food,food,people","FOOD,PRICES,SERVICE",PRICES|FOOD|PRICES|AMBIENCE,price|food|good|friend,"neutral,positive,positive"
93,TR#2:2,the high prices you're going to pay is for the view not for the food.,"view,food,NULL","AMBIENCE,FOOD,PRICES",PRICES|FOOD|PRICES,price|food|high,"neutral,negative,negative"
94,TFS#10:8,not what i would expect for the price and prestige of this location.,"NULL,location,location","SERVICE,PRICES",PRICES|PRICES,price|would,"negative,neutral,neutral"
95,Z#9:6,so what you really end up paying for is the restaurant not the food.,"restaurant,restaurant,food","PRICES,AMBIENCE,FOOD",FOOD|PRICES,food|really,"negative,neutral,negative"
96,NP#3:6,prices are fair across the board for both food and bev.,"food,bev","PRICES,PRICES",PRICES|FOOD,price|food,"positive,positive"
97,BzG#2:0,"great place, great value.","place,place",PRICES,AMBIENCE|AMBIENCE|AMBIENCE,great|great|place,"positive,positive"
98,BzG#2:1,"the food is flavorful, plentiful and reasonably priced.","food,food,food","FOOD,FOOD,PRICES",PRICES|FOOD|PRICES,price|food|priced,"positive,positive,positive"
99,TM#5:3,helpful service and average price per dish $10.,"service,dish","SERVICE,PRICES",PRICES|SERVICE,price|service,"positive,positive"
100,TVU#6:3,the martinis are amazing and very fairly priced.,"martinis,martinis","FOOD,PRICES",PRICES|PRICES|PRICES|AMBIENCE,price|fairly|priced|amazing,"positive,positive"
101,TFS#5:2,but $500 for a dinner for two that didn't include wine?,dinner for two,PRICES,FOOD|FOOD,wine|dinner,negative
102,TFS#5:7,what you are paying for is the environment and the name.,"environment,NULL,NULL","AMBIENCE,PRICES",,,"neutral,neutral,negative"
103,TFS#5:8,"yes, the place is classy and beautiful, but they most certainly target the uber whealthy not the common joe that wants to go all out every once in a while.","place,place","AMBIENCE,PRICES",AMBIENCE|PRICES|PRICES,place|every|ever,"positive,negative"
104,TFS#5:21,"i read reviews that called the restaurant too expensive and i thought to myself, but may be it is worth it.","restaurant,restaurant",PRICES,AMBIENCE|AMBIENCE,though|thought,"negative,negative"
105,TFS#5:23,"the four seasons has history and it is a sort of landmark of new york city restaurants, but trust me, they will charge you through the nose just so that you can say ""i've been to the four seasons restaurant"".","The Four Seasons,The Four Seasons",PRICES,,,"neutral,negative"
106,TFS#5:30,"service was just ok, it is not what you'd expect for $500.","Service,NULL","SERVICE,PRICES",SERVICE,service,"negative,negative"
107,CLF#3:4,i literally just got back home after visiting casa la femme and was so offended by my visit felt it necessary to try and warn other diners who value their money and time.,"Casa La Femme,Casa La Femme",PRICES,SERVICE|SERVICE|SERVICE,visit|visit|back,"negative,negative"
108,CLF#3:13,"however, our $14 drinks were were horrible!","drinks,drinks","FOOD,PRICES",FOOD|PRICES,drink|ever,"negative,negative"
109,CLF#3:23,i would not expect this for a $55 dinner.,"dinner,dinner","FOOD,PRICES",PRICES|FOOD,would|dinner,"negative,negative"
110,CLF#3:28,"by the time we left our wallets were empy and so were our stomachs and we missed the show we were supposed to see following our dinner, which would have been acceptable if we got to enjoy the experience of good food and belly dancers!","food,NULL,NULL","FOOD,PRICES",FOOD|PRICES|PRICES|FOOD,food|good|would|dinner,"negative,negative,negative"
111,CLF#3:29,if it seemed possible to do so while there i would have fought my bill since my dinner portion of my meal was inedible!,"meal,NULL","FOOD,PRICES",AMBIENCE|PRICES|AMBIENCE|PRICES|SERVICE|FOOD|AMBIENCE|FOOD,there|would|seemed|possible|fought|dinner|portion|inedible,"negative,negative"
112,CLF#3:30,"i have never left a restaurant feeling as if i was abused, and wasted my hard earned money.","restaurant,restaurant",PRICES,AMBIENCE|SERVICE,feel|ever,"negative,negative"
113,BFC#9:21,"all in all the food was good - a little on the expensive side, but fresh.","food,food","FOOD,PRICES",FOOD|PRICES|AMBIENCE,food|good|little,"positive,negative"
114,BG#5:4,"i have it a 4 instead of 5 because of the price (just chicken tikka masala - no bread of rice - is $25), which i would expect at a upscale indian restaurant but this place doesn't have an upscale feel.","place,place,chicken tikka masala,feel","PRICES,PRICES,AMBIENCE",PRICES|AMBIENCE|AMBIENCE|PRICES,price|place|feel|would,"positive,negative,negative,negative"
115,BG#5:7,"but if you're prepared to spend some $ and remember to ask if something they offer is complimentary, then this is the place to go for indian food","Indian food,place","FOOD,PRICES",FOOD|PRICES|AMBIENCE|AMBIENCE,food|offer|place|something,"positive,negative"
116,BG#8:3,the lunch buffet is expensive but is deff worth it.,"lunch buffet,lunch buffet","PRICES,FOOD",,,"negative,positive"
117,DBG#7:5,too bad i had paid an extra $2 for the stone bowl.,stone bowl,PRICES,,,negative
118,Z#6:5,"my party had the bbe $29 fixe prix menu, which was such a wonderful deal since it also came with a flight of sake!","BBE $29 fixe prix menu,BBE $29 fixe prix menu","PRICES,FOOD",AMBIENCE|FOOD|PRICES|AMBIENCE,part|menu|also|came,"positive,positive"
119,Z#6:13,"maybe it was the great company (i had friends visiting from philly – yes, it was not a date this time) or the super reasonable price point, but i just can’t say enough good things about this brasserie.","brasserie,brasserie",PRICES,PRICES|SERVICE|AMBIENCE|PRICES|PRICES|SERVICE,price|visit|great|good|reasonable|friend,"positive,positive"
120,CLF#6:5,"they are extremely rude, not even apologizing for the horrible service we got and handing us a bill well over $500 for some drinks adn their pita bread!","service,drinks,pita bread,NULL","SERVICE,PRICES,PRICES,SERVICE",FOOD|SERVICE|SERVICE|PRICES|AMBIENCE,drink|hand|service|even|well,"negative,negative,negative,negative"
121,DBG#6:7,"the meat is fresh, the sauces are great, you get kimchi and a salad free with your meal and service is good too.","meat,sauces,service,meal,kimchi,salad","FOOD,FOOD,SERVICE,FOOD,PRICES,PRICES",AMBIENCE|PRICES|SERVICE,great|good|service,"positive,positive,positive,positive,positive,positive"
122,TR#5:6,"price is high but the food is good, so i would come back again.","food,food,NULL","FOOD,PRICES",PRICES|FOOD|PRICES|PRICES|SERVICE|PRICES,price|food|good|high|back|would,"positive,negative,positive"
123,FF#3:9,"i took one bite from the $24 salmon, and i have never, in the 17 years i have been going to restaurants tasted salmon as fishy, as dry, and as bland as the one in flatbush farms.","salmon,salmon","FOOD,PRICES",FOOD|FOOD|SERVICE,fish|bland|ever,"negative,negative"
124,CLF#4:12,the decor however seems to be the distraction so you won't notice that you just payed 300 bucks for some cold eggplant that took 2 frickin hours to come!!!!,"decor,eggplant,eggplant,NULL","AMBIENCE,FOOD,PRICES,SERVICE",AMBIENCE|PRICES,decor|ever,"neutral,negative,negative,negative"
125,BHD#4:5,only complaint is the pricing--i believe it would be more reasonable to pay a dollar less on each item listed on the menu.,menu,PRICES,FOOD|PRICES|PRICES,menu|would|reasonable,negative
126,BFC#7:11,"considering you will spend at least $60 a head, i expect better service.","service,NULL","SERVICE,PRICES",SERVICE|PRICES,service|better,"negative,negative"
127,BHD#8:1,"at first glance this place seems a bit pricey for a hot dog joint, but at bark you don't just get your average hot dog.","Bark,hot dog","PRICES,FOOD",PRICES|AMBIENCE,price|place,"negative,positive"
128,CLF#8:9,can’t believe how an expensive nyc restaurant can be so disrespectful to its clients.,"restaurant,NULL","PRICES,SERVICE",,,"negative,negative"
129,WE#1:3,"the bread was stale, the salad was overpriced and empty.","bread,salad,salad","FOOD,PRICES,FOOD",PRICES|PRICES,price|priced,"negative,negative,negative"
130,1004293:1,"we, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.",staff,SERVICE,AMBIENCE|AMBIENCE|AMBIENCE,place|there|like,negative
131,1004293:3,the food was lousy - too sweet or too salty and the portions tiny.,"food,portions","FOOD,FOOD",FOOD|AMBIENCE,food|portion,"negative,negative"
132,1014458:0,"i have eaten at saul, many times, the food is always consistently, outrageously good.",food,FOOD,FOOD|AMBIENCE|FOOD|SERVICE|PRICES,food|many|eaten|always|good,positive
133,1014458:2,the duck confit is always amazing and the foie gras terrine with figs was out of this world.,"foie gras terrine with figs,duck confit","FOOD,FOOD",SERVICE|AMBIENCE|AMBIENCE|FOOD|FOOD,always|amazing|world|terrine|gras,"positive,positive"
134,1016296:1,ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.,cart attendant,SERVICE,AMBIENCE|SERVICE|SERVICE,away|back|asked,negative
135,1016296:4,chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family.,"Chow fun,pork shu mai,NULL","FOOD,FOOD",PRICES,share,"negative,negative,negative"
136,1032695:1,"everything is always cooked to perfection, the service is excellent, the decor cool and understated.","NULL,service,decor","FOOD,SERVICE,AMBIENCE",SERVICE|FOOD|SERVICE|AMBIENCE|FOOD|SERVICE,always|every|service|decor|ever|excellent,"positive,positive,positive"
137,1032695:2,i had the duck breast special on my last visit and it was incredible.,duck breast special,FOOD,AMBIENCE|SERVICE,visit|special,positive
138,1041457:2,"the food is very average...the thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.","food,Thai fusion stuff,NULL","FOOD,FOOD,FOOD",FOOD|PRICES|PRICES,food|every|ever,"negative,negative,negative"
139,1041457:3,the only thing i moderately enjoyed was their grilled chicken special with edamame puree.,Grilled Chicken special with Edamame Puree,FOOD,SERVICE,special,positive
140,1041457:4,i had never had edamame pureed before but i thought it was innovative and tasty (could've used a bit more salt).,"Edamame pureed,Edamame pureed","FOOD,FOOD",AMBIENCE|SERVICE|AMBIENCE,though|ever|thought,"positive,positive"
141,1041457:6,"the decor is night tho...but they really need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.","place,decor,vent","AMBIENCE,AMBIENCE,AMBIENCE",PRICES|AMBIENCE|AMBIENCE|AMBIENCE|PRICES|AMBIENCE|FOOD|AMBIENCE|PRICES|FOOD|AMBIENCE|PRICES,look|place|decor|night|need|vent|clean|modern|make|kill|quite|really,"negative,positive,negative"
142,1053543:2,"their sake list was extensive, but we were looking for purple haze, which wasn't listed but made for us upon request!","sake list,NULL","FOOD,SERVICE",PRICES|PRICES,made|look,"positive,positive"
