,review,target,dp,dp_clause
26,the only two minor issues i have with the camera are the lens-cap ( it is not very snug and can come off too easily ) and the lens itself ( it partially obstructs the view through the viewfinder but not views through the lcd ) . ,lens cap!-,view!obstructs|lens!issues|viewfinder!view|lcd!view,lens-cap!issues|lens!issues|view!obstructs|viewfinder!view|lcd!view
27,recent price drops have made the g3 the best bargain in digital cameras currently available . ,camera!+,g3!bargain|bargain!available|price!recent,g3!bargain|bargain!digital|price!recent
28,newbies will find the full auto-setting will give them perfect pictures right out of the box . ,auto setting!+,box!perfect|auto-setting!full,auto-setting!full|box!perfect
29,4 megapixels is enough for anybody and the photo quality is awesome . ,photo quality!+,|quality!photo|anybody!photo,quality!awesome|anybody!photo|anybody!quality
30,i recommend unreservedly the powershot-g3 to any potential buyer looking for a first-class digital camera at a reasonable price - there is no better camera out there - period ! ,camera!+,powershot-g3!recommend|buyer!potential|camera!first-class|period!camera|price!reasonable,camera!better|powershot-g3!recommend|period!camera|buyer!potential|buyer!powershot-g3|price!reasonable
31,"the olympus is a bit clumsy-looking and the user-interface not as friendly as the canon , but one of the features that sold me on the g3 was the battery-life - no other camera out there gives you the type of battery-life as the canon-g3 . ",,|camera!other|type!camera|olympus!clumsy-looking|bit!olympus|canon-g3!camera,camera!other|type!camera|olympus!clumsy-looking|canon-g3!camera|bit!olympus
32,"i would recommend a larger compact-flash card , at least 128 mb . ",,card!recommend|mb!recommend,card!recommend|mb!recommend|mb!card
33,"at the same time , i wanted my wife to not be intimidated by knobs and buttons . ",,|time!same,time!same
34,"i showed her how to turn it on , where the lens-zoom-lever is , and she loves it ! ",,,lens-zoom-lever!loves
35,"i tried out some other brands in the stores , and was disappointed by the battery-life of the other company ; plus what you see in the lcd ( no optical finder ) is n't what you get - not even for color ; the output was less than i expected . ",,|company!other|battery-life!other|finder!optical,company!other|battery-life!other|finder!optical
36,"although canon 's batteries are proprietary , they last a really long time , recharge fairly quickly in the camera , plus if you want ' more power ' , you can even find a knockoff-charger and spare batteries right here on amazon . ",battery!+,canon!proprietary|time!long|knockoff-charger!proprietary,recharge!proprietary|camera!proprietary|time!long|canon!proprietary|knockoff-charger!proprietary
37,"the canon-g3 gives tons of control for photo buffs but still has an "" auto "" mode that makes it very easy for the novice to use . ",control!+,,novice!easy
38,i can hand this to anyone and know they will take some great photos ! ,,,anyone!great
39,"i love having the option to manually control the f-stop , shutter speed and even focus . ",control!+,,|option!f-stop|love!option
40,once i read the manual i was able to point and shoot without having to fumble around trying to figure out where the controls are located . ,,,point!manual|shoot!point
41,"with a quick spin of the dial you can select shutter priority ( for high speed subjects ) , aperture-priority ( for focal length ) or full program-mode where the camera selects both for ideal photo quality . ",dial!+,quality!ideal|spin!quick|dial!quick|program-mode!full|priority!high|aperture-priority!priority|length!priority|speed!high,program-mode!full|length!full|quality!ideal|spin!quick|dial!quick|priority!program-mode|aperture-priority!program-mode|speed!high
42,i would recomend that you purchase a lexar media cf for the camera as the sandisk-card that comes packaged is too small and too slow ! ,,|sandisk-card!cf,cf!cf|sandisk-card!cf|sandisk-card!cf
43,i did n't think i would find this quality and ease of use for under $ 1500 - i 'm thrilled with my purchase ! ,camera!+,,quality!ease|ease!quality
44,"this is my first digital camera , and i am very pleased with it . ",camera!+,|camera!first,camera!first
45,"i do not know a whole lot about photography , but i am happy to know that this camera can always perform , even as i grow in skill and knowledge . ",,|lot!whole|photography!whole,skill!skill|lot!whole|photography!whole|knowledge!skill
46,"but at the same time , it takes wonderful pictures very easily in "" auto "" mode , so that even an average joe like me can use it ! ",picture!+|auto mode!+,|time!same|joe!average,time!same|joe!average
47,this camera has significantly more noise at iso 100 than the nikon 4500 . ,,camera!noise|noise!camera,camera!noise|noise!nikon|noise!camera
48,"a ) the picture-quality ( color and sharpness of focusing ) are so great , it completely eliminated my doubt about digital imaging --- how could one eat rice one grain at a time : - ) ) ",picture quality!+,color!great|picture-quality!great|imaging!digital|sharpness!great|doubt!digital,imaging!digital|doubt!digital|color!great|sharpness!great|picture-quality!great
49,"b ) the lens-cover is surely loose , i already accidently finger-printed the len a few times , and au-lens-tigt and cause potential damage . ",lens cover!-,lens-cover!loose|len!finger-printed|len!few|b!lens-cover|damage!lens-cover,lens-cover!loose|len!few|b!lens-cover|damage!lens-cover
50,i wish-canon would work out some way for that issue . ,,wish-canon!work|issue!work|way!work,wish-canon!work|issue!work|way!work|way!wish-canon
51,i bought this last week through amazon . ,,|week!last,week!last
52,"great colors , pictures and white balance . ",color!+,balance!great,balance!white|balance!great
53,has 4x optical zoom which is higher than any other in the same price-range . ,optical zoom!+,|zoom!optical|4x!optical|price-range!same,zoom!optical|4x!optical|price-range!same
54,"maybe it is my lack of experience , but i found shots with this camera very disappointing . ",picture!-,lack!disappointing|camera!disappointing,camera!disappointing|lack!disappointing
55,i found that low light situations combined with any sort of action left this camera in the dust . ,camera!-,|camera!left|dust!camera,light!low|camera!left|dust!camera
56,that meant even less light and just as much action . ,,|action!much,action!light
57,next time i set it at 100 and used the flash . ,,|time!next,time!next
58,"when i took outdoor photos with plenty of light and the objects were n't moving , the photos were awesome . ",photo!+,,plenty!light
59,"for simple point and shoot photography , consider a cheaper digital . ",,|point!digital|photography!point,point!simple|point!digital|photography!point
60,you do n't need the extra resolution or the cost . ,,|resolution!extra|cost!extra,resolution!extra|cost!extra
61,"me , i am going with a leica-minilux ( the g3 was replacing mine which was stolen ) . ",,,g3!stolen|leica-minilux!g3|mine!g3
62,"i have been watching the development of digicams for years , waiting to make my first move . ",,|move!first,move!first
63,"i figure that is at least three years off , and i am getting impatient . ",,figure!impatient|impatient!figure,|figure!impatient|impatient!figure
64,hence i decided to spring for a point-and-shoot digicam that that would have features that would let me get around their inherent limitations . ,,|digicam!point-and-shoot,digicam!point-and-shoot
65,"i chose the g3 because of its reputation for very high quality , clean images . ",g3!+,quality!clean|reputation!high,reputation!high|quality!high|quality!clean
66,"the two limitations i knew i would have to deal with are the very long lag-time before it focus-locks ( even in bright light ) , and the unsatisfactory light quality of the built-in flash . ",lag time!-,light!bright|lag-time!limitations|quality!unsatisfactory|flash!unsatisfactory,|lag-time!long|lag-time!limitations|quality!unsatisfactory|flash!unsatisfactory|light!quality
67,"as of this writing , technology has not solved the focus-lock lag-time-problem for point-and-shoot digicams and anyone who is satisfied with it simply has never used a modern film-slr . ",,film-slr!modern|anyone!point-and-shoot,lag-time-problem!point-and-shoot|film-slr!modern|anyone!point-and-shoot|writing!lag-time-problem|technology!lag-time-problem
68,"at least once youve got focus-lock , the shutter-release-lag time for the g3 is about 1/10 of a second , which from what ive read , is better than just about anything else available . ",,anything!available,time!better|shutter-release-lag!better|anything!available|youve!focus-lock|focus-lock!youve
69,what makes the focus-lock lag-time-something i can live with is the extreme depth of field obtainable with these point and shoot digicams at f8 . ,depth!+,field!obtainable|depth!obtainable|point!field|f8!depth,|field!obtainable|depth!obtainable|point!field|f8!depth
70,"once i get focus lock , i can then wait until my restless subject ( a pet or a child ) strikes an amusing pose and then fire the shutter with some reasonable probability of getting my subject still in focus . ",,subject!restless|pet!restless|probability!reasonable|child!pet|focus!subject,subject!restless|probability!reasonable|pet!restless|probability!subject|child!pet|focus!subject
71,"relative to what i can easily achieve with external flash on my nikon-slr , the internal flash on the g3 produces harsh , flat images with ugly hot spots . ",flash!-,|flash!external|g3!external,flash!external|g3!external
72,"fortunately , the g3 has a hot shoe that can take an external flash , and fortunately for me , i already owned a one of the highest quality external flashes that money can buy : the metz 60 ct-4 . ",external flash hot shoe!+,shoe!hot|flash!external|quality!external|g3!shoe|ct-4!g3,shoe!hot|quality!external|flash!external|g3!shoe|ct-4!g3
73,"for those who have this metz-flash ( or the 45cl-3 ) and would like to get the absolute ultimate quality out of this g3 , the metz-module you need is the sca 3102 and the connector-cord is the sca-3000c . ",,|quality!absolute|g3!metz-flash|sca!metz-module|sca-3000c!metz-module|connector-cord!sca,sca!metz-module|quality!absolute|g3!metz-flash|sca-3000c!sca|connector-cord!sca
74,"in order for this to work , you have to set the camera to manual mode and set the shutter-speed and f-stop yourself . ",,|mode!manual,mode!manual|shutter-speed!f-stop|camera!shutter-speed
75,"you also have to set the g3 to second shutter-sync , which is what youd want to do most of the time anyhow . ",,|shutter-sync!second,shutter-sync!second
76,"the g3 completely takes over controlling the duration of the metz-flash , and most of the time , the exposure is spot on and when it isnt , its because youve exceeded the range of the metz-flash itself . ",,youve!exceeded|range!exceeded,youve!exceeded|range!exceeded|range!youve
77,"but once youve got your exposure within an acceptable range , the g3 is shown to produce utterly stunning images that i can hardly get with my nikon-f100-film camera . ",,|range!acceptable|exposure!acceptable|youve!exposure|camera!nikon-f100-film,camera!nikon-f100-film|range!acceptable|exposure!acceptable|youve!exposure
78,the results are shadow-free images that look as if theyve been exposed with the gentlest natural light you could imagine . ,,light!gentlest,look!gentlest
79,"now there is one more complaint i have about the g3 and that is the software that comes with it for processing raw images ( i only shoot in raw image-mode and the first thing i did was replace the 32 mbyte-cf with a 512 mbyte-cf , which gives me 130 raw images , as opposed to 7 ! ",software!-,software!complaint|image-mode!raw|complaint!software|thing!first|g3!software,image-mode!raw|thing!first|software!complaint|complaint!software|g3!software
80,"the canon-software for raw images does not present you with a raw image at all , but the raw image after it has been processed by all the image-affecting settings in the camera . ",software!-,|image!raw|canon-software!raw,image!raw|canon-software!present|canon-software!raw
81,i believe this is enabled by a second file that comes out of the camera that stores all this information . ,,|file!second,file!second
82,"maybe if you delete those files before you looked at them with the software , youd see the true , raw image that the camera actually produces . ",,|image!raw|youd!image,image!true|youd!image
83,"instead , i bought the adobe-photoshop-camera raw plug-in . ",,,adobe-photoshop-camera!raw
84,what this plug-in reveals is the truly stunning quality of the raw g3-hardware . ,g3!+,quality!stunning|g3-hardware!stunning,|quality!stunning|quality!plug-in|g3-hardware!raw|g3-hardware!stunning
85,"without any tweaking at all , if the exposure is accurate , the colors are as realistic as ive ever seen produced by film , and this is a raw image ! ",color!+,exposure!accurate|image!raw,image!raw|exposure!accurate
86,the adobe-camera raw plug-in shows once again that hardware is miles ahead of software . ,g3!+,|adobe-camera!raw,adobe-camera!raw
87,what the g3 raw image-software gives you is a fantasy-world designed to please the uncritical . ,software!-,|image-software!raw|g3!raw,image-software!raw|g3!raw
88,"what the photoshop plug-in gives you is reality , and then if you want fantasy , you can use photoshop to create it . ",,|photoshop!plug-in|reality!photoshop,photoshop!plug-in|reality!photoshop
89,"i am stunned and amazed at the quality of the raw images i am getting from this g3 ( in conjunction with my professional flash-system ) , and can easily put up with the cameras limitations , because ive never seen anything better within its resolution limits . ",raw image!+,anything!better|flash-system!professional|quality!raw|conjunction!professional,flash-system!professional|conjunction!professional|quality!raw|anything!better|anything!ive
90,this is the perfect camera for a photo-hobbiest who wants to have easy point and shoot-ability as well . ,camera!+,camera!perfect|photo-hobbiest!perfect|point!easy|shoot-ability!easy,point!easy|shoot-ability!easy|camera!perfect|photo-hobbiest!perfect
91,"battery-life , the drawback to most digital cameras , to quote k. reeves . ",battery life!+,|drawback!digital,drawback!digital
92,"manual functionality is excellent , downloading pictures is quick and a breeze , and the quality is astounding . ",manual function!+,functionality!excellent|quality!astounding,quality!astounding|functionality!excellent
93,"i did a good month 's worth of research before buying this over other similar priced digital cameras , and this is the best buy for the buck . ",,month!good|worth!good|buy!best|buck!best,month!worth|worth!good|buy!best|buck!best
94,"if you do n't believe me on that , check the consumer reports review as well as the many digital camera-review sites out there . ",,|review!many|consumer!review|camera-review!many,review!many|camera-review!many|consumer!review
95,"after reading the very positive review of this camera in a leading consumer-magazine , i decided to head here , to amazon , to read through the online reviews . ",,review!positive|camera!positive|consumer-magazine!leading,review!positive|camera!positive|consumer-magazine!review
96,"the objections of the naysayers almost caused me to purchase a different camera , but , in the end , i figured i 'd give the g3 a try . ",,|camera!different,camera!different
97,"by cocking the shutter to the halfway position and getting the settings ready to shoot , i was able to produce excellent stopaction photos -- contrary to what other reviewers experienced . ",photo!+,stopaction!excellent,shutter!able|stopaction!excellent|position!shutter
98,"the camera is a dream to operate in automode , but also gives tremendous flexibility in aperture-priority , shutter-priority , and manual modes . ",automode!+,dream!flexibility|aperture-priority!flexibility|shutter-priority!aperture-priority|flexibility!dream,shutter-priority!manual|dream!flexibility|aperture-priority!shutter-priority|flexibility!dream
99,in the coastal redwood forests i was able to use these additional features along with the macro-focussing option to shoot wonderful close-up photos of the trilliums and other flowers in bloom . ,,close-up!wonderful,close-up!wonderful|option!macro-focussing
100,about the only legitimate criticsm from the online reviews is that fact that the lens really does obstruct the viewfinder . ,viewfinder!-,lens!obstruct|criticsm!only|fact!lens|viewfinder!obstruct,fact!obstruct|criticsm!only|lens!obstruct|viewfinder!obstruct|viewfinder!lens
101,"being a great fan of the g2 i set out with g3 with a somewhat negative expectation , difficult as it is to improve drastically on something already as ' perfect ' as the powershot-g2 . ",,fan!great|expectation!negative,something!perfect|fan!great|expectation!negative
102,a big plus in my book . ,,|book!big,book!big
103,you could take a picture of a stone glinting in the sun and still avoid the shining glaze and get the contours right . ,picture!+,,picture!right
104,"there are six default settings ( off , vivid , sepia , neutral , low sharpening , b & w ) as well as a ' custom-effect ' that allows you to control sharpening , contrast and saturation . ",,|sepia!neutral|custom-effect!neutral|b!low|w!b|contrast!low|saturation!contrast,w!vivid|sepia!vivid|custom-effect!neutral|b!w|contrast!low|saturation!low|saturation!contrast
105,"overall , the g3 delivers what must be considered the best image-quality of any current > 4 megapixel digicams , from a detail , tonal balance and color-response-point of view . ",g3!+,image-quality!best|balance!tonal|megapixel!current|detail!balance|color-response-point!balance|view!detail,image-quality!best|balance!best|megapixel!current|detail!balance|color-response-point!balance|view!detail
106,i love my g2 so thought i would upgrade . ,,g2!love,|g2!love
107,got way too many blurry pictures . ,picture!-,way!blurry,way!many
108,"yes , all cameras except g3 were 5mp but i was looking for a lot more than just megapixel power . ",,|g3!5mp,power!megapixel|g3!5mp
109,"not only was i was shopping for a camera that would suit my casual and artistic photographic needs , i had to keep in mind that my fiance wanted to use this camera as well . ",,,mind!well
110,her main focus was having a camera that is easy to understand and use . ,,|focus!main|camera!focus,focus!main|camera!focus
111,the nikon 's are great cameras . ,,,nikon!great
112,"- the drawbacks were that they were not user friendly for the casual photographer , the lcd-screen is a little too small , cp5000 does not take photos in raw format . ",,|lcd-screen!little|format!raw,format!raw|lcd-screen!little
113,"+ takes sharp 5mp photo 's , has great features and relatively easy to use . ",,photo!sharp,
114,my fiance just did n't like the way it felt in her hands . ,,fiance!like|way!like,fiance!like|way!like|way!fiance
115,fiance did n't like the feel . ,,fiance!like|feel!like,fiance!like|feel!like|feel!fiance
116,"4mp , 4x optical zoom , takes absolutely beautiful photos with detail that challenges all of the above 5mp cameras , easy to understand and use ( has a great swivel lcd-screen ) , a lot of features and add-on options , comes with great software ( not to be overlooked ) , and last but by far not least , received my fiance 's stamp of approval ( two thumbs up ! ) ",photo!+|use!+|software!+,lcd-screen!great|detail!beautiful|zoom!4mp|swivel!great|lot!zoom|software!great|stamp!lot,lcd-screen!great|swivel!great|zoom!optical|detail!beautiful|software!great|lot!zoom|stamp!lot
117,"a lot of research went into digital camera 's before i made this purchase , and hands down , the g3 had everything i needed plus more . ",,|camera!digital,camera!digital
118,make sure you get a big compactflash card ( it comes with a 32mb ) -- the 512mb cards are pretty [ inexpensive ] here on amazon.com and can hold about 500 photos at a time ! ,,|card!big,card!big
119,"the catch with the canon-g3-camera , ( and perhaps all of digital cameras ) is that its unresponsiveness will cause you to miss precious shots . ",unresponsiveness!-,,unresponsiveness!miss
120,"prior to the purchase , none of my digital camera friends mentioned the delay between pressing the shutter-button and the camera taking the picture . ",,none!delay|camera!digital|shutter-button!camera|delay!none,none!digital|camera!digital|delay!none|shutter-button!camera
121,this is not the same thing as a film-camera . ,,|thing!same|film-camera!same,thing!same|film-camera!same
122,"most of the time , my g3 is a well-behaved camera . ",,camera!well-behaved|g3!well-behaved,camera!well-behaved|time!well-behaved|g3!well-behaved
123,"the moment passes , and then your new g3-camera takes the shot . ",,|g3-camera!new|shot!g3-camera,g3-camera!new|shot!g3-camera
124,"but after trying many adjustments , the camera remains unresponsive when compared to any film-based camera . ",,|camera!film-based,camera!film-based
125,"like i said , when the moment is gone , it is gone . ",,,moment!like
126,"but do not assume , as i did , that the g3 has the same ability as [ your current film-camera ] to stop the moment you choose . ",,|ability!same|g3!ability|film-camera!current,ability!same|film-camera!same|g3!ability
127,"from a dime-store disposable to a top of the line-eos , all film cameras share this ability to capture the moment you tell them to . ",,,ability!top
128,"unfortunately , this digital moment-capturing-device called the g3 sometimes captures the moment after the one you wanted . ",g3!-,|moment-capturing-device!digital,moment-capturing-device!digital
129,this is my first digital camera and i could n't be happier . ,camera!+,|camera!first,camera!first
130,"i 've tried the sony-s85 with the carl zeiss lens , but the pictures were too digital . ",,,sony-s85!digital|carl!sony-s85
131,this camera performs like i can not believe ! ,,,camera!like
132,i 've been looking to buy a digital camera for a long time and v = finally decided that now was the time . ,,|camera!digital|time!camera,camera!digital|time!long|time!camera
133,"i 've only had it a week , but so far , everything about this camera is making me happy . ",camera!+,,week!only
134,very intuitive menus are a big plus on this camera . ,menu!+,plus!intuitive|camera!big,plus!big|plus!intuitive|camera!big
135,the standard battery include with the g3 is a camcorder-battery that will allow me to take pictures all day without worrying about charging . ,battery!+,|battery!standard|g3!battery|camcorder-battery!battery,g3!worrying|battery!standard|camcorder-battery!battery
136,"one little minor flaw with this camera is that the lens is visible in the viewfinder , but does not detract from the image at all . ",viewfinder!-,|lens!visible|viewfinder!lens,lens!visible|viewfinder!lens
137,"as i said , this is the last digital camera i 'll buy , and if you are in the market one , my advice is to buy the best thing you can afford and keep it forever . ",,thing!best|market!afford|camera!last,thing!best|camera!last|market!afford
138,"these things may get a lot better in the future , but from what i 've seen in the last few years , the technology for digital cameras is n't advancing at the pace of pc 's , phones and hard drives . ",,pc!hard|technology!digital|pace!technology,technology!digital|pc!hard|pace!technology
139,"for more info on digital cameras , go to dpreviews . ",,|info!digital,info!digital
140,"i was perfectly happy with my g2 , so why did i trade up to the g3 ? ",,trade!happy,|trade!happy
141,"the little digital elphs were the best-designed , most-elegant cameras until the g3 came along and squashed them . ",,,g3!squashed
142,this is my first digital camera . ,,|camera!first,camera!first
143,i wanted something that is able to take high quality photos but not be so bulky that i would wind up leaving it at home all the time . ,,|quality!high,quality!high
144,"to save a picture as raw , you have to have the display on , this seems like a waste of battery-power . ",,,waste!like
145,it seems to me that after the focus and metering are complete there is quite a lag before the shutter ? ,lag!-,,focus!lag|metering!focus
146,( again this is my first digital camera and maybe that is just how they all are . ) ,,|camera!first,camera!first
147,"i have not spent much time with the included software , so i don't know what to say about it other than it seems ok . ",,|time!much|software!time,time!much|software!time
148,it comes with a clearly written manual and the learning curve is not too too steep . ,manual!+,manual!steep|curve!manual,curve!steep|learning!steep|manual!steep|manual!curve
149,i had an olympus digital camera before and it was nothing compared to this . ,,|camera!digital|olympus!digital|nothing!camera,camera!digital|olympus!digital|nothing!camera
150,"for those of you who already bought this camera , i suggest you buy a hi-ti dye-sub photo-printer . ",,|photo-printer!hi-ti,camera!hi-ti|photo-printer!hi-ti
151,crop and enlarge the best at practically no extra cost or time . ,,|cost!extra|time!extra,cost!extra|time!extra
152,a digital camera will stay at home if its a hassle to use . ,,|camera!digital|home!camera,camera!digital|home!camera
153,"poor quality pics , short battery-life , slow time consuming uploads and printing will ruin the digital camera-experience and keep you buying film . ",,time!ruin|quality!poor|camera-experience!ruin|battery-life!poor,time!slow|quality!ruin|camera-experience!ruin|battery-life!poor|camera-experience!time
154,"my wife shuns all new technology and compained when i brought this home , but now she 's forever asking for the digital camera . ",,|technology!new|wife!technology|camera!digital,camera!digital|technology!new|wife!technology
155,"and i let my kids shoot as many pics as they want , let them review them on the camera and just print the good ones ( which are not many ) . ",,,camera!many
156,"in short , i have a new slr with an expensive lens and several film-point and shoots . ",,lens!expensive|slr!expensive,slr!new|lens!new
157,"i spent a lot of time comparing different cameras , and i realized that there is not such thing as the best digital camera . ",,camera!best|thing!best,thing!such|camera!such
158,"however , for a $ 600 - $ 800 budget , i think this camera is an excellent choice . ",camera!+,choice!excellent|camera!excellent,choice!excellent|budget!excellent|camera!excellent
159,"one bad thing is that it comes with a pitiful 32mb compactflash-card , and for most purposes , it is not enough . ",compactflash!-,thing!bad|compactflash-card!pitiful,compactflash-card!pitiful|thing!bad
160,"however , it seems that this is the general rule for most digital cameras . ",,|rule!general|rule!digital,rule!digital
161,i have owned this camera for a short time and would n't give it up for anything . ,camera!+,|time!short,time!short
162,for `` cool factor '' buffs it looks and feels like a small plastic-brick-brick and does n't have any wow-factor . ,,factor!cool|plastic-brick-brick!small,plastic-brick-brick!small|factor!cool
163,the g3 has most if not all of the features that you would want from a semi-pro / pro slr with a good range of manual options for those who know something about photography . ,feature!+,range!good|slr!good|semi-pro!pro,|range!good|slr!good|semi-pro!pro
164,"in the hands of someone who does n't , it will yield good results on idiot program / auto-mode . ",auto mode!+,auto-mode!idiot|program!idiot,|auto-mode!idiot|program!idiot
165,"my wife , who has never used a camera before , picked it up and soon got the hang of the fact that if you do n't like what you have created you just delete and try again . ",,,fact!hang
166,the included memory-card is too small . ,memory card!-,|memory-card!small,memory-card!small
167,"go out and get a 256meg card , it 's worth the expense . ",,expense!worth|card!256meg,|expense!worth|card!256meg
168,"this is by no means unique to this model , i 'm sure . ",,,model!sure
169,the zoom-lens-unit feels fragile and it is worth buying a good camera-bag if you are going put to carry it round a lot . ,lens!-,camera-bag!good|lot!round,lot!round|camera-bag!good
170,the function-lever - the one which switches between capture and view-mode feels fragile . ,lever!-,,capture!fragile|view-mode!capture
171,"flash - as with all built-in flashes in small cameras , you get overilluminated main subjects with depth being lost . ",flash!-,|flash!built-in,depth!main|flash!built-in
172,the g3 has a shoe which will take other powerful ( and expensive ) canon flashes that will allow bounce and reflected flash-photography . ,,canon!powerful,|canon!other
173,"if you can afford this camera , you can afford to get a better strap elsewhere - a very minor quibble . ",,camera!afford|quibble!better|strap!better,strap!better|quibble!better|camera!afford
174,canon have packed a lot in here and the options and controls are easy to use and logically laid out . ,option!+|control!+,,lot!easy|canon!lot
175,"unless you are making posters , a g3 is more than good enough . ",,g3!good,g3!enough
176,range of functions - as indicated above - it has something for everyone : point and shoot-power plus advanced functions for those who are serious about photography . ,function!+,range!advanced|point!advanced|shoot-power!point,|range!advanced|point!advanced|shoot-power!point
177,please note that this is the first digital camera i have owned or used . ,,|camera!first|note!first,camera!first|note!first
178,i did extensive research before chosing the g3 but there 's nothing like picking one up and playing with it first . ,,,research!like
179,this camera is closest to perfect than any other digicam that is 4-5 megapixel . ,camera!+,|digicam!other|megapixel!other,digicam!other|megapixel!other
180,beats that sony f717 ; its archrival . ,,,f717!sony
181,i 'm glad canon decided to keep the 4mp resolution and improved upon it with new technology ; ,4mp resolution!+,canon!glad|resolution!4mp|technology!new,technology!new|canon!glad|resolution!4mp
182,i can 't fit all that resolution ( 4mp = 2272x 1704 resol . ) in my 19in flat monitor ( 1200x1024 resol . ) anyways . ,,|resol!4mp,4mp!=|resolution!=|resol!4mp|t!resolution
183,"yes there is a corner-lens-barrel distortion ( i do n't like it too but no harm done since i always use the camea-lcd-screen to see exactly what i 'm going to get ) in the viewfinder when you do n't zoom ( when you zoom the lens-distortion goes away ) , canon knows this and engineered it that way to minimize the parallax-phenomenon ; that is what lmost exactly ot the picture . ",distortion!-,,viewfinder!distortion
