,id,review,opinion,label,predict,score
51,1632445:3,the service is good and ambience is good for a date or group outing.,good,positive,positive,0.75
52,1655521:1,i almost hesititate to write a review because the atmosphere was so great and i would hate for it too become to crowded.,great,positive,positive,0.25
53,1655521:2,"the food was very good, a great deal, and the place its self was great.",great,positive,positive,0.875
54,1661043:4,decor is charming.,charming,positive,negative,-0.25
55,1661757:2,"the ambience was so fun, and the prices were great, on top of the fact that the food was really tasty.",fun,positive,negative,0.0
56,1706644:4,"we ate out in the back patio, which is worth it as it's cool and the music is hear well there.",cool,positive,positive,0.375
57,1707201:2,the place was nice and calm.,nice,positive,positive,0.75
58,1718513:3,"the back garden sitting area is very pleasant, where you can see their personal herb garden.",pleasant,positive,positive,0.75
59,1730127:2,"always a nice crowd, but never loud.",nice,positive,positive,0.75
60,436868:3,"calling the place hampton chutney co. does warn you that these folks offer more style than substance, but in this unattractive room with unhelpful clerks there was a dearth of the former too.",unattractive,negative,negative,-0.625
61,445960:0,"this is such a lovely, peaceful place to eat outside.",peaceful,positive,positive,0.25
62,445960:1,the restaurant looks out over beautiful green lawns to the hudson river and the statue of liberty.,beautiful,positive,positive,0.625
63,445960:4,"this is a great place to take out-of-towners, and perfect for watching the sunset.",great,positive,positive,0.25
64,475512:2,"well, this place is so ghetto its not even funny.",well,negative,positive,0.667
65,475512:3,if you like your music blasted and the system isnt that great and if you want to pay at least 100 dollar bottle minimun then you'll love it here.,blasted,negative,negative,-0.25
66,485966:1,the place was quiet and delightful.,quiet,positive,negative,-0.625
67,490565:3,"but the best part about ls is the late night atmosphere, delightfully free of the bts.",delightfully,positive,positive,0.375
68,490565:4,"you can get a completely delish martini in a glass (that's about 2 1/2 drinks) for $8.50 (i recommend the vanilla shanty, mmmm!) in a great homey setting with great music.",great,positive,positive,0.25
69,493013:1,"its location is good and the fact that hutner college is near and their prices are very reasonable, makes students go back to suan again and again.",reasonable,positive,negative,-0.125
70,493013:6,in summer-eat outside on a terrace (another great feature of suan)!!!,great,positive,positive,0.25
71,496132:1,the setting is casual and romantic.,romantic,positive,negative,0.0
72,498657:4,"the wait here is long for dim sum, but if you don't like sharing tables or if the typical raucous dim sum atmosphere is not your gig, this is a sleek (for chinatown) alternative.",dim,negative,positive,0.25
73,505535:0,this little place has a cute interior decor and affordable city prices.,cute,positive,positive,0.5
74,511290:4,this place has the the correct ambience and an excellent staff to make you feel like a guest and a friend at the same time.,excellent,positive,positive,1.0
75,512925:2,"also it's great to have dinner in a very romantic and confortable place, the service it's just perfect...they're so frendly that we never want to live the place!",romantic,positive,negative,0.0
76,519425:4,the place itself is beautiful the bar scene seems to be happening.,beautiful,positive,positive,0.625
77,535171:1,not the typical nyc gimmick theme restaurant.,gimmick,positive,positive,0.125
78,561054:1,"when you're sitting in their main dining room (which has a spectacular, hand-painted high ceiling) you'd never know there was a world outside.",spectacular,positive,negative,0.0
79,626269:2,the design and atmosphere is just as good.,good,positive,positive,0.75
80,632121:1,the jukebox plays everything from italian opera to the strokes.,italian,positive,negative,0.0
81,680390:0,"toons has recently been redone, so it's now a very attractive space.",attractive,positive,positive,0.375
82,709294:1,"we recently decided to try this location, and to our delight, they have outdoor seating, perfect since i had my yorkie with me.",delight,positive,positive,0.375
83,717570:1,the decor is very simple but comfortable.,comfortable,positive,positive,0.75
84,735448:1,"whoever the jazz duo was, they were on point.",,positive,negative,0.0
85,737999:3,atmosphere is nice and relaxed too...,nice,positive,positive,0.75
86,744478:1,"fabulous decor - makes you feel like you're in a trendy manhattan restaurant, very very good food, cheaply-priced, generally friendly staff, and if you're a manhattanite, or spend most of your time in manhattan, rice avenue will make you feel at home.....very soho/village/upper west side minus the expensive prices and pretentious clientele.....all on roosevelt avenue!",friendly,positive,positive,0.625
87,757762:0,baluchi's has solid food and a nice decor at reasonable prices.,nice,positive,negative,-0.375
88,875139:0,"love the scene first off- the place has a character and nice light to it..very fortunate, location wise.",nice,positive,positive,0.75
89,955711:2,love the atmosphere - felt like i was in paris.,like,positive,positive,0.25
90,EVPK#10:1,i was visiting new york city with a friend and we discovered this really warm and inviting restaurant.,warm,positive,negative,0.0
91,Z#3:1,"the space kind of feels like an alice in wonderland setting, without it trying to be that.",like,negative,positive,0.25
92,TR#3:0,great place to relax and enjoy your dinner,great,positive,positive,0.25
93,TR#3:1,there is something about their atmosphere that makes me come back nearly every week.,makes,positive,negative,0.0
94,Y#6:3,"in the summer months, the back garden area is really nice.",nice,positive,positive,0.75
95,TM#3:3,"the food was good, the place was clean and affordable.",clean,positive,positive,0.5
96,TR#1:3,i highly recommend this beautiful place.,beautiful,positive,positive,0.625
97,TR#8:6,nice view of river and nyc.,nice,positive,positive,0.75
98,TR#2:7,"oh speaking of bathroom , the mens bathroom was disgusting.",disgusting,negative,negative,-0.625
99,Z#9:0,"short and sweet – seating is great:it's romantic,cozy and private.",sweet,positive,positive,0.875
100,Z#9:1,the boths are not as small as some of the reviews make them out to look they're perfect for 2 people.,perfect,positive,positive,0.75
101,CLF#5:5,we were drawn into the belly dancing show that captivated the crowd.,captivated,positive,positive,0.5
102,BzG#2:2,the atmosphere is relaxed and casual.,relaxed,positive,negative,0.0
103,Z#5:1,mazing interior.,mazing,negative,negative,0.0
104,Z#5:4,"the atmosphere was pretty nice but had a bit lacking, which it tries to make up for with a crazy scheme of mirrors.",lacking,negative,positive,0.125
105,TM#5:4,the only thing that strikes you is the decor?(not very pleasant).,pleasant,negative,positive,0.75
106,TVU#6:5,"the dj is awesome, i have been there for my birthday and a bunch of other times with friends and i keep going back.",awesome,positive,positive,0.875
107,TFS#5:8,"yes, the place is classy and beautiful, but they most certainly target the uber whealthy not the common joe that wants to go all out every once in a while.",classy,positive,positive,0.375
108,CLF#3:11,the place is beautiful!,beautiful,positive,positive,0.625
109,BG#5:4,"i have it a 4 instead of 5 because of the price (just chicken tikka masala - no bread of rice - is $25), which i would expect at a upscale indian restaurant but this place doesn't have an upscale feel.",upscale,negative,positive,0.5
110,CLF#7:0,gorgeous place ideal for a romantic dinner,ideal,positive,positive,0.75
