,id,review,opinion,label,predict,score
91,436868:3,"Calling the place Hampton Chutney Co. does warn you that these folks offer more style than substance, but in this unattractive room with unhelpful clerks there was a dearth of the former too.",unattractive|style,negative,positive,0.5
92,449802:5,But who says Murray's is anything about service.,,negative,negative,0.0
93,454704:1,The service is awful.,awful,negative,negative,-0.875
94,464342:1,I asked for an open faced cheese sandwich and the manager basically told me to take my business elsewhere!,sandwich,negative,negative,0.0
95,475298:0,"Good, fast service.",good,positive,positive,0.75
96,483111:0,Winnie and her staff are the best crew you can find serving you.,best|winnie|crew,positive,positive,0.75
97,485767:1,"The service was attentive, yet discreet.",attentive,positive,positive,0.25
98,490565:1,"The wait staff is pleasant, fun, and for the most part gorgeous (in the wonderful aesthetic beautification way, not in that she's-way-cuter-than-me-that-b@#$* way).",pleasant|pleasant,positive,positive,1.25
99,493514:0,I cannot imagine a friendlier staff working in a restaurant.,friendlier,positive,negative,0.0
100,498657:4,"The wait here is long for dim sum, but if you don't like sharing tables or if the typical raucous dim sum atmosphere is not your gig, this is a sleek (for Chinatown) alternative.",long|typical|like,negative,negative,-0.125
101,507937:3,Service is fast and friendly.,fast,positive,negative,0.0
