,id,review,opinion,label,predict
64,FF#3:9,"I took one bite from the $24 salmon, and I have never, in the 17 years I have been going to restaurants tasted salmon as fishy, as dry, and as bland as the one in Flatbush Farms.",fishy|fishy|fishy|fishy|fishy|fishy,negative,negative
65,BHD#8:1,"At first glance this place seems a bit pricey for a hot dog joint, but at Bark you don't just get your average hot dog.",hot|hot|dog,positive,positive
66,WE#1:3,"The bread was stale, the salad was overpriced and empty.",stale,negative,negative
67,1004293:3,The food was lousy - too sweet or too salty and the portions tiny.,lousy|tiny,negative,negative
68,1014458:0,"I have eaten at Saul, many times, the food is always consistently, outrageously good.",consistently,positive,positive
69,1014458:2,The duck confit is always amazing and the foie gras terrine with figs was out of this world.,amazing|amazing,positive,positive
70,1016296:4,Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. ,greasy|greasy|dry|loud|greasy,negative,negative
71,1032695:1,"Everything is always cooked to perfection, the service is excellent, the decor cool and understated.",service,positive,negative
72,1041457:2,"The food is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.",average,negative,negative
73,1041457:3,The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree.,only|chicken,positive,negative
74,1041457:4,I had never had Edamame pureed before but I thought it was innovative and tasty (could've used a bit more salt).,more,positive,negative
75,1053543:2,"Their sake list was extensive, but we were looking for Purple Haze, which wasn't listed but made for us upon request!",extensive,positive,negative
76,1053543:3,"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!",good|awesome|good|tempura|awesome,positive,positive
77,1062641:2,Food is great.,great,positive,positive
78,1064477:0,"I tend to judge a sushi restaurant by its sea urchin, which was heavenly at sushi rose.",heavenly|heavenly|heavenly|heavenly|heavenly|heavenly|heavenly,positive,positive
79,1064477:2,The sushi seemed pretty fresh and was adequately proportioned.,fresh,positive,positive
80,1064477:3,The rice to fish ration was also good--they didn't try to overpack the rice.,good|good,positive,positive
81,1074868:4,The food was well prepared and the service impecable.,prepared,positive,negative
82,1086415:3,"I am not a vegetarian but, almost all the dishes were great.",great,positive,positive
83,1086478:0,"The food here is rather good, but only if you like to wait for it.",good,positive,positive
84,1086478:1,"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",dissapointing|dissapointing|dissapointing,positive,negative
85,1086478:4,"Also, specify if you like your food spicy- its rather bland if you don't.",bland,negative,negative
86,1090587:3,The lava cake dessert was incredible and I recommend it.,incredible|incredible|incredible,positive,positive
87,1118167:2,The pizza was delivered cold and the cheese wasn't even fully melted!,cold|cold,negative,negative
88,1119578:2,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",fancy|good,negative,positive
89,1123262:0,I think I've had some the best meals of my life at minnow.,best|best,positive,positive
90,1123262:1,"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.",amazing|good|ever-changing|menu,positive,positive
91,1123262:2,The combination of super-fresh ingredients in the dishes are unusual but really delicious.,unusual|super-fresh,positive,negative
92,1125006:1,Best Pastrami I ever had and great portion without being ridiculous.,portion,positive,negative
93,1125006:3,My wife had the fried shrimp which are huge and loved it.,fried|shrimp,positive,negative
94,1125284:2,"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.",japanese|menus,positive,negative
95,1126814:0,"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",gem|prepared|prepared|leon|good,positive,positive
96,1126886:2,"The service is excellent, the decor is great, and the food is delicious and comes in large portions.",delicious|large,positive,positive
97,1131595:3,The food was bland oily.,bland|bland,negative,negative
98,1138996:1,"We have been to this place many times, and always have great food, wine, and service.",great|great,positive,positive
99,1138996:3,As always we had a great glass of wine while we waited.,great|great,positive,positive
100,1145510:1,The pizza is yummy and I like the atmoshpere.,yummy,positive,negative
101,1147082:0,I went there for lunch and it was not as good as I expected from the reviews I read.,good,negative,negative
102,1147082:1,Sauce was watery and the food didn't have much flavor.,watery|much|flavor,negative,negative
103,1147211:2,The waitress was very patient with us and the food is phenomenal!,phenomenal,positive,positive
104,1153034:0,Great pizza and fantastic service.,great,positive,positive
105,1154550:0,This is the best sushi in new york city - hands down.,best,positive,positive
