,id,review,target,category,term,polarity
70,626269:3,bottles of wine are cheap and good.,"bottles of wine,bottles of wine","PRICES,FOOD",bottles!cheap|wine!cheap,"positive,positive"
71,657129:3,the drinks are amazing and half off till 8pm.,"drinks,drinks","FOOD,PRICES",drinks!amazing|half!drinks,"positive,positive"
72,720418:4,Great food and the prices are very reasonable.,"food,NULL","FOOD,PRICES",food!reasonable|prices!reasonable,"positive,positive"
73,720620:5,Simply some good tasting Chinese food at incredible prices...,"Chinese food,Chinese food","FOOD,PRICES",food!good|tasting!good|prices!incredible|prices!good,"positive,positive"
74,735448:2,"good music, great food, speedy service affordable prices.","music,food,service,NULL","AMBIENCE,FOOD,SERVICE,PRICES",music!good|food!good|prices!speedy|prices!good|service!speedy,"positive,positive,positive,positive"
75,740923:2,Price and quality of fish alone will keep us from making a return visit.,"fish,fish,NULL","PRICES,FOOD",price!-|quality!-|fish!-|return!-|visit!-,"negative,negative,negative"
76,744478:1,"Fabulous decor - makes you feel like you're in a trendy Manhattan restaurant, very very good food, cheaply-priced, generally friendly staff, and if you're a Manhattanite, or spend most of your time in Manhattan, Rice Avenue will make you feel at home.....very Soho/Village/Upper West Side minus the expensive prices and pretentious clientele.....all on Roosevelt Avenue!","decor,food,food,staff,Rice Avenue,Rice Avenue,Rice Avenue","AMBIENCE,FOOD,PRICES,SERVICE,AMBIENCE,AMBIENCE,PRICES",decor!fabulous|manhattan!trendy|restaurant!trendy|food!trendy|staff!restaurant|manhattanite!restaurant|side!soho/village/upper|west!soho/village/upper|prices!side|avenue!restaurant|clientele!pretentious|clientele!soho/village/upper,"positive,positive,positive,positive,positive,positive,positive"
77,746254:4,"With so many good restaurants on the UWS, I don't need overpriced food, absurdly arrogant wait-staff who don't recognize they work at a glorified diner, clumsy service, and management that doesn't care.","food,wait-staff,service,management","PRICES,SERVICE,SERVICE,SERVICE",restaurants!good|uws!good|food!overpriced|wait-staff!overpriced|service!clumsy|diner!clumsy|management!diner,"negative,negative,negative,negative"
78,751493:0,I am relatively new to the area and tried Pick a bgel on 2nd and was disappointed with the service and I thought the food was overated and on the pricey side.,"service,food,food","SERVICE,PRICES,FOOD",side!pricey|service!new|food!side,"negative,negative,negative"
79,754495:2,The food is okay and the prices here are mediocre.,"food,NULL","FOOD,PRICES",prices!mediocre|food!okay,"neutral,neutral"
80,757762:0,Baluchi's has solid food and a nice decor at reasonable prices.,"food,decor,Baluchi's","FOOD,AMBIENCE,PRICES",food!solid|decor!solid|prices!reasonable|prices!nice|baluchi!food,"positive,positive,positive"
81,758263:3,$20 for all you can eat sushi cannot be beaten.,all you can eat sushi,PRICES,sushi!-,positive
82,BFC#4:2,It was totally overpriced- fish and chips was about $15.... ,"NULL,fish and chips","PRICES,PRICES",fish!-|chips!-,"negative,negative"
83,Z#3:2,"I paid just about $60 for a good meal, though :)","meal,meal","FOOD,PRICES",meal!good,"positive,positive"
84,TM#7:0,Excellent food for great prices,"food,food","FOOD,PRICES",food!excellent|prices!excellent,"positive,positive"
85,RL#3:1,"im not necessarily fanatical about this place, but it was a fun time for low pirces.","place,place",PRICES,im!fanatical|time!fanatical|place!im|fun!im|pirces!im,"positive,positive"
86,Y#5:0,overpriced japanese food with mediocre service,"japanese food,service","PRICES,SERVICE",food!overpriced|service!overpriced,"negative,neutral"
87,TFS#8:0,"Not because you are ""The Four Seasons""... – you are allowed to charge an arm and a leg for a romatic dinner.",The Four Seasons,PRICES,dinner!romatic,negative
88,TFS#8:2,I do not think dinner in Manhattan should cost $400.00 where I am not swept off my feet.,dinner,PRICES,dinner!-|manhattan!-|feet!-,negative
89,P#10:3,And $11 for a plate of bland guacamole?,"guacamole,guacamole","FOOD,PRICES",guacamole!bland|plate!bland,"negative,negative"
90,TM#3:3,"The food was good, the place was clean and affordable.","food,place,place","FOOD,AMBIENCE,PRICES",food!good|place!clean,"positive,positive,positive"
91,TR#8:4,We were offered water for the table but were not told the Voss bottles of water were $8 a piece.,Voss bottles of water,PRICES,water!-|table!-|voss!-|bottles!-|water!-|piece!-,negative
92,P#9:9,"Overall, decent food at a good price, with friendly people.","food,food,people","FOOD,PRICES,SERVICE",food!decent|price!decent|people!friendly|people!decent,"neutral,positive,positive"
93,TR#2:2,The high prices you're going to pay is for the view not for the food.,"view,food,NULL","AMBIENCE,FOOD,PRICES",prices!high|view!prices,"neutral,negative,negative"
94,TFS#10:8,Not what I would expect for the price and prestige of this location.,"NULL,location,location","SERVICE,PRICES",price!-|prestige!-|location!-,"negative,neutral,neutral"
95,Z#9:6,So what you really end up paying for is the restaurant not the food.,"restaurant,restaurant,food","PRICES,AMBIENCE,FOOD",restaurant!-|food!-,"negative,neutral,negative"
96,NP#3:6,Prices are fair across the board for both food and bev.,"food,bev","PRICES,PRICES",prices!fair|board!prices,"positive,positive"
97,BzG#2:0,"Great place, great value.","place,place",PRICES,place!great|value!great,"positive,positive"
98,BzG#2:1,"The food is flavorful, plentiful and reasonably priced.","food,food,food","FOOD,FOOD,PRICES",food!flavorful,"positive,positive,positive"
99,TM#5:3,Helpful service and average price per dish $10.,"service,dish","SERVICE,PRICES",service!helpful|price!helpful|dish!helpful,"positive,positive"
100,TVU#6:3,The martinis are amazing and very fairly priced.,"martinis,martinis","FOOD,PRICES",martinis!amazing,"positive,positive"
101,TFS#5:2,But $500 for a dinner for two that didn't include Wine?,dinner for two,PRICES,dinner!-|wine!-,negative
102,TFS#5:7,What you are paying for is the environment and the name.,"environment,NULL,NULL","AMBIENCE,PRICES",environment!-|name!-,"neutral,neutral,negative"
103,TFS#5:8,"Yes, the place is classy and beautiful, but they most certainly target the uber whealthy Not the common joe that wants to go all out every once in a while.","place,place","AMBIENCE,PRICES",place!classy|joe!common|whealthy!common,"positive,negative"
104,TFS#5:21,"I read reviews that called the restaurant too expensive and I thought to myself, but may be it is worth it.","restaurant,restaurant",PRICES,restaurant!expensive,"negative,negative"
105,TFS#5:23,"The Four Seasons has history and it is a sort of landmark of New York City restaurants, but trust me, they will charge you through the nose just so that you can say ""I've been to the four seasons restaurant"".","The Four Seasons,The Four Seasons",PRICES,restaurants!new|landmark!new|city!new,"neutral,negative"
106,TFS#5:30,"Service was just ok, it is not what you'd expect for $500.","Service,NULL","SERVICE,PRICES",service!ok,"negative,negative"
107,CLF#3:4,I literally just got back home after visiting Casa La Femme and was so offended by my visit felt it necessary to try and warn other diners who value their money and time.,"Casa La Femme,Casa La Femme",PRICES,home!-|casa!-|la!-|femme!-|visit!-|diners!-|money!-|time!-,"negative,negative"
108,CLF#3:13,"However, our $14 drinks were were horrible!","drinks,drinks","FOOD,PRICES",drinks!horrible,"negative,negative"
109,CLF#3:23,I would not expect this for a $55 dinner.,"dinner,dinner","FOOD,PRICES",dinner!-,"negative,negative"
110,CLF#3:28,"By the time we left our wallets were empy and so were our stomachs AND we missed the show we were supposed to see following our dinner, which would have been acceptable if we got to enjoy the experience of good food and belly dancers!","food,NULL,NULL","FOOD,PRICES",show!missed|food!enjoy|wallets!empy|experience!good|dancers!food|belly!food,"negative,negative,negative"
111,CLF#3:29,If it seemed possible to do so while there I would have fought my bill since my dinner portion of my meal was inedible!,"meal,NULL","FOOD,PRICES",bill!inedible|portion!bill,"negative,negative"
112,CLF#3:30,"I have never left a restaurant feeling as if i was abused, and wasted my hard earned money.","restaurant,restaurant",PRICES,money!wasted,"negative,negative"
113,BFC#9:21,"All in all the food was good - a little on the expensive side, but fresh. ","food,food","FOOD,PRICES",side!expensive|food!good,"positive,negative"
114,BG#5:4,"I have it a 4 instead of 5 because of the price (just chicken tikka masala - no bread of rice - is $25), which I would expect at a upscale Indian restaurant but this place doesn't have an upscale feel.","place,place,chicken tikka masala,feel","PRICES,PRICES,AMBIENCE",restaurant!upscale|feel!upscale|price!feel|place!feel,"positive,negative,negative,negative"
115,BG#5:7,"But if you're prepared to spend some $ and remember to ask if something they offer is complimentary, then this is the place to go for Indian food","Indian food,place","FOOD,PRICES",something!complimentary|food!indian,"positive,negative"
116,BG#8:3,The lunch buffet is expensive but is deff worth it.,"lunch buffet,lunch buffet","PRICES,FOOD",buffet!expensive|lunch!expensive,"negative,positive"
117,DBG#7:5,Too bad I had paid an extra $2 for the stone bowl.,stone bowl,PRICES,stone!-|bowl!-,negative
118,Z#6:5,"My party had the BBE $29 fixe prix menu, which was such a wonderful deal since it also came with a flight of sake!","BBE $29 fixe prix menu,BBE $29 fixe prix menu","PRICES,FOOD",deal!wonderful|bbe!wonderful|party!bbe,"positive,positive"
119,Z#6:13,"Maybe it was the great company (I had friends visiting from Philly – yes, it was not a date this time) or the super reasonable price point, but I just can’t say enough good things about this brasserie.","brasserie,brasserie",PRICES,company!great|date!super|point!super|price!super|things!date|brasserie!good,"positive,positive"
120,CLF#6:5,"They are extremely rude, not even apologizing for the horrible service we got and handing us a bill well over $500 for some drinks adn their pita bread!","service,drinks,pita bread,NULL","SERVICE,PRICES,PRICES,SERVICE",service!horrible,"negative,negative,negative,negative"
121,DBG#6:7,"The meat is fresh, the sauces are great, you get kimchi and a salad free with your meal and service is good too.","meat,sauces,service,meal,kimchi,salad","FOOD,FOOD,SERVICE,FOOD,PRICES,PRICES",meat!fresh|kimchi!good|sauces!great|salad!kimchi|meal!salad|service!meal,"positive,positive,positive,positive,positive,positive"
122,TR#5:6,"Price is high but the food is good, so I would come back again.","food,food,NULL","FOOD,PRICES",food!good|price!high,"positive,negative,positive"
123,FF#3:9,"I took one bite from the $24 salmon, and I have never, in the 17 years I have been going to restaurants tasted salmon as fishy, as dry, and as bland as the one in Flatbush Farms.","salmon,salmon","FOOD,PRICES",bite!-|salmon!-|years!-|restaurants!-|salmon!-|flatbush!-|farms!-,"negative,negative"
124,CLF#4:12,The decor however seems to be the distraction so you won't notice that you just payed 300 bucks for some cold eggplant that took 2 FRICKIN HOURS TO COME!!!!,"decor,eggplant,eggplant,NULL","AMBIENCE,FOOD,PRICES,SERVICE",eggplant!cold,"neutral,negative,negative,negative"
125,BHD#4:5,Only complaint is the pricing--I believe it would be more reasonable to pay a dollar less on each item listed on the menu.,menu,PRICES,pricing!complaint,negative
126,BFC#7:11,"Considering you will spend at least $60 a head, I expect better service. ","service,NULL","SERVICE,PRICES",service!better,"negative,negative"
127,BHD#8:1,"At first glance this place seems a bit pricey for a hot dog joint, but at Bark you don't just get your average hot dog.","Bark,hot dog","PRICES,FOOD",joint!hot|dog!hot|glance!first|bark!dog,"negative,positive"
128,CLF#8:9,Can’t believe how an expensive NYC restaurant can be so disrespectful to its clients.,"restaurant,NULL","PRICES,SERVICE",restaurant!disrespectful|nyc!disrespectful|clients!restaurant,"negative,negative"
129,WE#1:3,"The bread was stale, the salad was overpriced and empty.","bread,salad,salad","FOOD,PRICES,FOOD",bread!stale,"negative,negative,negative"
130,1004293:3,The food was lousy - too sweet or too salty and the portions tiny.,"food,portions","FOOD,FOOD",food!lousy|portions!tiny,"negative,negative"
131,1014458:2,The duck confit is always amazing and the foie gras terrine with figs was out of this world.,"foie gras terrine with figs,duck confit","FOOD,FOOD",confit!amazing|duck!amazing,"positive,positive"
132,1016296:4,Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. ,"Chow fun,pork shu mai,NULL","FOOD,FOOD",mai!greasy|pork!greasy|fun!dry|chow!dry|family!loud|shu!greasy,"negative,negative,negative"
133,1041457:2,"The food is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.","food,Thai fusion stuff,NULL","FOOD,FOOD,FOOD",bit!sweet|stuff!sweet|food!average|fusion!thai|thing!bit,"negative,negative,negative"
134,1041457:4,I had never had Edamame pureed before but I thought it was innovative and tasty (could've used a bit more salt).,"Edamame pureed,Edamame pureed","FOOD,FOOD",salt!more|bit!salt,"positive,positive"
135,1053543:4,We went around 9:30 on a Friday and it had died down a bit by then so the service was great!,service,SERVICE,bit!died|service!great,positive
136,1058221:3,"however, it's the service that leaves a bad taste in my mouth.",service,SERVICE,taste!bad|mouth!bad|service!taste,negative
137,1058221:4,"i happen to have a policy that goes along with a little bit of self-respect, which includes not letting a waiter intimidate me, i.e. make me feel bad asking for trivialities like water, or the check.",waiter,SERVICE,waiter!intimidate|bit!little|self-respect!little,negative
138,1062641:3,Service is top notch.,Service,SERVICE,notch!top|service!top,positive
139,1064477:0,"I tend to judge a sushi restaurant by its sea urchin, which was heavenly at sushi rose.",sea urchin,FOOD,sushi!-|restaurant!-|sea!-|urchin!-|sushi!-,positive
140,1086478:0,"The food here is rather good, but only if you like to wait for it.","food,NULL","FOOD,SERVICE",food!good,"positive,negative"
141,1086478:4,"Also, specify if you like your food spicy- its rather bland if you don't.",food,FOOD,food!-,negative
142,1090587:3,The lava cake dessert was incredible and I recommend it.,lava cake dessert,FOOD,dessert!incredible|lava!incredible|cake!incredible,positive
143,1102681:1,"This tiny restaurant is as cozy as it gets, with that certain Parisian flair.",restaurant,AMBIENCE,restaurant!cozy,positive
144,1102681:2,"The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way.","food,French Onion soup,French Onion soup,desserts","FOOD,FOOD,FOOD,FOOD",desserts!brilliant|soup!brilliant|food!average|onion!french|way!desserts,"positive,negative,positive,negative"
145,1119578:2,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.","ingredients,pizza,crust","FOOD,FOOD,FOOD",ingredients!fancy|pizza!good,"positive,negative,negative"
146,1123262:0,I think I've had some the best meals of my life at minnow.,meals,FOOD,meals!best|life!best|minnow!meals,positive
147,1123262:1,"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.","seafood,wine list,menu","FOOD,FOOD,FOOD",seafood!amazing|wine!good|list!good|menu!ever-changing|surprises!menu,"positive,positive,positive"
148,1123262:2,The combination of super-fresh ingredients in the dishes are unusual but really delicious.,ingredients,FOOD,combination!unusual|ingredients!unusual|dishes!super-fresh,positive
149,1125006:3,My wife had the fried shrimp which are huge and loved it.,"fried shrimp,fried shrimp","FOOD,FOOD",shrimp!fried|wife!shrimp,"positive,positive"
150,1126814:1,"My wife and I always enjoy the young, not always well trained but nevertheless friendly, staff, all of whom have a story.",staff,SERVICE,wife!enjoy|staff!enjoy,positive
151,1126886:2,"The service is excellent, the decor is great, and the food is delicious and comes in large portions.","service,decor,food,portions","SERVICE,AMBIENCE,FOOD,FOOD",service!excellent|decor!great|food!delicious|portions!large,"positive,positive,positive,positive"
152,1131595:2,The hostess is rude to the point of being offensive.,hostess,SERVICE,hostess!rude|point!hostess,negative
153,1131595:3,The food was bland oily.,food,FOOD,oily!bland|food!bland,negative
154,1138996:1,"We have been to this place many times, and always have great food, wine, and service.","food,wine,service","FOOD,FOOD,SERVICE",food!great|wine!great|times!many|place!many|service!food,"positive,positive,positive"
155,1138996:3,As always we had a great glass of wine while we waited.,glass of wine,FOOD,glass!great|wine!great,positive
156,1138996:4,"When we sat, we got great and fast service.",service,SERVICE,service!great,positive
157,1138996:5,The people that work there are always so friendly you forget you are in New York sometimes.,people,SERVICE,people!-|new!-|york!-,positive
158,1147082:0,I went there for lunch and it was not as good as I expected from the reviews I read.,lunch,FOOD,lunch!-|reviews!-,negative
159,1147211:2,The waitress was very patient with us and the food is phenomenal!,"waitress,food","SERVICE,FOOD",waitress!patient|food!phenomenal,"positive,positive"
160,1153034:0,Great pizza and fantastic service.,"pizza,service","FOOD,SERVICE",pizza!great|service!great,"positive,positive"
161,1153034:2,Located at the end of a magnificent block.,block,AMBIENCE,block!magnificent|end!magnificent,positive
162,1154550:0,This is the best sushi in new york city - hands down.,sushi,FOOD,sushi!best|city!best|hands!best,positive
163,1162037:0,"Planet Thailand has always been a hit with me , I go there usually for the sushi, which is great , the thai food is excellent too .","sushi,thai food,Planet Thailand","FOOD,FOOD",food!excellent,"positive,positive,positive"
164,1162037:1,"With the great variety on the menu , I eat here often and never get bored .",menu,FOOD,variety!-|menu!-,positive
165,1167434:5,"those rolls were big, but not good and sashimi wasn't fresh.","rolls,rolls,sashimi","FOOD,FOOD,FOOD",sashimi!fresh|rolls!big,"neutral,negative,negative"
166,1189674:0,First went here to enjoy their garden terrace.,garden terrace,AMBIENCE,terrace!enjoy|garden!enjoy,positive
167,1189674:1,"The food was amazing, and the service was prompt and helpful, but not over-bearing or rushed.","food,service","FOOD,SERVICE",food!amazing|service!prompt,"positive,positive"
168,1189674:2,"The Steak Tartare is a great bet, they fix it for you at the table.",Steak Tartare,FOOD,bet!great|tartare!great|steak!bet,positive
