,0,aspect,prediction
33,"do n't walk , run and buy this camera if you have the budget , i guarantee you will not be disappointed . ",,
34,i bought my canon-g3 about a month ago and i have to say i am very satisfied . ,canon g3!+,
35,i have taken hundreds of photos with it and i continue to be amazed by their quality . ,photo quality!+,
36,"the g3 is loaded with many useful features , and unlike many smaller digital cameras , it is easy to hold steady when using slower shutter speeds . ",feature!+,shutter
37,flaws ? ,,
38,"the lens is visible in the viewfinder when the lens is set to the wide angle , but since i use the lcd most of the time , this is not really much of a bother to me . ",viewfinder!-,|lens|viewfinder
39,still i am a little suprised that canon did not correct this design-flaw before releasing the camera . ,,canon|design-flaw
40,"despite this minor disappointment , i highly recommend the canon-g3-anyone who is serious about digital photography . ",camera!+,canon-g3-anyone|photography|disappointment
41,i have only had this camera for one full day and i have to say that it is wonderful . ,camera!+,|day
42,the photo quality is amazing and i know i 'm going to have fun with all the features . ,photo quality!+,quality
43,"i 've figured out most of its features on my own already ( because i have used digital cameras before , so i know things like symbols ) . ",,
44,"i 'm one of those people that can only concentrate on one screen at a time so i 've been having trouble paying attention to the little display-panel on top , but that does n't stop me from loving this camera . ",,camera|display-panel|top
45,"the reason i rated it a four is because of that darn diopter-adjustment-dial. its very small and hard to turn so you can 't get an accurate adjustment ( for those of you who do n't know what a diopter adjustment is , it is to adjust the focus of the viewfinder to your eyesight . ) ",darn diopter adjustment dial!-,adjustment|diopter|t
46,i am going to have so much fun with this camera and when i learn more i will post a more accurate review . ,,review
47,positives ,,
48,"1 ) slr like programming and exposure-control gives you latitude to be creative , yet its progam and auto-exposure settings provide excellent photos if you do n't want to bother with the settings . ",exposure control!+,
49,excellent range of metering options as well . ,metering option!+,range
50,it 's great to switch to spot metering and actually see it working on the lcd-screen . ,spot metering!+,
51,2 ) 4mp is about right for the target-market of this camera ( semi-serious amateur photographer ) ,4mp!+,4mp|target-market
52,3 ) 4x-zoom is nice ,zoom!+,4x-zoom
53,"4 ) the great thing about digital , in general , is that you can generally see the results of your exposure settings on the lcd-screen before you take the picture , not two weeks later when you get the film developed . ",,thing
54,5 ) its focusing system is also very flexible . ,focus!+,system
55,"you can move the focus-range to almost anywhere in the scene with the push of a button , and it has an on-screen manual-focus-mode that would be really helpful if shooting a scene that is tough to automatically focus . ",focus!+,
56,negatives ,,
57,"1 ) quite bulky ( it 's about the same size as my minolta vectis s-1 aps slr ) and uses a heavy battery , although not very solid as it is contructed mostly of plastic ( unlike canon 's elph-line ) ",size!-,|size|battery
58,2 ) not very ergonomical - you 'll find even for a point-and-shoot lens ) ,design!-,|lens
59,4 ) the viewfinder is borderuer lcd-scoying . ,viewfinder!-,|lcd-scoying|viewfinder
60,the camera has a wonderful set of features . ,feature!+|,set|camera
61,the lcd-screen pulls out and rotates in any direction for easy pictures . ,lcd!+,direction
62,you can even take a picture of yourself while looking at the lcd . ,,
63,the optical zoom works great and the 14x digital zoom is a very nice addition although pictures at the highest digital zoom are a little blurry . ,optical zoom!+,addition|14x|zoom|zoom
64,the highest optical zoom pictures are perfect . ,picture!+,zoom
65,"i have not yet seen any of the usual problems with digital pictures ( purple fringing , etc ) so i am very pleased . ",picture!+,|fringing|etc
66,"the canon-computer-software used to download , sort , upload and manage your digital pictures on the computer is very nice and very easy to use . ",software!+,canon-computer-software
67,the only two minor issues i have with the camera are the lens-cap ( it is not very snug and can come off too easily ) and the lens itself ( it partially obstructs the view through the viewfinder but not views through the lcd ) . ,lens cap!-,view|lens|viewfinder|lcd
68,the menus are easy to navigate and the buttons are easy to use . ,menu!+,
69,it is a fantastic camera and well worth the price . ,camera!+,camera|price
70,recent price drops have made the g3 the best bargain in digital cameras currently available . ,camera!+,g3|bargain|price
71,advanced photobugs will find more creative control than imaginable . ,control!+,control
72,newbies will find the full auto-setting will give them perfect pictures right out of the box . ,auto setting!+,box|auto-setting
73,4 megapixels is enough for anybody and the photo quality is awesome . ,photo quality!+,|quality|anybody
74,do n't get fooled by the 5 megapixel-marketing-hype . ,,
75,"unless you want to print murals , you do n't need it . ",,
76,those used to 35mm cameras will find the g3 very comfortable and friendly to use . ,use!+,g3
77,"anyone looking for more than "" point and shoot "" can make a huge step up for a moderate price-difference . ",,
78,the extended zoom-range and faster lense put it at the top of it 's class . ,zoom!+,lense|zoom-range|top
79,i expect the g3 will please me for years to come . ,,
80,i recommend unreservedly the powershot-g3 to any potential buyer looking for a first-class digital camera at a reasonable price - there is no better camera out there - period ! ,camera!+,powershot-g3|buyer|camera|period|price
81,"it gives great pictures , the controls are easy to use , the battery lasts forever on one single charge , the software is very user-friendly and it is beautiful in it chrome casing . ",picture!+|control!+|battery!+|software!+,software|casing|charge
82,i began taking pics as soon as i got this camera and am amazed at the quality of photos i have took simply by using the auto-mode . ,photo quality!+|auto mode!+,
83,absolutely breathtaking . ,,
84,i was considering the olympus-camedia-c-5050 but was convinced to buy the g3 after visiting a store and holding it in my hands and trying it out . ,,
85,"the olympus is a bit clumsy-looking and the user-interface not as friendly as the canon , but one of the features that sold me on the g3 was the battery-life - no other camera out there gives you the type of battery-life as the canon-g3 . ",,|camera|type|olympus|bit|canon-g3
86,"i would recommend a larger compact-flash card , at least 128 mb . ",,card|mb
87,i bought a 512 mb-card by simpletech and it works great with my canon . ,,
88,what else can you say about a camera that works for both of you ? ,,
89,"i make photographs at work , and so wanted a camera good enough to compare with what i use professionally . ",,camera
90,"at the same time , i wanted my wife to not be intimidated by knobs and buttons . ",,|time
91,"i recieved the camera , inserted a larger cf-card , charged the battery , and handed it to my wife . ",,
92,"i showed her how to turn it on , where the lens-zoom-lever is , and she loves it ! ",,
93,"this camera has canon 's great colorimetry , plus what you see in the lcd is what you get . ",canera!+,colorimetry|canon|camera
94,the prints are beautiful ! ,print!+,
95,and you get about 120 images on a 256mb card at highest quality . ,,|card
96,"i tried out some other brands in the stores , and was disappointed by the battery-life of the other company ; plus what you see in the lcd ( no optical finder ) is n't what you get - not even for color ; the output was less than i expected . ",,|company|battery-life|finder
97,"although canon 's batteries are proprietary , they last a really long time , recharge fairly quickly in the camera , plus if you want ' more power ' , you can even find a knockoff-charger and spare batteries right here on amazon . ",battery!+,canon|time|knockoff-charger
98,this is a great camera for you ! ,camera!+,camera
99,"the canon-g3 gives tons of control for photo buffs but still has an "" auto "" mode that makes it very easy for the novice to use . ",control!+,
100,i can hand this to anyone and know they will take some great photos ! ,,
101,"i love having the option to manually control the f-stop , shutter speed and even focus . ",control!+,
102,"i was able to take great photos of the 4th of july fire works , and got some amazing shots of the kids playing with sparklers . ",photo!+,
103,warning - i did read the manual ! ,,
104,"but if you 've used a slr 35mm-camera , the controls are very intuitive ! ",control!+,
105,once i read the manual i was able to point and shoot without having to fumble around trying to figure out where the controls are located . ,,
106,"with a quick spin of the dial you can select shutter priority ( for high speed subjects ) , aperture-priority ( for focal length ) or full program-mode where the camera selects both for ideal photo quality . ",dial!+,quality|spin|dial|program-mode|priority|aperture-priority|length|speed
107,the manual mode is easy to use with fast access for the selection of shutter speed and aperture without having to fumble through menu options . ,manual mode!+,mode|selection|access
108,it does n't do you any good if a camera has all the features but you can 't-access them quickly when you need them ! ,,
109,this camera also has a great feel and weight to it . ,feel!+,feel|weight|camera
110,"you feel like you are holding something of substance , not some cheap plastic-toy . ",feel!+,plastic-toy
111,"the more i work with it , the more i love it ! ",camera!+,work
112,i would recomend that you purchase a lexar media cf for the camera as the sandisk-card that comes packaged is too small and too slow ! ,,|sandisk-card
113,i did n't think i would find this quality and ease of use for under $ 1500 - i 'm thrilled with my purchase ! ,camera!+,
114,"this is my first digital camera , and i am very pleased with it . ",camera!+,|camera
115,"i do not know a whole lot about photography , but i am happy to know that this camera can always perform , even as i grow in skill and knowledge . ",,|lot|photography
116,"seriously , this thing has everything that a pro or expert amateur could want . ",camera!+,
117,"but at the same time , it takes wonderful pictures very easily in "" auto "" mode , so that even an average joe like me can use it ! ",picture!+|auto mode!+,|time|joe
118,four megapixels is great . ,four megapixel!+,
119,"i know there are five mp cameras out there , but this thing does just fine for me . ",,thing
120,"if you want , check out the canon-website and they have some sample images , taken by this camera , for you to download . ",,
121,"if you are looking for a very simple point and shoot camera , this is probably not what you are looking for . ",,|point
122,"if you are looking for an outstanding camera that can take you from simple to complex , this is it . ",,camera
123,it is a very amazing product . ,product!+,product
124,i highly recommend it . ,camera!+,
125,just received this camera two days ago and already love the features it has . ,feature!+,
126,takes excellent photos . ,photo!+,
127,night-mode is clear as day . ,night mode!+,night-mode|day
128,"i have not played with all the features yet , but the camera is easy to use once you get used to it . ",use!+,camera
129,the only drawback is the viewfinder is slightly blocked by the lens . ,viewfinder!-,viewfinder
130,"however , using the lcd seems to eliminate this minor problem . ",,
131,overall it is the best camera on the market . ,camera!+,camera|market
132,i give it 10 stars ! ,,
133,this camera has significantly more noise at iso 100 than the nikon 4500 . ,,camera|noise
134,i just bought the camera a few days ago . ,,
135,"before i "" get used to it "" , here are my first feelings : ",,
136,"a ) the picture-quality ( color and sharpness of focusing ) are so great , it completely eliminated my doubt about digital imaging --- how could one eat rice one grain at a time : - ) ) ",picture quality!+,color|picture-quality|imaging|sharpness|doubt
137,"b ) the lens-cover is surely loose , i already accidently finger-printed the len a few times , and au-lens-tigt and cause potential damage . ",lens cover!-,lens-cover|len|len|b|damage
138,i wish-canon would work out some way for that issue . ,,wish-canon|issue|way
139,"the zooming lever is shaky , i hope it does not operate mechanically , otherwise you 'll feel uneasy . ",zooming lever!-,lever
140,i bought this last week through amazon . ,,|week
141,got a great deal from a reputable seller . ,,deal|seller
142,i love this camera . ,camera!+,camera
143,i am still trying to figure out the may options it has . ,,
144,took hundreds of pictures and they were great . ,picture!+,
145,"great colors , pictures and white balance . ",color!+,balance
146,has 4x optical zoom which is higher than any other in the same price-range . ,optical zoom!+,|zoom|4x|price-range
147,it is generally overpriced a little bit but you get what you are paying for . ,,bit
148,"maybe it is my lack of experience , but i found shots with this camera very disappointing . ",picture!-,lack|camera
149,it was ( i sold it after a few months ) too expensive for the shots that i got . ,price!-,
150,"sure it had all the features , but when i tried to shoot a girl 's basketball-game it just wan't up to the task . ",camera!-,|girl
151,i do n't think i was asking too much . ,,
152,any film-zoom-p and s would have given superior results with a minimal effort . ,,effort
153,and with the 500 you save you could print the results for the life of the camera . ,,
154,i found that low light situations combined with any sort of action left this camera in the dust . ,camera!-,|camera|dust
155,i wanted it to shoot concerts as well . ,,
156,that meant even less light and just as much action . ,,|action
157,"sure , i adjusted the film-speed to 400 . ",,
158,the grain was terrible . ,grain!-,grain
159,next time i set it at 100 and used the flash . ,,|time
160,"well flash photos are never great , and there was still a lot of noise . ",flash photo!-,flash
161,"when i took outdoor photos with plenty of light and the objects were n't moving , the photos were awesome . ",photo!+,
162,the camera was a marvel . ,camera!+,camera
163,getting the printer to help output them was another tale . ,,
164,overall i think that you need to consider what you wan't to do . ,,
165,"for simple point and shoot photography , consider a cheaper digital . ",,|point|photography
166,you do n't need the extra resolution or the cost . ,,|resolution|cost
167,then again a one time-use-camera may do just as well . ,,
168,"if you shoot in lots of light and desire high quality , this will be your camera . ",,|quality|light|desire
169,it is versatile and seems to be one of the best . ,camera!+,
170,"me , i am going with a leica-minilux ( the g3 was replacing mine which was stolen ) . ",,
171,sure . ,,
172,"it is less versatile , but i am never disappointed with the output . ",,
173,"i am a long-time user of highly responsive film slrs and professional quality external flash-equipment , just so you know my bias . ",,user|user|flash-equipment|film|quality
174,"i have been watching the development of digicams for years , waiting to make my first move . ",,|move
175,"what i really want is a $ 1,500 digital slr with a full frame-sensor that will take my nikon lenses . ",,|slr|frame-sensor
176,"i figure that is at least three years off , and i am getting impatient . ",,figure|impatient
177,hence i decided to spring for a point-and-shoot digicam that that would have features that would let me get around their inherent limitations . ,,|digicam
178,"i chose the g3 because of its reputation for very high quality , clean images . ",g3!+,quality|reputation
179,"the two limitations i knew i would have to deal with are the very long lag-time before it focus-locks ( even in bright light ) , and the unsatisfactory light quality of the built-in flash . ",lag time!-,light|lag-time|quality|flash
180,"as of this writing , technology has not solved the focus-lock lag-time-problem for point-and-shoot digicams and anyone who is satisfied with it simply has never used a modern film-slr . ",,film-slr|anyone
181,"at least once youve got focus-lock , the shutter-release-lag time for the g3 is about 1/10 of a second , which from what ive read , is better than just about anything else available . ",,anything
182,what makes the focus-lock lag-time-something i can live with is the extreme depth of field obtainable with these point and shoot digicams at f8 . ,depth!+,field|depth|point|f8
183,"once i get focus lock , i can then wait until my restless subject ( a pet or a child ) strikes an amusing pose and then fire the shutter with some reasonable probability of getting my subject still in focus . ",,subject|pet|probability|child|focus
184,now what about the flash-problem ? ,,
185,"relative to what i can easily achieve with external flash on my nikon-slr , the internal flash on the g3 produces harsh , flat images with ugly hot spots . ",flash!-,|flash|g3
186,"fortunately , the g3 has a hot shoe that can take an external flash , and fortunately for me , i already owned a one of the highest quality external flashes that money can buy : the metz 60 ct-4 . ",external flash hot shoe!+,shoe|flash|quality|g3|ct-4
187,"i cant use my nikon external flash on a canon-camera , but i can use my metz , with the proper metz-module and extension-cord connected between the g3 and the 60 ct-4 . ",,g3|flash|nikon|ct-4|canon-camera|metz
188,"for those who have this metz-flash ( or the 45cl-3 ) and would like to get the absolute ultimate quality out of this g3 , the metz-module you need is the sca 3102 and the connector-cord is the sca-3000c . ",,|quality|g3|sca|sca-3000c|connector-cord
189,"in order for this to work , you have to set the camera to manual mode and set the shutter-speed and f-stop yourself . ",,|mode
190,"contrary to what ive read elsewhere , the g3 does sync at 1/250 of a second with third-party flashes , just as it does with the dedicated flashes from canon . ",flash!+,canon
191,"you also have to set the g3 to second shutter-sync , which is what youd want to do most of the time anyhow . ",,|shutter-sync
192,"then just forget about all the controls you have on the metz-flash-head itself and the sca 3102 control-panel , because they are all ignored . ",,
193,"the g3 completely takes over controlling the duration of the metz-flash , and most of the time , the exposure is spot on and when it isnt , its because youve exceeded the range of the metz-flash itself . ",,youve|range
194,"this might happen if you get too close to the subject and you are not bounce-flashing , or if you are bounce flashing and the walls are simply too far away . ",,
195,"unfortunately , the neutral density filters for the metz-flash are no longer available , so the first problem-cant easily be solved . ",,density|metz-flash
196,the second problem is solved by more direct lighting from the metz ( with the attendant shadows unfortunately ) . ,,
197,"but once youve got your exposure within an acceptable range , the g3 is shown to produce utterly stunning images that i can hardly get with my nikon-f100-film camera . ",,|range|exposure|youve|camera
198,"the 60 ct-4-flash-head can actually be reversed 180 degrees and then tilted , enabling you to bounce the flash off the walls behind you . ",,
199,the results are shadow-free images that look as if theyve been exposed with the gentlest natural light you could imagine . ,,light
200,"now there is one more complaint i have about the g3 and that is the software that comes with it for processing raw images ( i only shoot in raw image-mode and the first thing i did was replace the 32 mbyte-cf with a 512 mbyte-cf , which gives me 130 raw images , as opposed to 7 ! ",software!-,software|image-mode|complaint|thing|g3
201,"the canon-software for raw images does not present you with a raw image at all , but the raw image after it has been processed by all the image-affecting settings in the camera . ",software!-,|image|canon-software
202,i believe this is enabled by a second file that comes out of the camera that stores all this information . ,,|file
203,"maybe if you delete those files before you looked at them with the software , youd see the true , raw image that the camera actually produces . ",,|image|youd
204,i didnt wait to experiment . ,,
205,"instead , i bought the adobe-photoshop-camera raw plug-in . ",,
206,what this plug-in reveals is the truly stunning quality of the raw g3-hardware . ,g3!+,quality|g3-hardware
207,"without any tweaking at all , if the exposure is accurate , the colors are as realistic as ive ever seen produced by film , and this is a raw image ! ",color!+,exposure|image
208,the adobe-camera raw plug-in shows once again that hardware is miles ahead of software . ,g3!+,|adobe-camera
209,what the g3 raw image-software gives you is a fantasy-world designed to please the uncritical . ,software!-,|image-software|g3
210,"what the photoshop plug-in gives you is reality , and then if you want fantasy , you can use photoshop to create it . ",,|photoshop|reality
211,but at least youre starting with the most photorealistic images ive ever seen from a camera . ,image!+,
212,"i am stunned and amazed at the quality of the raw images i am getting from this g3 ( in conjunction with my professional flash-system ) , and can easily put up with the cameras limitations , because ive never seen anything better within its resolution limits . ",raw image!+,anything|flash-system|quality|conjunction
213,"i 've had this for 3 months now , and i am pleased with my decision . ",camera!+,
214,this is the perfect camera for a photo-hobbiest who wants to have easy point and shoot-ability as well . ,camera!+,camera|photo-hobbiest|point|shoot-ability
215,my girlfriend loved using this camera so much as a point and shoot that i had to pry it out of her hands most of the time . ,,girlfriend
216,"battery-life , the drawback to most digital cameras , to quote k. reeves . ",battery life!+,|drawback
217,whoa . ,,
218,"manual functionality is excellent , downloading pictures is quick and a breeze , and the quality is astounding . ",manual function!+,functionality|quality
219,"i did a good month 's worth of research before buying this over other similar priced digital cameras , and this is the best buy for the buck . ",,month|worth|buy|buck
220,"not perfect ( yes , the viewfinder can get obstructed in instances.but the lcd works well enough in those instances ) , not the cheapest 4.0 mp , but the best 4.0 mp . ",viewfinder!-,lcd|mp|instances.but
221,"if you do n't believe me on that , check the consumer reports review as well as the many digital camera-review sites out there . ",,|review|consumer|camera-review
222,"or save time and just do it , you wo n't regret it . ",,
223,"after reading the very positive review of this camera in a leading consumer-magazine , i decided to head here , to amazon , to read through the online reviews . ",,review|camera|consumer-magazine
224,"the objections of the naysayers almost caused me to purchase a different camera , but , in the end , i figured i 'd give the g3 a try . ",,|camera
225,i 'm very glad i did . ,,
226,the service from the supplier was exceptional . ,service!+,service|supplier
227,the camera arrived on time and in perfect condition . ,,condition|time
228,"having used it for more than a month , i can say that it consistently produces topnotch photos . ",photo!+,
229,"recently , i attended a "" flyball "" competition ",,
230,-- an event that involves dogs running and jumping hurdles . ,,
231,"by cocking the shutter to the halfway position and getting the settings ready to shoot , i was able to produce excellent stopaction photos -- contrary to what other reviewers experienced . ",photo!+,stopaction
232,"the camera is a dream to operate in automode , but also gives tremendous flexibility in aperture-priority , shutter-priority , and manual modes . ",automode!+,dream|aperture-priority|shutter-priority|flexibility
233,in the coastal redwood forests i was able to use these additional features along with the macro-focussing option to shoot wonderful close-up photos of the trilliums and other flowers in bloom . ,,close-up|option
234,about the only legitimate criticsm from the online reviews is that fact that the lens really does obstruct the viewfinder . ,viewfinder!-,lens|criticsm|fact|viewfinder
235,this effect is increased when one buys and uses a telephoto-doubler . ,,
236,but who cares ? ,,
237,i always shoot using the lcd-panel . ,,
238,i can 't write enough positive things about this great little camera ! ,camera!+,camera|camera
239,"being a great fan of the g2 i set out with g3 with a somewhat negative expectation , difficult as it is to improve drastically on something already as ' perfect ' as the powershot-g2 . ",,fan|expectation
240,but canon never fails to amaze . ,canon!+,
241,some of the great gains over g2 -- ,,
242,1 . the ability to selectively switch to raw format during record review gives you incredible more post-processing flexibility . ,raw format!+,ability|format|flexibility
243,"2 . battery life is over 4.5 hours , compared to about 2.5 hours for the g2 or the 2 hours for most nikons . ",battery life!+,
244,3 . the remote capture and fileviewer software bundled for photo capture is mind-blowing . ,software!+,capture|software|photo|fileviewer
245,"looks sort of like picasa-software ( google it if you dont know ) in the interface and is as easy to install and operate as g2 's , but more intuitive . ",,
246,"4 . the shape of this device is a little squarer , without losing the weight which means better balance and less shaking while clicking . ",shape!+,weight|balance
247,a big plus in my book . ,,|book
248,"5 . the 1/200 sec , f5.6 + nd filter for highly exposed ( or very brightly lit ) environments . ",,
249,the light auto-correction is awesome . ,light auto correction!+,auto-correction
250,you could take a picture of a stone glinting in the sun and still avoid the shining glaze and get the contours right . ,picture!+,
251,"6 . the g2 's "" color effect "" exposure mode has now been removed , the replacement is a selectable "" effect func "" menu option available in all exposure modes . ",,option|replacement|effect|func|menu
252,"there are six default settings ( off , vivid , sepia , neutral , low sharpening , b & w ) as well as a ' custom-effect ' that allows you to control sharpening , contrast and saturation . ",,|sepia|custom-effect|b|w|contrast|saturation
253,7 . a new photostich software for stiching your pics into a panoramic view . ,,view|software|photostich
254,i can of course buy such a tool off the shelves separately but helps if it comes with my camera . ,,
255,"( looks quite neat too suggesting that canon may have , er , canonized it a bit ). ",,
256,"8 . perhaps inspired by the canon 's factory white-correction settings ( which were found lacking and had to be altered by a user before the white edges from buildings etc could be cleaned out ) , the g3 has much sharper white offsets . ",white offset!+,
257,"in english , this means that even straight out of the box , you 'll be amazed at the pics you end up taking . ",,
258,"9 . in dim lit environs the g2 could easily outperform any other camera , and thankfully g3 maintains this rep . ",,g2|camera
259,personally i believe it even outperforms the g2 in terms of less haze and astonishingly real colors . ,,g2|haze
260,"overall , the g3 delivers what must be considered the best image-quality of any current > 4 megapixel digicams , from a detail , tonal balance and color-response-point of view . ",g3!+,image-quality|balance|detail|color-response-point|view|megapixel
261,there 's really very little about g3 images to criticize . ,,|g3
262,short of the eos range from canon or the d100s from nikon ( both slrs ) .,,
263,this is quite simply the best you can ask for . ,camera!+,
264,i love my g2 so thought i would upgrade . ,,g2
265,big mistake . ,,
266,the g3 had problems focusing in low light and would not take the picture when the shutter was pressed but after the shutter had been released a few seconds . ,low light focus!-,g3
267,got way too many blurry pictures . ,picture!-,way
268,i have returned the g3 ( actually i tried two of them ) and have my g2 ! ,,
269,"when shopping for digital cameras i looked at the nikon-cp5700 , olympus-c5050 , nikon-cp5000 , and the canon-g3 . ",,
270,"yes , all cameras except g3 were 5mp but i was looking for a lot more than just megapixel power . ",,|g3
271,"not only was i was shopping for a camera that would suit my casual and artistic photographic needs , i had to keep in mind that my fiance wanted to use this camera as well . ",,
272,her main focus was having a camera that is easy to understand and use . ,,|focus|camera
273,the nikon 's are great cameras . ,,
274,"+ they have great optics ( cp5700 has great optical zoom ) and features , not to mention take great pictures . ",,zoom|cp5700
275,"- the drawbacks were that they were not user friendly for the casual photographer , the lcd-screen is a little too small , cp5000 does not take photos in raw format . ",,|lcd-screen|format
276,olympus-c5050 is a very solid camera with a metal-body . ,,camera|olympus-c5050|metal-body
277,"+ takes sharp 5mp photo 's , has great features and relatively easy to use . ",,photo
278,"- i did n't care much for the tilting lcd-screen , it seemed very limited and not very usefull . ",,
279,photos had some artifacts and noise . ,,
280,my fiance just did n't like the way it felt in her hands . ,,fiance|way
281,we also looked at the fuji-fps602 . ,,
282,"nice camera but does n't take as sharp as pictures i thought they would , and again . ",,camera
283,fiance did n't like the feel . ,,fiance|feel
284,the canon-g3 . ,,
285,"4mp , 4x optical zoom , takes absolutely beautiful photos with detail that challenges all of the above 5mp cameras , easy to understand and use ( has a great swivel lcd-screen ) , a lot of features and add-on options , comes with great software ( not to be overlooked ) , and last but by far not least , received my fiance 's stamp of approval ( two thumbs up ! ) ",photo!+|use!+|software!+,lcd-screen|detail|zoom|swivel|lot|software|stamp
286,"a lot of research went into digital camera 's before i made this purchase , and hands down , the g3 had everything i needed plus more . ",,|camera
287,"the other cameras were great and i 'm sure many people will beg to differ from my observations , but to each his / her own . ",,
288,"i have no buyers remorse with this baby , and i never will . ",,
289,"always remember , cameras do n't take great pictures , people do ! ",,
290,the powershot-g3 is a great camera . ,camera!+,camera|powershot-g3
291,why ? ,,
292,because it can help a so-so photographer take spectacular photos ! ,photo!+,
293,"4 megapixels is plenty for all but pros , and you will not be disappointed with the results of this camera . ",camera!+,
294,it 's slightly lighter than the g2 and packed with even more features . ,feature!+,
295,make sure you get a big compactflash card ( it comes with a 32mb ) -- the 512mb cards are pretty [ inexpensive ] here on amazon.com and can hold about 500 photos at a time ! ,,|card
296,"the catch with the canon-g3-camera , ( and perhaps all of digital cameras ) is that its unresponsiveness will cause you to miss precious shots . ",unresponsiveness!-,
297,"prior to the purchase , none of my digital camera friends mentioned the delay between pressing the shutter-button and the camera taking the picture . ",,none|camera|shutter-button|delay
298,"no one told me , but i wanted to tell you . ",,
299,this is not the same thing as a film-camera . ,,|thing|film-camera
300,and while it is cool and fun and has no film-processing costs . ,,
301,they have n't got all the bugs worked out just yet . ,,
302,"most of the time , my g3 is a well-behaved camera . ",,camera|g3
303,"but once in a while , i run up against it 's major flaw : ",,
304,it sometimes takes the picture at some indefinite period of time after you press the shutter-button . ,delay!-,|period|time
305,i am not talking milliseconds . ,,
306,picture this : ,,
307,"your child is going to do a cannonball off the diving-board , so you compose the shot and wait for your moment . ",,
308,"when it arrives , you press the shutter-release . ",,
309,splash ! ,,
310,"the moment passes , and then your new g3-camera takes the shot . ",,|g3-camera|shot
311,perhaps there is a way around this delay . ,,
312,"some feature i could turn on or off , or some attachment i could get . ",,
313,"yes , i push the button down halfway first to avoid the autofocus-delay . ",,
314,"yes , i have red-eye off , and yes , i 've tried adding a flash . ",,
315,"but after trying many adjustments , the camera remains unresponsive when compared to any film-based camera . ",,|camera
316,i own another canon - an eos ( 35mm-film ) camera . ,,|canon|camera
317,it focuses in a snap . ,,
