,sentence
53,"relative to what i can easily achieve with external flash on my nikon slr , the internal flash on the g3 produces harsh , flat images with ugly hot spots . "
54,"fortunately , the g3 has a hot shoe that can take an external flash , and fortunately for me , i already owned a one of the highest quality external flashes that money can buy : the metz 60 ct-4 . "
55,"i cant use my nikon external flash on a canon camera , but i can use my metz , with the proper metz module and extension cord connected between the g3 and the 60 ct-4 . "
56,"then just forget about all the controls you have on the metz flash head itself and the sca 3102 control panel , because they are all ignored . "
57,"unfortunately , the neutral density filters for the metz flash are no longer available , so the first problem cant easily be solved . "
58,"but once youve got your exposure within an acceptable range , the g3 is shown to produce utterly stunning images that i can hardly get with my nikon f100 film camera . "
59,"the 60 ct-4 flash head can actually be reversed 180 degrees and then tilted , enabling you to bounce the flash off the walls behind you . "
60,"now there is one more complaint i have about the g3 and that is the software that comes with it for processing raw images ( i only shoot in raw image mode and the first thing i did was replace the 32 mbyte cf with a 512 mbyte cf , which gives me 130 raw images , as opposed to 7 ! "
61,"maybe if you delete those files before you looked at them with the software , youd see the true , raw image that the camera actually produces . "
62,"instead , i bought the adobe photoshop camera raw plug-in . "
63,"without any tweaking at all , if the exposure is accurate , the colors are as realistic as ive ever seen produced by film , and this is a raw image ! "
64,"what the photoshop plug-in gives you is reality , and then if you want fantasy , you can use photoshop to create it . "
65,but at least youre starting with the most photorealistic images ive ever seen from a camera . 
66,"not perfect ( yes , the viewfinder can get obstructed in instances.but the lcd works well enough in those instances ) , not the cheapest 4.0 mp , but the best 4.0 mp . "
67,"if you do n't believe me on that , check the consumer reports review as well as the many digital camera review sites out there . "
68,"recently , i attended a "" flyball "" competition "
69,"by cocking the shutter to the halfway position and getting the settings ready to shoot , i was able to produce excellent stopaction photos -- contrary to what other reviewers experienced . "
70,in the coastal redwood forests i was able to use these additional features along with the macro-focussing option to shoot wonderful close-up photos of the trilliums and other flowers in bloom . 
71,but who cares ? 
72,"being a great fan of the g2 i set out with g3 with a somewhat negative expectation , difficult as it is to improve drastically on something already as ' perfect ' as the powershot g2 . "
73,but canon never fails to amaze . 
74,1 . the ability to selectively switch to raw format during record review gives you incredible more post-processing flexibility . 
75,"6 . the g2 's "" color effect "" exposure mode has now been removed , the replacement is a selectable "" effect func "" menu option available in all exposure modes . "
76,"9 . in dim lit environs the g2 could easily outperform any other camera , and thankfully g3 maintains this rep . "
77,personally i believe it even outperforms the g2 in terms of less haze and astonishingly real colors . 
78,"overall , the g3 delivers what must be considered the best image quality of any current > 4 megapixel digicams , from a detail , tonal balance and color response point of view . "
79,got way too many blurry pictures . 
80,"yes , all cameras except g3 were 5mp but i was looking for a lot more than just megapixel power . "
81,"not only was i was shopping for a camera that would suit my casual and artistic photographic needs , i had to keep in mind that my fiance wanted to use this camera as well . "
82,her main focus was having a camera that is easy to understand and use . 
83,"4mp , 4x optical zoom , takes absolutely beautiful photos with detail that challenges all of the above 5mp cameras , easy to understand and use ( has a great swivel lcd screen ) , a lot of features and add-on options , comes with great software ( not to be overlooked ) , and last but by far not least , received my fiance 's stamp of approval ( two thumbs up ! ) "
84,"i have no buyers remorse with this baby , and i never will . "
85,"always remember , cameras do n't take great pictures , people do ! "
86,because it can help a so-so photographer take spectacular photos ! 
