,tweet,label,polarity
73,The salesman talked us into this computer away from another we were looking at and we have had nothing but problems with software problems and just not happy with it.,"GENERAL,GENERAL","negative,negative"
74,This is my first Dell I heard their customer service was lacking and that they were working on improving it!,QUALITY,neutral
75,The DVD burner broke after burning 3 DVD'd during that time!,QUALITY,negative
76,They sent me a replacement part and without informing me are requiring that I return it within 15 days or contact them and let them know the broken part will be returned later.,QUALITY,negative
77,If this is an improvement in Customer Service then I would hate too see what it was before!,QUALITY,negative
78,I spoke to 4 different people and was told they needed to transfer me to a 5th person!,QUALITY,negative
79,Needless to say I told them No and have a nice day and hung up!,QUALITY,negative
80,I can guarantee this will be the last Dell I will ever purchase!,"GENERAL,GENERAL","negative,negative"
81,Breaking within 1 year of purchase and speaking to 4+ people to report the damaged part will be returned late!,"QUALITY,QUALITY","negative,negative"
82,I do not recommend this company or their products!!!!,GENERAL,negative
83,"So far, a great product.",GENERAL,positive
84,"High price tag, however.",OTHERS,negative
85,Still trying to learn how to use it.,OTHERS,neutral
86,it is the worst computer dell ever made.,GENERAL,negative
87,it is hard to fix and makes it a hassle to own one.,"QUALITY,GENERAL","negative,negative"
88,breaks easily.,QUALITY,negative
89,only good thing is the graphics quality.,QUALITY,positive
90,There are so many wonderful features and benefits to the new MacBook!,"DESIGN_FEATURES,GENERAL","positive,positive"
91,No Viruses!,QUALITY,positive
92,This laptop is fast and you will literally learn all you can do with this dynamo by just watching the online tutorials.,"OPERATION_PERFORMANCE,OTHERS","positive,positive"
93,I am loyal to Apple.,GENERAL,positive
94,I am very Happy!,GENERAL,positive
95,This just keeps having it's hard drive replaced!,QUALITY,negative
96,Acer won't replace the laptop.,QUALITY,negative
97,the manufacturer's warranty only covers replacement/repair of parts.,GENERAL,negative
98,This thing is a lemon.,QUALITY,negative
99,This MacBook is an outstanding product with great value.,GENERAL,positive
100,Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,"OTHERS,QUALITY","positive,positive"
101,"Suffice it to say, my MacBook Pro keeps me going with its long battery life and blazing speed.","OPERATION_PERFORMANCE,OPERATION_PERFORMANCE","positive,positive"
102,It does run a little warm but that is a negligible concern.,QUALITY,neutral
103,I have had nothing but problems since the day I took it out of the box!,"GENERAL,QUALITY","negative,negative"
104,My first problem was with the pre-loaded Norton Firewall/Security program.,GENERAL,negative
105,It would not let me connect to my Wifi system where I lived.,OTHERS,negative
106,It took Toshiba tech support 4 calls and 4 different techs to correct the problem.,QUALITY,negative
107,"Then just the other day, my left ""mouse"" button snapped!",QUALITY,negative
108,"Being only 2 months old, I am not a happy camper!",GENERAL,negative
109,Buyer Beware.,GENERAL,negative
110,"this one, in my opinion, might be a lemon!",QUALITY,negative
111,It rarely works and when it does it's incredibly slow.,"QUALITY,OPERATION_PERFORMANCE","negative,negative"
112,I have had to take it to the geek squad guys to get it fixed because it has had viruses 3 times and i have not even had it for more then 4 months!,QUALITY,negative
113,"*IF YOU ARE LOOKING FOR A GOOD LAPTOP, THIS IS NOT IT!",GENERAL,negative
114,Like the price and operation.,"OTHERS,OPERATION_PERFORMANCE","positive,positive"
115,"Some features arent friendly ( volume wheel, sound quality, etc.","OTHERS,OTHERS,QUALITY","negative,negative,negative"
116,"But, for the cost this is a winner.","GENERAL,OTHERS","positive,positive"
117,I absolutely love my mac!,GENERAL,positive
118,I can't imagine my life without it anymore!,GENERAL,positive
119,I've haven't had any major problems with the laptop except that the plastic piece that covers the usb port wires have all come off.,"GENERAL,QUALITY","positive,negative"
120,Apparently they are defective since they are not securely attached.,QUALITY,negative
121,I can barely use any usb devices because they will not stay connected properly.,OTHERS,negative
122,I called Toshiba and they want me to be without my laptop for about two weeks while they look at the problem.,QUALITY,negative
123,I think I might rather suffer for something that is simple to fix in my opinion.,QUALITY,negative
124,I bought this laptop Was the worst Laptop I've ever bought.,GENERAL,negative
125,I spent alot of money on this product and its been a nightmare.,"OTHERS,GENERAL","negative,negative"
126,And having to deal with the company has been a even worse nightmare.,QUALITY,negative
127,They sent it back with a huge crack in it and it still didn't work.,QUALITY,negative
128,And that was the fourth time ive sent it to them to get fixed.,QUALITY,negative
129,Its been a year and am still waiting to see what there going to do about my laptop.,QUALITY,negative
130,So if anyones looking to buy a computer or laptop you should stay far far away from any that have the name TOSHIBA on it...,GENERAL,negative
131,I saved for this laptop for 3 months and I can tell you personally it was worth the wait.,GENERAL,positive
132,"The display on this computer is the best I've seen in a very long time, the battery life is very long and very convienent.","GENERAL,OPERATION_PERFORMANCE","positive,positive"
133,"A little pricey but it is well, well worth it.","OTHERS,GENERAL","negative,positive"
134,It is amazing.,GENERAL,positive
135,In the first moth of owning this computer its hardrive failed which had to be replaced.,QUALITY,negative
136,After replacing the hard drive the battery stopped working  (3 months of use) which was frustrating.,"QUALITY,OPERATION_PERFORMANCE","negative,negative"
137,Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.,"QUALITY,OPERATION_PERFORMANCE,QUALITY","negative,negative,negative"
138,A tip for people looking into this computer: DO NOT BUY IT save up a bit more money and buy a computer that will last.,QUALITY,negative
139,Has a 5-6 hour battery life.,OPERATION_PERFORMANCE,positive
140,It is easy to use and lightweight.,"OTHERS,DESIGN_FEATURES","positive,positive"
141,Was very much worth the price i paid.,"GENERAL,OTHERS","positive,positive"
142,This netbook went bad on me after 3 days.,QUALITY,negative
143,There is a blank lighted screen when I start and that is all.,OPERATION_PERFORMANCE,negative
144,"Three weeks after I bought the netbook, the screen quit working.","QUALITY,OPERATION_PERFORMANCE","negative,negative"
145,I baby my electronics so I know for a fact it was defective and not anything that I did to it.,QUALITY,negative
146,"Overall I feel this netbook was poor quality, had poor performance, although it did have great battery life when it did work.","QUALITY,OPERATION_PERFORMANCE,OPERATION_PERFORMANCE","negative,negative,positive"
147,Took the netbook on a vacation trip and I was able to do whatever I wanted to do without lugging a much heavier laptop.,"OTHERS,DESIGN_FEATURES,GENERAL","positive,positive,positive"
148,The So called laptop Runs to Slow and I hate it!,"OPERATION_PERFORMANCE,GENERAL","negative,negative"
149,Do not  buy it!,GENERAL,negative
150,It is the worst laptop ever,GENERAL,negative
151,"The image is great, and the soud is excelent.","QUALITY,QUALITY","positive,positive"
152,i love ths notebook.,GENERAL,positive
153,I love the glass touchpad.,DESIGN_FEATURES,positive
154,Easy learning curve.,OTHERS,positive
155,Also the display is exceptional!,GENERAL,positive
156,I have loved this since i took it out of the box.,GENERAL,positive
157,The battery is really long.,OPERATION_PERFORMANCE,positive
158,"the features are great, the only thing it needs is better speakers.","DESIGN_FEATURES,GENERAL","positive,negative"
159,Small and light weight.,DESIGN_FEATURES,positive
160,Speakers too small to be of any real use.,"DESIGN_FEATURES,OTHERS","negative,negative"
161,Keyboard good sized and wasy to use.,"DESIGN_FEATURES,OTHERS","positive,positive"
162,I like it!,GENERAL,positive
163,Meets my needs perfectly and is light enough for this senior to carry without affecting my arthritis.,"GENERAL,DESIGN_FEATURES,OTHERS","positive,positive,positive"
164,"Needless to say, not to happy with the product.",GENERAL,negative
165,This is a great machine!,GENERAL,positive
166,"The design is awesome, quality is unprecedented.","DESIGN_FEATURES,QUALITY","positive,positive"
167,"Apparently well-built and gorgeous to look at, the i5 MacBook Pro is a winning combination of price and performance.","QUALITY,DESIGN_FEATURES,OTHERS,OPERATION_PERFORMANCE","positive,positive,positive,positive"
168,It is by far one of the greatest investments I have ever made.,GENERAL,positive
169,"Am very glad I bought it, great netbook, low price.","GENERAL,OTHERS","positive,positive"
170,Very good quality and well made.,QUALITY,positive
171,Great pick for portability and affordability.,"OTHERS,OTHERS","positive,positive"
172,The black model also has a very nice seamless appearance - one of the better looking notebooks I've seen.,DESIGN_FEATURES,positive
173,The only problem is a lack of screen resolutions!,QUALITY,negative
174,"If you need an affordable, entry-level laptop, this will fit the bill.","OTHERS,OTHERS","positive,positive"
175,"I dislike the weight and size, cubersome.","OTHERS,DESIGN_FEATURES","negative,negative"
176,I dislike the quality and the placement of the speakers.,"QUALITY,DESIGN_FEATURES","negative,negative"
177,"Overall, it's ok.",GENERAL,neutral
178,"Laptop is advertised as a 15"" but the casing looks like that of a 17"".",DESIGN_FEATURES,negative
179,This laptop is very large and barely fits in any carrying cases.,"DESIGN_FEATURES,OTHERS","negative,negative"
180,Peformance is good for the price.,"OPERATION_PERFORMANCE,OTHERS","positive,neutral"
181,"If you're not wanting to be mobile, this is a good laptop to sit on a desk.","OTHERS,GENERAL","negative,positive"
182,Had to have this computer repaired twice in the first 5 months after purchasing it.,QUALITY,negative
183,Not good for a person who gets online daily.,OTHERS,negative
184,May be better for the occasional web surfer.,OTHERS,neutral
185,"I just got this laptop for college, and so far I am very happy with it.",GENERAL,positive
186,It is so much easier to use,OTHERS,positive
187,"Good keyboard, long battery life, largest hard drive and windows 7.","GENERAL,OPERATION_PERFORMANCE,DESIGN_FEATURES,GENERAL","positive,positive,positive,neutral"
188,And Toshiba is a quality supplier.,QUALITY,positive
189,I love this little one.,GENERAL,positive
190,The keyboard has a wonderful nature feel.,QUALITY,positive
191,great battery life.,OPERATION_PERFORMANCE,positive
192,Keyboard is reasonable size.,DESIGN_FEATURES,positive
193,Small screen somewhat limiting but great for travel.,"DESIGN_FEATURES,OTHERS","negative,positive"
194,Charger seems large for this class of computer.,DESIGN_FEATURES,negative
195,"Great Laptop for the price, works well with action pack games.","GENERAL,OTHERS,OTHERS","positive,neutral,positive"
196,"The only thing that I have, is the key broad is a little dark to see the letters, would help if it was a little lighter then it is.","DESIGN_FEATURES,OTHERS","negative,negative"
197,but other then that I would give this product a 4 in hafe stars.,GENERAL,positive
198,Good for every day computing and web browsing.,OTHERS,positive
199,A great computer for light home use and business use.,OTHERS,positive
200,Might not make the avid gamer happy but I don't really think that is what this computer is designed for.,OTHERS,neutral
201,"Crisp screen, great battery life, and plenty of storage.","QUALITY,OPERATION_PERFORMANCE,DESIGN_FEATURES","positive,positive,positive"
202,Very happy.,GENERAL,positive
203,He loves it and it is easy to use and well the schools start teaching the kids early about computers so it was easy for him to get started.,"GENERAL,OTHERS","positive,positive"
204,I would recomend this acer to parents and grandparents it can really help them in school.,OTHERS,positive
205,MY ONLY PROBLEM IS I CAN NOT REG. THE PRODUCT KEY.,OTHERS,negative
206,"IT WANT TAKE IT, IT KEEP SAYING ERROR.",OTHERS,negative
207,"HELP, HELP, OTHER THAN THAT GETS A GREAT LITTLE WONDER.",GENERAL,positive
208,It's fast and has excellent battery life.,"OPERATION_PERFORMANCE,OPERATION_PERFORMANCE","positive,positive"
209,The screen shows great colors.,QUALITY,positive
210,I was surprised with the performance and quality of this HP Laptop.,"OPERATION_PERFORMANCE,QUALITY","positive,positive"
211,the speed is fine.,OPERATION_PERFORMANCE,positive
212,"But with A WAY Bigger Screen, and IS able to connect to an HDMI.","DESIGN_FEATURES,OTHERS","positive,positive"
213,Love it.,GENERAL,positive
214,"I would recommend this computer to anyone searching for the perfect laptop, and the battery life is amazing.","GENERAL,OPERATION_PERFORMANCE","positive,positive"
215,I BOUGHT THIS LAP TOP AND THE CHARGE TIME DOSEN'T LAST AS LONG AS THEY SAY IT WILL MORE LIKE 2 HOURS,OPERATION_PERFORMANCE,negative
216,This computer is the ideal college companion.,OTHERS,positive
217,It's software and speed enable it to do amazing things.,"OPERATION_PERFORMANCE,GENERAL","positive,positive"
218,I am not happy at all with the product I purchased.,GENERAL,negative
219,"A cheaper price should not equal a ""cheap"" product.","OTHERS,QUALITY","neutral,negative"
220,It was over rated!,GENERAL,negative
221,The Toshiba laptop was a great purchase.,GENERAL,positive
222,"The price was very good, and the product is top quality.","OTHERS,QUALITY","positive,positive"
223,"The delivery was fast, and I would not hesitate to purchase this laptop again.","QUALITY,GENERAL","positive,positive"
224,It has easy to use features and all the speed and power I could ask for.,"OTHERS,OPERATION_PERFORMANCE","positive,positive"
225,True quality at a great price!,"QUALITY,OTHERS","positive,positive"
226,I am enjoying it and the quality it provides is great!,"GENERAL,QUALITY","positive,positive"
227,"Toshiba is a great brand, even though I haven't had it for a long time, I am very happy with it!","GENERAL,GENERAL","positive,positive"
228,"The screen graphics and clarity, and sharpness are great.",QUALITY,positive
229,I've already recommended this laptop to a friend who eye'd the computer when I took it out of my bag.,GENERAL,positive
230,I like the laptop overall.,GENERAL,positive
231,The only thing i can say is that the touch pad doesnt work like it should all the time.,OPERATION_PERFORMANCE,negative
232,Sometimes you really have to tap the pad to get it to work,"OPERATION_PERFORMANCE,OTHERS","negative,negative"
233,This is a great little computer for the price.,"GENERAL,OTHERS","positive,neutral"
234,"Simple to use, and great graphics.","OTHERS,GENERAL","positive,positive"
235,It has everything I would need for a home computer.,OTHERS,positive
236,I'm very impressed.,GENERAL,positive
237,It was secure and easy to navigate.,"QUALITY,OTHERS","positive,positive"
238,It is everything that I would want in a computer.,GENERAL,positive
239,"Besides the great look, it is a great machine.","DESIGN_FEATURES,GENERAL","positive,positive"
240,Once again apple stands alone at the top of the charts.,GENERAL,positive
241,"I enjoy very much my new Toshiba, purchased specifially for attending online schooling.",GENERAL,positive
242,"I have found it very easy to use, very imformative, wonder alerts and tutorials making it very easy for someone like me who is not exactly technologically advanced to learn to use the various features and programs.",OTHERS,positive
243,"I have found also, it is very easy to be able to access wireless internet access; without having to have extra equipment and/or complicated routes to take to be able to do so.",OTHERS,positive
244,"I also love the small, convenient size of my laptop, making it a perfect tool for my academic studies.","DESIGN_FEATURES,OTHERS,OTHERS","positive,positive,positive"
245,I am very pleased with my purchase!,GENERAL,positive
246,This laptop serves all my needs.,GENERAL,positive
247,Screen size is perfect for portable use in any environment.,"DESIGN_FEATURES,OTHERS","positive,positive"
248,Price and purpose is awesome!,"OTHERS,OTHERS","positive,positive"
249,I have been very pleased with the performance of this laptop.,OPERATION_PERFORMANCE,positive
250,"The battery life seems to be very good, and have had no issues with it.",OPERATION_PERFORMANCE,positive
251,Great product.,GENERAL,positive
252,The laptop was very easy to set up.,OTHERS,positive
253,Everything was so easy.,OTHERS,positive
254,They were able to set-up with labtops themselves within a few minutes.,OTHERS,positive
255,It works fine with our wireless and they've had not problems.,"OTHERS,GENERAL","positive,positive"
256,It's a great product for a great price!,"GENERAL,OTHERS","positive,positive"
257,"Waited on getting this computer, but it has been a great change.",GENERAL,positive
258,Ease of use is just one of the benefits I love about my Mac.,OTHERS,positive
259,The service I received from Toshiba went above and beyond the call of duty.,QUALITY,positive
260,"My friend reports the notebook is astonishing in performance, picture quality, and ease of use.","OPERATION_PERFORMANCE,QUALITY,OTHERS","positive,positive,positive"
261,It is extremely portable and easily connects to WIFI at the library and elsewhere.,"OTHERS,OTHERS","positive,positive"
262,Just what the doctor ordered.,GENERAL,positive
263,I cannot be happier with the service or product.,"GENERAL,GENERAL","positive,positive"
264,power supply went bad after 2 weeks --,QUALITY,negative
265,after much effort and 10 days ASUS replaced it,QUALITY,negative
266,The WiFi is very weak.,OTHERS,negative
267,Summary: Spend your money elsewhere,GENERAL,negative
268,This is a nicely sized laptop with lots of processing power and long battery life.,"DESIGN_FEATURES,OPERATION_PERFORMANCE,OPERATION_PERFORMANCE","positive,positive,positive"
269,Love it so far.,GENERAL,positive
270,The Toshiba Net book operates very well.,OPERATION_PERFORMANCE,positive
271,The only objection I have is that after you buy it the windows 7 system is a starter and charges for the upgrade.,OTHERS,negative
272,"I bought this netbook for traveling, and it's great - light, functional, and meets my needs.","GENERAL,DESIGN_FEATURES,OTHERS,OPERATION_PERFORMANCE","positive,positive,positive,positive"
273,"The touchpad is extremely sensitive, which is the only drawback.","OPERATION_PERFORMANCE,GENERAL","negative,positive"
274,"Otherwise, I love it!",GENERAL,positive
275,I wasn't really sure I wanted to spend that kind of money!,OTHERS,negative
276,It Was a great deal after all.,"GENERAL,OTHERS","positive,positive"
277,I LOVE it!,GENERAL,positive
278,I should have bought one a long time ago.,GENERAL,positive
279,Not enough time for me to give it 5 stars!,GENERAL,neutral
280,"I've had the MacBook Pro 15 for about three weeks, and it really is a great computer.",GENERAL,positive
281,I have only had PCs with Windows before so this takes a little getting use to.,OTHERS,neutral
282,The real stand out on this computer is the feel of the keyboard and it's speed.,"QUALITY,OPERATION_PERFORMANCE","positive,positive"
283,"It is fast booting up , shutting down, and connection with the internet.","OPERATION_PERFORMANCE,OTHERS","positive,positive"
284,The one thing I wish it had was a detailed hardcopy manuel.,OTHERS,negative
285,"I think the manual is somewhere on the hard drive, but I rather have a hard copy.",OTHERS,neutral
286,"If what you need is a machine to do some surfing, email checking, word processing, and watching a movie or two, this is the machine you want.",OTHERS,positive
287,It's priced very reasonable and works very well right out of the box.,"OTHERS,OPERATION_PERFORMANCE","positive,positive"
288,"Nice and portable and definitely a decent enough system to keep you entertained while sitting in the airplane for a couple of hours, or at the hotel taking care of some last minute details and documents.","GENERAL,OTHERS,OTHERS","positive,positive,positive"
289,the screen/video resolution won't increase to a higher resolution then 1024 x 60,QUALITY,negative
290,"That being said, it still runs video in full screen decently.",OPERATION_PERFORMANCE,neutral
291,"The sound is a bit quiet if you're on a plane, this can easily be overcome with a decent pair of head phones.",QUALITY,neutral
292,"Bottom line, I doubt you'd be overly disappointed if you invest in this machine.",GENERAL,positive
293,"Yes, I thought the expese was a little much, but I now realize you get what you pay for.","OTHERS,GENERAL","negative,positive"
294,"I love my Apple, it is quick and easy to use.","GENERAL,OPERATION_PERFORMANCE,OTHERS","positive,positive,positive"
295,"I've had to call Apple support to set up my new printer and have had wonderful experiences with helpful, english speaking (from Vancouver) techs that walked me through the processes to help me.",QUALITY,positive
296,I can't say enough of how satisfied I am with their product and help aftermarket.,"GENERAL,QUALITY","positive,positive"
297,Money and time well spent!,"GENERAL,OTHERS","positive,positive"
298,Highly recommended!,GENERAL,positive
299,"The 13"" Macbook Pro just fits in my budget and with free shipping and no tax to CA this is the best price we can get for a great product.","OTHERS,OTHERS,GENERAL","positive,positive,positive"
300,"The Macbook arrived in a nice twin packing and sealed in the box, all the functions works great.","OTHERS,OPERATION_PERFORMANCE","positive,positive"
301,Speakers doesn't sound that great.,QUALITY,negative
302,"Love the speed, especially!",OPERATION_PERFORMANCE,positive
303,So glad I decided to upgrade!,GENERAL,positive
304,"I've owned this labtop for less then two months, already the mouse button has broke.",QUALITY,negative
305,"Still under warrenty so called Toshiba, no help at all.",QUALITY,negative
306,I'm stuck w/ a broken computer.,QUALITY,negative
307,"Will not buy another Toshiba, this is my second, not happy w/ either.","GENERAL,GENERAL","negative,negative"
308,"I love its solid build, light wt and excellent battery life (for now).","QUALITY,DESIGN_FEATURES,OPERATION_PERFORMANCE","positive,positive,positive"
309,Excellent LED monitor and well equipped.,"DESIGN_FEATURES,DESIGN_FEATURES","positive,positive"
310,I love the Apple products.,GENERAL,positive
311,"The Toshiba Mini Notebook, Model NB 305-N410BL, is a great little computer.",GENERAL,positive
312,"It is easy to use, its keyboard easily accommodates large hands, and its weight is fantasic.","DESIGN_FEATURES,OTHERS,DESIGN_FEATURES,OTHERS","positive,positive,positive,positive"
313,"Upgrading from Windows 7 Starter, thru Windows 7 Home Premium, to Windows 7 Professional was a snap;",OTHERS,positive
314,both upgrades were quickly accomplished after purchasing the necessary Product Key.,OTHERS,positive
315,"Other installed features, such as certain printer software, are also most attractive.",DESIGN_FEATURES,positive
316,"Ever since I bought this laptop, so far I've experience nothing but constant break downs of the laptop and bad customer services I received over the phone with toshiba customer services hotlines.","QUALITY,QUALITY","negative,negative"
317,I constantly had to send my laptop in for services every 3 months and it always seems to be the same problem that they said they had already fixed.,"QUALITY,QUALITY","negative,negative"
318,"Toshiba customer services will indirectly deal with your problems by constantly tranferring you from one country to another, and I am not kidding you, I called different hours of the day and you'll get someone else from another country trying to get you to tell them your life story all over again, since they make it sound like they don't have your history list of your calls right in front of them.",QUALITY,negative
319,It's a long and tirring process that after a while it seems like their game plan was to wear you out so you would want to give up on contacting them.,QUALITY,negative
320,"And at one point, they blame me for installing a bad memory stick when I upgrade my memory for the first time during my purchase of the laptop (I bought the memory stick they recomended).",QUALITY,negative
321,"Long story short, since I experience so many problems with my laptop every since I bought it from day one, I didn't ask for a new laptop or a refund of what I pay for a crapy laptop, but just an extension of my laptop warranty for another year, they made a big deal of out that and after so many calls and complaints about their products and services, they finally gave in.","QUALITY,QUALITY","negative,negative"
322,Was this product worth my time and money to ever want to purchase another products that is toshiba or relating to toshiba?,"GENERAL,GENERAL","negative,negative"
323,I'll rather be out of date then spend more money on toshiba.,GENERAL,negative
324,Remember to do your research first before consider buying a toshiba product.,GENERAL,negative
325,All I can say is W-O-W.,GENERAL,positive
326,This laptop is insane!!!,GENERAL,positive
327,It's so nice to look at and the keys are easy to type with.,"DESIGN_FEATURES,OTHERS","positive,positive"
328,I bought a protector for my key pad and it works great :),OPERATION_PERFORMANCE,positive
329,This is definitely a computer worth the money;,"GENERAL,OTHERS","positive,positive"
330,The mouse is a little bit different than what you're used to though- it has one big flat panel and one full bar (instead of two separate ones) to click with- but you get used to it quite quickly.,"DESIGN_FEATURES,OTHERS","neutral,neutral"
331,"AND the best part is that it even comes with a free printer (when they have a certain promotion/offer going, of course)!",OTHERS,positive
332,"Overall, this laptop is definitely a keeper with its simple yet stylish design and its array of fantastic colors to choose from.","GENERAL,DESIGN_FEATURES","positive,positive"
333,The Apple team also assists you very nicely when choosing which computer is right for you :),QUALITY,positive
334,"Obviously, this Macbook is P-E-R-F-E-C-T for me because it does exactly what I need in an easy-to-function way.","GENERAL,OTHERS","positive,positive"
335,DEFINITELY recommended!!!,GENERAL,positive
336,"Not a bad laptop, it's a bit slow, but gets the job done.","GENERAL,OPERATION_PERFORMANCE","positive,neutral"
337,The lcd screen stopped working on mine after 10 months.,"QUALITY,OPERATION_PERFORMANCE","negative,negative"
