,review,target,dp,dp_clause
33,"4 mp gives you room for the future gaining experience ; cost offsets over time from wanting more in a camera , 3x optical and the fact that it carries nikon 's quality reputation behind it make the whole package prove itself worthwile at the price . ",4mp!+,experience!gaining|room!gaining|package!whole|fact!reputation|mp!room|cost!optical|3x!fact|time!optical,time!optical|experience!gaining|package!whole|room!future|cost!optical|mp!room|fact!reputation|3x!fact
34,one neat thing - i have taken some pictures in what i thought would be impossible lighting conditions pitch black rooms - no problem for the camera - rooms looked like they had ample lighting . ,picture!+,thing!neat|thing!impossible|lighting!ample|lighting!impossible|problem!thing,lighting!ample|thing!neat|thing!impossible|problem!impossible|problem!thing
35,this little camera has created a marriage between myself and nikon. never knew i could love a digital camera so much . ,camera!+,|camera!little|marriage!camera,camera!little|marriage!camera
36,the software that comes with it is amazing and the online service that comes free is really very neat. clean clear and well focused on over 95 % of all photos taken by a beginner . ,software!+|online service!+,service!neat,software!neat|service!neat
37,100 % perfect if you put some thought and time into reading the manual before you take the photos . ,,|time!manual|thought!time,time!manual|thought!time
38,just point and shoot and the photos were great . ,photo!+,,point!great|shoot!great
39,my pda becames a digital album . ,,|album!digital|pda!album,album!digital|pda!album
40,"great camera , i have been using this for several months and got excellent results , simple friendly usage , in many scenes indoor , outdoor , snow , close up macro-etc. ",camera!+,camera!great|usage!simple|usage!many,usage!simple|usage!excellent|camera!great
41,this is my first digital camera and i can say that i am quite impressed with the features that it has . ,camera!+|feature!+,camera!impressed,camera!digital
42,battery-life is ok . ,battery life!+,|battery-life!ok,battery-life!ok
43,i plan on buying a second battery and a larger cf for it . ,,|battery!second|cf!second|plan!battery,battery!second|cf!second|plan!battery
44,"great camera , and for the price you can 't beat it . ",camera!+,camera!great|price!great|t!camera,camera!great|t!great|price!great|price!camera
45,it does not have an auto-focus assist light which is nice for taking shots in low-light situations it allows the camera to focus in low light . ,auto-focus assist light!-,|auto-focus!light,auto-focus!nice
46,"i would say that this is not a major issue , but it can be slightly annoying if you care about these things . ",,,issue!issue
47,"it has a 3x optical zoom , which is average for these cameras . ",optical zoom!-,|zoom!optical|3x!optical,zoom!optical|3x!optical
48,"for more , you sacrifice weight and size : more optical zoom requires more glass and focal length . ",,|zoom!optical|glass!zoom|length!glass,zoom!optical|weight!optical|size!weight|glass!zoom|length!glass
49,"it does have a digital zoom on top of the optical zoom , but you sacrifice quality . ",,|zoom!digital|top!digital,zoom!digital|top!digital
50,"in manual , you can set it to "" single af "" where it will focus by depressing the shudder-button prior to taking the pic ; this is not really a hinderance , you just have to be familiar with its menus and features . ",,shudder-button!depressing,hinderance!manual|shudder-button!depressing
51,"in reality , these are the only drawbacks this camera has , much less than many other models ! ",,,reality!drawbacks
52,"for work , we use them in the field often , and they hold up really well . ",,,field!well
53,"i compared this to a lot of other cameras , believe me , it 's value for money . ",camera!+,|lot!other,lot!other
54,"i am a nikon fan , and owned and used slr-nikon-fe , n50 and n90s for many many years . ",,|fan!nikon|slr-nikon-fe!fan|n50!slr-nikon-fe,fan!nikon|slr-nikon-fe!fan|n50!slr-nikon-fe
55,"consider the time you save during picture taking especially not missing a good moment and during download , it 's well worth the little extra money . ",,moment!good|money!little|picture!money|download!moment,money!little|time!little|moment!good|picture!money|download!moment
56,"first of all , let 's start with my needs : 1 $ 500 budget 2 4mp resolution , 3 optical clarity and color , 4 fast - very little shutter-lag and quick sep-up for next picture , 5 compact size , and 6 good camera-grip to minimize camera-shake . ",,shutter-lag!fast|resolution!fast|size!compact|budget!4mp|sep-up!shutter-lag|sep-up!resolution|picture!next|clarity!4mp|color!clarity|camera-grip!good|camera-grip!4mp,shutter-lag!little|sep-up!little|resolution!4mp|budget!4mp|resolution!shutter-lag|budget!shutter-lag|picture!next|clarity!4mp|size!resolution|picture!resolution|camera-grip!good|camera-grip!4mp|color!clarity
57,and i finally settled on the nikon coolpix 4300 . ,,|coolpix!nikon,coolpix!nikon
58,the shutter-lag is on par with what i 've experienced with point and shoot 35mm and aps film cameras and the next frame-advance is about a couple seconds using a high speed-12x 128mb compact flash-card a salesperson recommended the high speed-card since next frame-advance speed was important to me - and it was only a few dollars more . ,,flash-card!compact|speed-12x!compact|salesperson!recommended|128mb!high|speed-card!flash-card|frame-advance!next|speed!next|couple!frame-advance,frame-advance!next|speed!next|flash-card!high|couple!frame-advance|flash-card!high|couple!frame-advance|speed!important|salesperson!recommended|speed-card!recommended|speed-12x!high|speed-card!flash-card|128mb!high
59,"the only drawbacks i 've encountered are : 1 indoor shots from a distance > 8ft lack-contrast and color , but i 've found this to be a problem with all cameras with built-in flashes that i 've used even on a nikon-slr . ",indoor shot!-,distance!drawbacks,lack-contrast!drawbacks|distance!drawbacks|color!lack-contrast
60,2 the battery-life seems to be on the short side but adequate for most situations . ,battery life!-,|side!short,side!short
61,an extra for a back-up battery would be a good investment . ,,investment!good|battery!back-up,investment!extra|battery!back-up|battery!investment
62,"3 the picture-editing-software it came with is adequate , but not very robust . ",software!-,,picture-editing-software!adequate
63,one more thing about indoor shots - many of the reviews knocked this camera for low light focusing . ,,|thing!indoor|camera!many,thing!indoor|camera!many
64,"just for the heck of it , i took it into my dark kitchen with only indirect light coming in though the door , and the focusing was just fine . ",,kitchen!dark|heck!fine|door!light,kitchen!dark|door!light|heck!fine
65,"i also got a ur-e 4 step down ring-adapter , lc-e 900 lens-cap , and the nikon 28mm-filter-set . ",,|step!ring-adapter|lens-cap!step|nikon!28mm-filter-set,|step!ur-e|lens-cap!lc-e|lens-cap!step|nikon!28mm-filter-set
66,"the manual is easy to understand , and it is mostly idiot proof . ",manual!+,manual!easy|proof!idiot,proof!idiot|manual!easy
67,"it is small , unlike my canon-slr , so it easily fits in my pocket . ",size!+,,pocket!small
68,i have not yet figured out how to make it snap quick pictures for action shots . ,,,action!quick
69,i selected the 4300 right away and have gotten high quality pictures every time . ,picture quality!+,|quality!high,quality!high
70,autofocus feels exactly like my film-camera while scene and manual-mode add a little fun-challenge to it all . ,autofocus!+,|fun-challenge!little|scene!fun-challenge|manual-mode!scene,fun-challenge!little|scene!fun-challenge|manual-mode!scene
71,i would also recommend buying an extra battery and at least a 128 mb compact flash-type i memory-card . ,,battery!recommend|mb!compact,battery!extra|battery!recommend|mb!compact
72,picture-quality in outdoor settings is indistinguishable from 35mm . ,picture quality!+,picture-quality!indistinguishable|mm!picture-quality,picture-quality!indistinguishable|picture-quality!outdoor|mm!picture-quality
73,"on average , indoor shots with a flash are not quite as good as 35mm . ",indoor shot!-,flash!good,flash!average
74,"however , its 3x optical setting is acceptable for 70 % of the shots that i take . ",optical setting!+,|setting!acceptable|3x!acceptable|%!setting,setting!optical|3x!acceptable|%!setting
75,"if you 're looking for a small , compact , super resolution digital camera , you can end your search with the nikon 4300 ! ",camera!+,|resolution!small|camera!small|search!nikon,resolution!small|camera!digital|camera!small|search!nikon
76,"after using it for about a month , i can state unequivocably that this nikon definitely delivers a huge bang for the buck . ",nikon!+,|bang!huge|bang!nikon|nikon!bang|buck!huge,bang!nikon|buck!huge|nikon!bang
77,its easy to use and the sheer fun of being able to use an array of nikon accessories like the telephoto and wide-angle lenses is the proverbial icing on the cake . ,use!+|accessory!+,icing!easy|cake!easy,icing!fun|cake!fun
78,the design and construction are excellent -- as is the legendary quality of the nikon optics . ,design!+,design!excellent|construction!excellent|quality!legendary,quality!legendary|quality!nikon|design!excellent|construction!excellent
79,"if you 're seeking that elusive state of photographic euphoria that is free of buyer 's remorse and filled with cool , then travel to the world of the coolpix 4300 ! ",,,state!free|euphoria!elusive|world!state
80,"there are so many functions in this little , yet powerful camera ! ",camera!+,camera!powerful,camera!little|camera!many
81,"my room is so dark and when i tried taking pics of it with my old camera , they came out black , but with this , they look the same in the picture as in real life . ",,room!dark|camera!old|picture!same|life!real|life!same,camera!old|room!dark|life!real|picture!same
82,the picture-quality is amazing and you can connect it to your tv and could make silent movies that way if you wanted to . ,picture quality!+,picture-quality!amazing|way!silent,way!silent|picture-quality!amazing
83,"i can 't connect it to my computer though , but that 's a problem with windows me , not the camera . ",,,computer!problem
84,"it does have a lense-cap , but it wo n't let you take pics with it on which is real good . ",lense cap!+,,lense-cap!real
85,the battery recharges ral fast and the recharger-thingy that comes with is real nice . ,battery!+,,recharger-thingy!nice|battery!recharger-thingy|ral!battery
86,"ooh , and i dropped it and it still works fine : this little camera has so many features i have n't even gotten to all of them yet . ",camera!+,fine!works|camera!little,camera!little|fine!works
87,"it 's easy for beginners to use , but has features that more serious photographers will love , so it 's an excellent camera to grow into . ",use!+|camera!+,camera!excellent|camera!easy,camera!excellent
88,"i love the continuous shot-mode , which allows you to take up to 16 pix in rapid succession -- great for action shots . ",continuous shot mode!+,shot-mode!love|succession!rapid,succession!rapid|shot-mode!love
89,"i only have one complaint , and that is the 8mb card included . ",8mb card!-,card!complaint|complaint!card,|card!complaint|complaint!card
90,8mb for a camera like this is a joke . ,8mb!-,8mb!joke|camera!joke,camera!joke|8mb!joke
91,"5 for "" digital film "" it uses compact flash cards , which are easy to find , cheap , reliable and supported by many other devices you may have at hoome . ",,flash!compact|film!digital,film!digital|flash!compact
92,6 the nikon-coolpix-line is a well-established line so you know support and parts are going to be available even when nikon releases a newer model . ,nikon support!+,line!well-established|nikon-coolpix-line!well-established|model!nikon|nikon!model,model!nikon|line!well-established|nikon-coolpix-line!well-established|nikon!model
93,9 3x built-in optical zoom is a lot for this price-range . ,optical zoom!+,|zoom!built-in|lot!built-in|3x!lot,zoom!optical|lot!optical|3x!built-in|3x!lot
94,"2 the camera is so small that when you attach some lenses i have the 19mm-wide-angle -- wc-e 68 , the optical viewfinder is partially obscured . ",viewfinder!-,|camera!small|viewfinder!optical,viewfinder!optical|viewfinder!optical|camera!small
95,"i am new to the whole digital camera-thing ; well , new to the whole camera-thing period , really . ",,|camera-thing!whole|period!whole,camera-thing!whole|period!whole
96,the auto-mode is good enough for most shots but the 4300 also boasts 12 versatile scene modes as well as a manual mode though i admit i have n't played with it too much on manual . ,auto mode!+,auto-mode!good|scene!versatile|mode!manual|mode!versatile,mode!manual|scene!versatile|auto-mode!good
97,it 's size also makes it ideal for travel . ,size!+,size!ideal,|size!ideal
98,"overall the nikon 4300 is a very dependable , robust , and useful little camera . ",camera!+,camera!useful,nikon!robust|camera!useful
99,awesome camera with huge print-quality in a tiny package . ,camera!+|print quality!+,camera!awesome|print-quality!awesome|package!awesome,camera!awesome|print-quality!awesome|package!tiny|package!awesome
100,"the same 4mp chip from the 4500 camera , plus a 3x-zoom with the ability to expand upon that with extenders , great closeup-mode , long lasting rechargable battery , etc etc. ",closeup mode!+|battery!+,|chip!same|camera!same|3x-zoom!chip|ability!chip|battery!long,battery!rechargable|chip!same|camera!same|3x-zoom!same|3x-zoom!chip|ability!chip
101,"in my opinion it 's the best camera for the money if you 're looking for something that 's easy to use , small good for travel , and provides excellent , sharp images . ",camera!+,camera!best|opinion!best|money!best,something!good|camera!best|opinion!best|money!best
